# hypstar_120241_radcal_E_200729_vnir.dat																			
# Calibrated by Joel Kuusk, Tartu Observatory, University of Tartu, 2020-07-29																			
#																			
# Applied corrections:																			
# nonlinearity	hypstar_120241_nonlin_corr_coefs_200728.dat																		
# wavelength	hypstar_120241_wl_coefs_200910.dat																		
# thermal	none																		
# stray light	none																		
#																			
# E [mW m-2 nm-1] = DN / inttime_ms * 1000 * cal_coef																			
# Pixel counting starts from 0																			
#																			
# px	wl	cal_coef	u_cal_coef(k=2)	u_lamp(k=1)	u_aging(k=1)	u_power(k=1)	u_align_lamp(k=1)	u_panel(k=1)	u_interp_panel(k=1)	u_align_panel(k=1)	u_wl_source(k=1)	u_lab_stray(k=1)	u_panel_backrefl(k=1)	u_dist(k=1)	u_align(k=1)	u_temp(k=1)	u_lin(k=1)	u_stray(k=1)	u_typeA(k=1)
345	320.28	1.30527e-02	99.0	0.859	0.0277	0.0949	0.100	0	0	0	0.0707	0.100	0	0.400	0.100	0.300	0.230	49.4	2.05
346	320.74	1.2738e-02	93.5	0.859	0.0277	0.0948	0.100	0	0	0	0.0704	0.100	0	0.400	0.100	0.300	0.230	46.7	1.86
347	321.20	1.30728e-02	95.2	0.859	0.0277	0.0946	0.100	0	0	0	0.0702	0.100	0	0.400	0.100	0.300	0.230	47.5	1.84
348	321.66	1.26674e-02	89.1	0.859	0.0277	0.0945	0.100	0	0	0	0.0699	0.100	0	0.400	0.100	0.300	0.230	44.5	1.87
349	322.12	1.30884e-02	91.5	0.859	0.0277	0.0944	0.100	0	0	0	0.0696	0.100	0	0.400	0.100	0.300	0.230	45.7	1.75
350	322.58	1.27185e-02	86.1	0.859	0.0277	0.0942	0.100	0	0	0	0.0694	0.100	0	0.400	0.100	0.300	0.230	43.0	1.88
351	323.03	1.29955e-02	87.0	0.859	0.0277	0.0941	0.100	0	0	0	0.0691	0.100	0	0.400	0.100	0.300	0.230	43.5	1.67
352	323.49	1.31883e-02	87.2	0.859	0.0277	0.0940	0.100	0	0	0	0.0688	0.100	0	0.400	0.100	0.300	0.230	43.5	1.66
353	323.95	1.32124e-02	85.7	0.859	0.0277	0.0938	0.100	0	0	0	0.0686	0.100	0	0.400	0.100	0.300	0.230	42.8	1.63
354	324.41	1.32393e-02	84.3	0.859	0.0277	0.0937	0.100	0	0	0	0.0683	0.100	0	0.400	0.100	0.300	0.230	42.1	1.62
