# hypstar_120243_radcal_E_200904_vnir.dat																			
# Calibrated by Joel Kuusk, Tartu Observatory, University of Tartu, 2020-09-04																			
#																			
# Applied corrections:																			
# nonlinearity	hypstar_120243_nonlin_corr_coefs_200903.dat																		
# wavelength	none																		
# thermal	none																		
# stray light	none																		
#																			
# E [mW m-2 nm-1] = DN / inttime_ms * 1000 * cal_coef																			
#																			
# px	wl	cal_coef	u_cal_coef(k=2)	u_lamp(k=1)	u_aging(k=1)	u_power(k=1)	u_align_lamp(k=1)	u_panel(k=1)	u_interp_panel(k=1)	u_align_panel(k=1)	u_wl_source(k=1)	u_lab_stray(k=1)	u_panel_backrefl(k=1)	u_dist(k=1)	u_align(k=1)	u_temp(k=1)	u_lin(k=1)	u_stray(k=1)	u_typeA(k=1)
348	320.2	2.4176e-02	77.1	0.859	0.0485	0.0949	0.100	0	0	0	1.24	0.100	0	0.400	0.100	0.300	0.155	38.4	2.90
349	320.7	2.47367e-02	78.0	0.859	0.0485	0.0948	0.100	0	0	0	1.23	0.100	0	0.400	0.100	0.300	0.155	38.8	3.15
350	321.1	2.62311e-02	83.2	0.859	0.0485	0.0947	0.100	0	0	0	1.23	0.100	0	0.400	0.100	0.300	0.155	41.4	3.33
351	321.6	2.43003e-02	73.3	0.859	0.0485	0.0945	0.100	0	0	0	1.22	0.100	0	0.400	0.100	0.300	0.155	36.5	2.93
352	322	2.61452e-02	79.7	0.859	0.0485	0.0944	0.100	0	0	0	1.22	0.100	0	0.400	0.100	0.300	0.155	39.7	3.06
353	322.5	2.58044e-02	76.6	0.859	0.0485	0.0943	0.100	0	0	0	1.21	0.100	0	0.400	0.100	0.300	0.155	38.2	2.86
354	323	2.43143e-02	69.3	0.859	0.0485	0.0941	0.100	0	0	0	1.21	0.100	0	0.400	0.100	0.300	0.155	34.5	2.68
355	323.4	2.69151e-02	78.3	0.859	0.0485	0.0940	0.100	0	0	0	1.21	0.100	0	0.400	0.100	0.300	0.155	39.0	2.97
356	323.9	2.52231e-02	70.2	0.859	0.0485	0.0939	0.100	0	0	0	1.20	0.100	0	0.400	0.100	0.300	0.155	34.9	2.83
357	324.3	2.52183e-02	69.1	0.859	0.0485	0.0937	0.100	0	0	0	1.20	0.100	0	0.400	0.100	0.300	0.155	34.4	2.78
358	324.8	2.41615e-02	64.2	0.859	0.0485	0.0936	0.100	0	0	0	1.19	0.100	0	0.400	0.100	0.300	0.155	31.8	3.49
359	325.3	2.70151e-02	72.9	0.859	0.0485	0.0935	0.100	0	0	0	1.19	0.100	0	0.400	0.100	0.300	0.155	36.3	3.06
360	325.7	2.70644e-02	71.9	0.859	0.0485	0.0933	0.100	0	0	0	1.18	0.100	0	0.400	0.100	0.300	0.155	35.8	2.87
361	326.2	2.73329e-02	71.4	0.859	0.0485	0.0932	0.100	0	0	0	1.18	0.100	0	0.400	0.100	0.300	0.155	35.6	2.74
362	326.6	2.71035e-02	69.5	0.859	0.0485	0.0931	0.100	0	0	0	1.17	0.100	0	0.400	0.100	0.300	0.155	34.6	2.84
363	327.1	2.75406e-02	69.6	0.859	0.0485	0.0929	0.100	0	0	0	1.17	0.100	0	0.400	0.100	0.300	0.155	34.7	2.55
364	327.6	2.68421e-02	66.0	0.859	0.0485	0.0928	0.100	0	0	0	1.17	0.100	0	0.400	0.100	0.300	0.155	32.9	2.69
365	328	2.62047e-02	63.0	0.859	0.0485	0.0927	0.100	0	0	0	1.16	0.100	0	0.400	0.100	0.300	0.155	31.4	2.50
366	328.5	2.76036e-02	66.2	0.859	0.0485	0.0925	0.100	0	0	0	1.16	0.100	0	0.400	0.100	0.300	0.155	33.0	2.75
367	328.9	2.75202e-02	65.0	0.859	0.0485	0.0924	0.100	0	0	0	1.15	0.100	0	0.400	0.100	0.300	0.155	32.3	2.96
368	329.4	2.81606e-02	65.7	0.859	0.0485	0.0923	0.100	0	0	0	1.15	0.100	0	0.400	0.100	0.300	0.155	32.7	2.66
369	329.9	2.94516e-02	68.4	0.859	0.0485	0.0921	0.100	0	0	0	1.14	0.100	0	0.400	0.100	0.300	0.155	34.1	2.72
370	330.3	2.78672e-02	62.7	0.859	0.0485	0.0920	0.100	0	0	0	1.14	0.100	0	0.400	0.100	0.300	0.155	31.2	2.49
371	330.8	2.68171e-02	58.5	0.859	0.0485	0.0919	0.100	0	0	0	1.14	0.100	0	0.400	0.100	0.300	0.155	29.1	2.30
372	331.3	2.82315e-02	61.4	0.859	0.0485	0.0918	0.100	0	0	0	1.13	0.100	0	0.400	0.100	0.300	0.155	30.6	2.35
373	331.7	2.87915e-02	62.1	0.859	0.0485	0.0916	0.100	0	0	0	1.13	0.100	0	0.400	0.100	0.300	0.155	30.9	2.48
374	332.2	2.84484e-02	60.0	0.859	0.0485	0.0915	0.100	0	0	0	1.12	0.100	0	0.400	0.100	0.300	0.155	29.9	2.36
375	332.6	2.91392e-02	61.1	0.859	0.0485	0.0914	0.100	0	0	0	1.12	0.100	0	0.400	0.100	0.300	0.155	30.4	2.35
376	333.1	2.89903e-02	59.6	0.859	0.0485	0.0913	0.100	0	0	0	1.11	0.100	0	0.400	0.100	0.300	0.155	29.7	2.45
377	333.6	2.89425e-02	58.5	0.859	0.0485	0.0911	0.100	0	0	0	1.11	0.100	0	0.400	0.100	0.300	0.155	29.1	2.62
378	334	3.01538e-02	60.7	0.859	0.0485	0.0910	0.100	0	0	0	1.11	0.100	0	0.400	0.100	0.300	0.155	30.2	2.50
379	334.5	2.88976e-02	56.5	0.859	0.0485	0.0909	0.100	0	0	0	1.10	0.100	0	0.400	0.100	0.300	0.155	28.1	2.44
380	334.9	2.86719e-02	55.2	0.859	0.0485	0.0908	0.100	0	0	0	1.10	0.100	0	0.400	0.100	0.300	0.155	27.4	2.39
381	335.4	2.99628e-02	57.4	0.859	0.0485	0.0906	0.100	0	0	0	1.09	0.100	0	0.400	0.100	0.300	0.155	28.5	2.60
382	335.9	2.93205e-02	54.8	0.859	0.0485	0.0905	0.100	0	0	0	1.09	0.100	0	0.400	0.100	0.300	0.155	27.3	2.19
383	336.3	2.75881e-02	50.2	0.859	0.0485	0.0904	0.100	0	0	0	1.09	0.100	0	0.400	0.100	0.300	0.155	24.9	2.40
384	336.8	2.88754e-02	52.2	0.859	0.0485	0.0903	0.100	0	0	0	1.08	0.100	0	0.400	0.100	0.300	0.155	26.0	2.28
385	337.3	2.88487e-02	51.3	0.859	0.0485	0.0901	0.100	0	0	0	1.08	0.100	0	0.400	0.100	0.300	0.155	25.5	2.23
386	337.7	2.79872e-02	48.7	0.859	0.0485	0.0900	0.100	0	0	0	1.07	0.100	0	0.400	0.100	0.300	0.155	24.2	1.91
387	338.2	2.80053e-02	48.0	0.859	0.0485	0.0899	0.100	0	0	0	1.07	0.100	0	0.400	0.100	0.300	0.155	23.8	2.20
388	338.6	2.8397e-02	48.1	0.859	0.0485	0.0898	0.100	0	0	0	1.07	0.100	0	0.400	0.100	0.300	0.155	23.9	1.88
389	339.1	2.79506e-02	46.4	0.859	0.0485	0.0896	0.100	0	0	0	1.06	0.100	0	0.400	0.100	0.300	0.155	23.1	1.83
390	339.6	2.75143e-02	44.9	0.859	0.0485	0.0895	0.100	0	0	0	1.06	0.100	0	0.400	0.100	0.300	0.155	22.3	1.99
391	340	2.76125e-02	44.5	0.859	0.0485	0.0894	0.100	0	0	0	1.06	0.100	0	0.400	0.100	0.300	0.155	22.1	1.89
392	340.5	2.74891e-02	43.5	0.859	0.0485	0.0893	0.100	0	0	0	1.05	0.100	0	0.400	0.100	0.300	0.155	21.6	1.75
393	341	2.6959e-02	41.9	0.859	0.0485	0.0891	0.100	0	0	0	1.05	0.100	0	0.400	0.100	0.300	0.155	20.8	1.81
394	341.4	2.72042e-02	41.9	0.859	0.0485	0.0890	0.100	0	0	0	1.04	0.100	0	0.400	0.100	0.300	0.155	20.8	2.06
395	341.9	2.83571e-02	43.3	0.859	0.0485	0.0889	0.100	0	0	0	1.04	0.100	0	0.400	0.100	0.300	0.155	21.5	2.12
396	342.3	2.72074e-02	40.7	0.859	0.0485	0.0888	0.100	0	0	0	1.04	0.100	0	0.400	0.100	0.300	0.155	20.2	1.78
397	342.8	2.63829e-02	38.7	0.859	0.0485	0.0887	0.100	0	0	0	1.03	0.100	0	0.400	0.100	0.300	0.155	19.2	1.98
398	343.3	2.65038e-02	38.3	0.859	0.0485	0.0886	0.100	0	0	0	1.03	0.100	0	0.400	0.100	0.300	0.155	19.0	1.75
399	343.7	2.65002e-02	37.8	0.859	0.0485	0.0884	0.100	0	0	0	1.02	0.100	0	0.400	0.100	0.300	0.155	18.8	1.55
400	344.2	2.5979e-02	36.4	0.859	0.0485	0.0883	0.100	0	0	0	1.02	0.100	0	0.400	0.100	0.300	0.155	18.1	1.56
401	344.7	2.80829e-02	39.3	0.859	0.0485	0.0882	0.100	0	0	0	1.02	0.100	0	0.400	0.100	0.300	0.155	19.5	1.74
402	345.1	2.71225e-02	37.3	0.859	0.0485	0.0881	0.100	0	0	0	1.01	0.100	0	0.400	0.100	0.300	0.155	18.5	1.97
403	345.6	2.71715e-02	36.8	0.859	0.0485	0.0880	0.100	0	0	0	1.01	0.100	0	0.400	0.100	0.300	0.155	18.3	1.72
404	346	2.64144e-02	35.2	0.859	0.0485	0.0879	0.100	0	0	0	1.01	0.100	0	0.400	0.100	0.300	0.155	17.5	1.86
405	346.5	2.68265e-02	35.3	0.859	0.0485	0.0877	0.100	0	0	0	1.00	0.100	0	0.400	0.100	0.300	0.155	17.5	1.65
406	347	2.65982e-02	34.4	0.859	0.0485	0.0876	0.100	0	0	0	0.999	0.100	0	0.400	0.100	0.300	0.155	17.1	1.41
407	347.4	2.62587e-02	33.6	0.859	0.0485	0.0875	0.100	0	0	0	0.996	0.100	0	0.400	0.100	0.300	0.155	16.6	1.68
408	347.9	2.68383e-02	33.9	0.859	0.0485	0.0874	0.100	0	0	0	0.992	0.100	0	0.400	0.100	0.300	0.155	16.8	1.56
409	348.4	2.60679e-02	32.4	0.859	0.0485	0.0873	0.100	0	0	0	0.988	0.100	0	0.400	0.100	0.300	0.155	16.0	1.76
410	348.8	2.63338e-02	32.4	0.859	0.0485	0.0872	0.100	0	0	0	0.985	0.100	0	0.400	0.100	0.300	0.155	16.0	1.43
411	349.3	2.64323e-02	32.1	0.859	0.0485	0.0870	0.100	0	0	0	0.981	0.100	0	0.400	0.100	0.300	0.155	15.9	1.58
412	349.8	2.66835e-02	31.9	0.859	0.0485	0.0869	0.100	0	0	0	0.978	0.100	0	0.400	0.100	0.300	0.155	15.8	1.38
413	350.2	2.63367e-02	31.1	0.859	0.0485	0.0868	0.100	0	0	0	0.975	0.100	0	0.400	0.100	0.300	0.155	15.4	1.36
414	350.7	2.72038e-02	31.9	0.859	0.0485	0.0867	0.100	0	0	0	0.971	0.100	0	0.400	0.100	0.300	0.155	15.8	1.46
415	351.2	2.6446e-02	30.4	0.859	0.0485	0.0866	0.100	0	0	0	0.967	0.100	0	0.400	0.100	0.300	0.155	15.1	1.45
416	351.6	2.55086e-02	28.9	0.859	0.0485	0.0865	0.100	0	0	0	0.964	0.100	0	0.400	0.100	0.300	0.155	14.3	1.50
417	352.1	2.71202e-02	30.6	0.859	0.0485	0.0863	0.100	0	0	0	0.960	0.100	0	0.400	0.100	0.300	0.155	15.1	1.48
418	352.5	2.62186e-02	29.1	0.859	0.0485	0.0862	0.100	0	0	0	0.958	0.100	0	0.400	0.100	0.300	0.155	14.4	1.36
419	353	2.59286e-02	28.4	0.859	0.0485	0.0861	0.100	0	0	0	0.954	0.100	0	0.400	0.100	0.300	0.155	14.0	1.39
420	353.5	2.61466e-02	28.2	0.859	0.0485	0.0860	0.100	0	0	0	0.950	0.100	0	0.400	0.100	0.300	0.155	14.0	1.40
421	353.9	2.64788e-02	28.4	0.859	0.0485	0.0859	0.100	0	0	0	0.947	0.100	0	0.400	0.100	0.300	0.155	14.0	1.45
422	354.4	2.67184e-02	28.3	0.859	0.0485	0.0858	0.100	0	0	0	0.944	0.100	0	0.400	0.100	0.300	0.155	14.0	1.33
423	354.9	2.64882e-02	27.6	0.859	0.0485	0.0857	0.100	0	0	0	0.940	0.100	0	0.400	0.100	0.300	0.155	13.7	1.35
424	355.3	2.7084e-02	28.0	0.859	0.0485	0.0856	0.100	0	0	0	0.937	0.100	0	0.400	0.100	0.300	0.155	13.9	1.35
425	355.8	2.65911e-02	27.1	0.859	0.0485	0.0854	0.100	0	0	0	0.934	0.100	0	0.400	0.100	0.300	0.155	13.4	1.26
426	356.3	2.62878e-02	26.4	0.859	0.0485	0.0853	0.100	0	0	0	0.930	0.100	0	0.400	0.100	0.300	0.155	13.1	1.28
427	356.7	2.68019e-02	26.7	0.859	0.0485	0.0852	0.100	0	0	0	0.927	0.100	0	0.400	0.100	0.300	0.155	13.2	1.28
428	357.2	2.69095e-02	26.5	0.859	0.0485	0.0851	0.100	0	0	0	0.924	0.100	0	0.400	0.100	0.300	0.155	13.1	1.41
429	357.7	2.70454e-02	26.3	0.859	0.0485	0.0850	0.100	0	0	0	0.920	0.100	0	0.400	0.100	0.300	0.155	13.0	1.18
