# hypstar_120251_radcal_L_200903_vnir.dat																			
# Calibrated by Joel Kuusk, Tartu Observatory, University of Tartu, 2020-09-03																			
#																			
# Applied corrections:																			
# nonlinearity	hypstar_120251_nonlin_corr_coefs_200903.dat																		
# wavelength	none																		
# thermal	none																		
# stray light	none																		
#																			
# L [mW m-2 nm-1 sr-1] = DN / inttime_ms * 1000 * cal_coef																			
#																			
# px	wl	cal_coef	u_cal_coef(k=2)	u_lamp(k=1)	u_aging(k=1)	u_power(k=1)	u_align_lamp(k=1)	u_panel(k=1)	u_interp_panel(k=1)	u_align_panel(k=1)	u_wl_source(k=1)	u_lab_stray(k=1)	u_panel_backrefl(k=1)	u_dist(k=1)	u_align(k=1)	u_temp(k=1)	u_lin(k=1)	u_stray(k=1)	u_typeA(k=1)
349	320.3	1.63903e-04	77.6	0.859	0.0485	0.0949	0.100	0.326	0.100	0.100	1.23	0.100	0.100	0.0800	0.100	0.300	0.155	38.7	1.24
350	320.8	1.69459e-04	79.6	0.859	0.0485	0.0948	0.100	0.326	0.100	0.100	1.22	0.100	0.100	0.0800	0.100	0.300	0.155	39.7	1.20
351	321.2	1.63838e-04	74.7	0.859	0.0485	0.0946	0.100	0.326	0.100	0.100	1.22	0.100	0.100	0.0800	0.100	0.300	0.155	37.3	1.11
352	321.7	1.65046e-04	73.9	0.859	0.0485	0.0945	0.100	0.326	0.100	0.100	1.21	0.100	0.100	0.0800	0.100	0.300	0.155	36.9	1.25
353	322.1	1.69574e-04	75.5	0.859	0.0485	0.0944	0.100	0.326	0.100	0.100	1.21	0.100	0.100	0.0800	0.100	0.300	0.155	37.7	1.07
354	322.6	1.64106e-04	70.7	0.859	0.0485	0.0942	0.100	0.326	0.100	0.100	1.20	0.100	0.100	0.0800	0.100	0.300	0.155	35.3	1.12
355	323	1.67027e-04	71.3	0.859	0.0485	0.0941	0.100	0.326	0.100	0.100	1.20	0.100	0.100	0.0800	0.100	0.300	0.155	35.6	1.19
356	323.5	1.64172e-04	68.3	0.859	0.0485	0.0940	0.100	0.326	0.100	0.100	1.19	0.100	0.100	0.0800	0.100	0.300	0.155	34.1	1.53
357	324	1.65606e-04	67.7	0.859	0.0485	0.0938	0.100	0.326	0.100	0.100	1.19	0.100	0.100	0.0800	0.100	0.300	0.155	33.8	1.04
358	324.4	1.65919e-04	66.8	0.859	0.0485	0.0937	0.100	0.326	0.100	0.100	1.18	0.100	0.100	0.0800	0.100	0.300	0.155	33.4	1.04
359	324.9	1.63948e-04	64.5	0.859	0.0485	0.0936	0.100	0.326	0.100	0.100	1.18	0.100	0.100	0.0800	0.100	0.300	0.155	32.2	1.01
360	325.3	1.64035e-04	63.6	0.859	0.0485	0.0935	0.100	0.326	0.100	0.100	1.17	0.100	0.100	0.0800	0.100	0.300	0.155	31.7	0.993
361	325.8	1.66179e-04	63.5	0.859	0.0485	0.0933	0.100	0.326	0.100	0.100	1.17	0.100	0.100	0.0800	0.100	0.300	0.155	31.7	0.989
362	326.3	1.69607e-04	64.0	0.859	0.0485	0.0932	0.100	0.326	0.100	0.100	1.16	0.100	0.100	0.0800	0.100	0.300	0.155	31.9	1.06
363	326.7	1.68184e-04	62.3	0.859	0.0485	0.0931	0.100	0.326	0.100	0.100	1.16	0.100	0.100	0.0800	0.100	0.300	0.155	31.1	0.992
364	327.2	1.66851e-04	60.5	0.859	0.0485	0.0929	0.100	0.326	0.100	0.100	1.16	0.100	0.100	0.0800	0.100	0.300	0.155	30.2	0.981
365	327.6	1.6738e-04	59.9	0.859	0.0485	0.0928	0.100	0.326	0.100	0.100	1.15	0.100	0.100	0.0800	0.100	0.300	0.155	29.9	0.997
366	328.1	1.64458e-04	57.5	0.859	0.0485	0.0927	0.100	0.326	0.100	0.100	1.15	0.100	0.100	0.0800	0.100	0.300	0.155	28.7	1.12
367	328.5	1.71114e-04	59.6	0.859	0.0485	0.0925	0.100	0.326	0.100	0.100	1.14	0.100	0.100	0.0800	0.100	0.300	0.155	29.8	0.932
368	329	1.69002e-04	57.6	0.859	0.0485	0.0924	0.100	0.326	0.100	0.100	1.14	0.100	0.100	0.0800	0.100	0.300	0.155	28.7	0.876
369	329.5	1.71242e-04	57.5	0.859	0.0485	0.0923	0.100	0.326	0.100	0.100	1.13	0.100	0.100	0.0800	0.100	0.300	0.155	28.7	0.960
370	329.9	1.7346e-04	57.7	0.859	0.0485	0.0921	0.100	0.326	0.100	0.100	1.13	0.100	0.100	0.0800	0.100	0.300	0.155	28.8	0.933
371	330.4	1.75905e-04	57.7	0.859	0.0485	0.0920	0.100	0.326	0.100	0.100	1.13	0.100	0.100	0.0800	0.100	0.300	0.155	28.8	0.906
372	330.8	1.71913e-04	55.2	0.859	0.0485	0.0919	0.100	0.326	0.100	0.100	1.12	0.100	0.100	0.0800	0.100	0.300	0.155	27.6	0.922
373	331.3	1.76956e-04	56.3	0.859	0.0485	0.0918	0.100	0.326	0.100	0.100	1.12	0.100	0.100	0.0800	0.100	0.300	0.155	28.1	0.943
374	331.8	1.79143e-04	56.2	0.859	0.0485	0.0916	0.100	0.326	0.100	0.100	1.11	0.100	0.100	0.0800	0.100	0.300	0.155	28.0	0.918
375	332.2	1.76917e-04	54.5	0.859	0.0485	0.0915	0.100	0.326	0.100	0.100	1.11	0.100	0.100	0.0800	0.100	0.300	0.155	27.2	0.894
376	332.7	1.7978e-04	54.7	0.859	0.0485	0.0914	0.100	0.326	0.100	0.100	1.11	0.100	0.100	0.0800	0.100	0.300	0.155	27.3	0.867
377	333.1	1.79726e-04	53.9	0.859	0.0485	0.0913	0.100	0.326	0.100	0.100	1.10	0.100	0.100	0.0800	0.100	0.300	0.155	26.9	0.865
378	333.6	1.82254e-04	53.9	0.859	0.0485	0.0911	0.100	0.326	0.100	0.100	1.10	0.100	0.100	0.0800	0.100	0.300	0.155	26.9	0.909
379	334.1	1.81479e-04	52.7	0.859	0.0485	0.0910	0.100	0.326	0.100	0.100	1.09	0.100	0.100	0.0800	0.100	0.300	0.155	26.3	0.911
380	334.5	1.81617e-04	52.1	0.859	0.0485	0.0909	0.100	0.326	0.100	0.100	1.09	0.100	0.100	0.0800	0.100	0.300	0.155	26.0	0.975
381	335	1.82605e-04	51.6	0.859	0.0485	0.0907	0.100	0.326	0.100	0.100	1.09	0.100	0.100	0.0800	0.100	0.300	0.155	25.7	0.892
382	335.4	1.81942e-04	50.6	0.859	0.0485	0.0906	0.100	0.326	0.100	0.100	1.08	0.100	0.100	0.0800	0.100	0.300	0.155	25.3	0.866
383	335.9	1.82941e-04	50.1	0.859	0.0485	0.0905	0.100	0.326	0.100	0.100	1.08	0.100	0.100	0.0800	0.100	0.300	0.155	25.0	0.841
384	336.4	1.81745e-04	48.9	0.859	0.0485	0.0904	0.100	0.326	0.100	0.100	1.07	0.100	0.100	0.0800	0.100	0.300	0.155	24.4	0.833
385	336.8	1.85289e-04	49.4	0.859	0.0485	0.0903	0.100	0.326	0.100	0.100	1.07	0.100	0.100	0.0800	0.100	0.300	0.155	24.7	0.826
