# hypstar_220241_radcal_E_200729_swir.dat																			
# Calibrated by Joel Kuusk, Tartu Observatory, University of Tartu, 2020-07-29																			
#																			
# Applied corrections:																			
# nonlinearity	hypstar_220241_nonlin_corr_coefs_200728.dat																		
# wavelength	hypstar_220241_wl_coefs_200910.dat																		
# thermal	none																		
# stray light	none																		
#																			
# E [mW m-2 nm-1] = DN / inttime_ms * 1000 * cal_coef																			
# Pixel counting starts from 0																			
#																			
# px	wl	cal_coef	u_cal_coef(k=2)	u_lamp(k=1)	u_aging(k=1)	u_power(k=1)	u_align_lamp(k=1)	u_panel(k=1)	u_interp_panel(k=1)	u_align_panel(k=1)	u_wl_source(k=1)	u_lab_stray(k=1)	u_panel_backrefl(k=1)	u_dist(k=1)	u_align(k=1)	u_temp(k=1)	u_lin(k=1)	u_stray(k=1)	u_typeA(k=1)
0	873.69	1.97334e-01	1.63	0.613	0.0277	0.0348	0.100	0	0	0	0.00181	0.100	0	0.400	0.100	0.300	0.0200	0	0.0737
1	877.34	7.33783e-02	1.62	0.613	0.0277	0.0347	0.100	0	0	0	0.00143	0.100	0	0.400	0.100	0.300	0.0200	0	0.0325
2	880.99	3.89289e-02	1.62	0.613	0.0277	0.0345	0.100	0	0	0	0.00104	0.100	0	0.400	0.100	0.300	0.0200	0	0.0157
3	884.64	2.83075e-02	1.62	0.613	0.0277	0.0344	0.100	0	0	0	0.000643	0.100	0	0.400	0.100	0.300	0.0200	0	0.0127
4	888.28	2.49428e-02	1.62	0.613	0.0277	0.0342	0.100	0	0	0	0.000246	0.100	0	0.400	0.100	0.300	0.0200	0	0.0106
5	891.92	2.36383e-02	1.62	0.613	0.0277	0.0341	0.100	0	0	0	0.000155	0.100	0	0.400	0.100	0.300	0.0200	0	0.0100
6	895.55	2.26869e-02	1.62	0.613	0.0277	0.0339	0.100	0	0	0	0.000559	0.100	0	0.400	0.100	0.300	0.0200	0	0.00822
7	899.19	2.18244e-02	1.62	0.613	0.0277	0.0338	0.100	0	0	0	0.000967	0.100	0	0.400	0.100	0.300	0.0200	0	0.0109
8	902.81	2.08657e-02	3.67	1.76	0.0277	0.0337	0.100	0	0	0	0.000724	0.100	0	0.400	0.100	0.300	0.0200	0	0.00839
9	906.44	2.00039e-02	3.67	1.76	0.0277	0.0335	0.100	0	0	0	0.000520	0.100	0	0.400	0.100	0.300	0.0200	0	0.00946
10	910.06	1.89833e-02	3.67	1.76	0.0277	0.0334	0.100	0	0	0	0.000320	0.100	0	0.400	0.100	0.300	0.0200	0	0.00838
11	913.68	1.77348e-02	3.67	1.76	0.0277	0.0333	0.100	0	0	0	0.000122	0.100	0	0.400	0.100	0.300	0.0200	0	0.00736
12	917.30	1.61786e-02	3.67	1.76	0.0277	0.0331	0.100	0	0	0	0.0000715	0.100	0	0.400	0.100	0.300	0.0200	0	0.00667
13	920.91	1.45785e-02	3.67	1.76	0.0277	0.0330	0.100	0	0	0	0.000262	0.100	0	0.400	0.100	0.300	0.0200	0	0.00657
14	924.52	1.3306e-02	3.67	1.76	0.0277	0.0329	0.100	0	0	0	0.000450	0.100	0	0.400	0.100	0.300	0.0200	0	0.00551
15	928.12	1.25131e-02	3.67	1.76	0.0277	0.0328	0.100	0	0	0	0.000634	0.100	0	0.400	0.100	0.300	0.0200	0	0.00593
16	931.73	1.20047e-02	3.67	1.76	0.0277	0.0326	0.100	0	0	0	0.000816	0.100	0	0.400	0.100	0.300	0.0200	0	0.00509
17	935.32	1.16361e-02	3.67	1.76	0.0277	0.0325	0.100	0	0	0	0.000994	0.100	0	0.400	0.100	0.300	0.0200	0	0.00550
18	938.92	1.13563e-02	3.67	1.76	0.0277	0.0324	0.100	0	0	0	0.00117	0.100	0	0.400	0.100	0.300	0.0200	0	0.00501
19	942.51	1.11465e-02	3.67	1.76	0.0277	0.0323	0.100	0	0	0	0.00134	0.100	0	0.400	0.100	0.300	0.0200	0	0.00508
20	946.10	1.09645e-02	3.67	1.76	0.0277	0.0321	0.100	0	0	0	0.00151	0.100	0	0.400	0.100	0.300	0.0200	0	0.00458
21	949.68	1.07635e-02	3.67	1.76	0.0277	0.0320	0.100	0	0	0	0.00168	0.100	0	0.400	0.100	0.300	0.0200	0	0.00540
22	953.27	1.05539e-02	3.67	1.76	0.0277	0.0319	0.100	0	0	0	0.00184	0.100	0	0.400	0.100	0.300	0.0200	0	0.00502
23	956.84	1.03595e-02	3.67	1.76	0.0277	0.0318	0.100	0	0	0	0.00200	0.100	0	0.400	0.100	0.300	0.0200	0	0.00479
24	960.42	1.01779e-02	3.67	1.76	0.0277	0.0317	0.100	0	0	0	0.00216	0.100	0	0.400	0.100	0.300	0.0200	0	0.00446
25	963.99	9.95413e-03	3.67	1.76	0.0277	0.0315	0.100	0	0	0	0.00232	0.100	0	0.400	0.100	0.300	0.0200	0	0.00456
26	967.56	9.72604e-03	3.67	1.76	0.0277	0.0314	0.100	0	0	0	0.00247	0.100	0	0.400	0.100	0.300	0.0200	0	0.00441
27	971.12	9.51389e-03	3.67	1.76	0.0277	0.0313	0.100	0	0	0	0.00262	0.100	0	0.400	0.100	0.300	0.0200	0	0.00471
28	974.68	9.32695e-03	3.67	1.76	0.0277	0.0312	0.100	0	0	0	0.00277	0.100	0	0.400	0.100	0.300	0.0200	0	0.00437
29	978.24	9.12795e-03	3.67	1.76	0.0277	0.0311	0.100	0	0	0	0.00292	0.100	0	0.400	0.100	0.300	0.0200	0	0.00416
30	981.79	8.91023e-03	3.67	1.76	0.0277	0.0310	0.100	0	0	0	0.00306	0.100	0	0.400	0.100	0.300	0.0200	0	0.00434
31	985.34	8.70511e-03	3.67	1.76	0.0277	0.0309	0.100	0	0	0	0.00320	0.100	0	0.400	0.100	0.300	0.0200	0	0.00434
32	988.89	8.54314e-03	3.67	1.76	0.0277	0.0307	0.100	0	0	0	0.00334	0.100	0	0.400	0.100	0.300	0.0200	0	0.00405
33	992.43	8.39943e-03	3.67	1.76	0.0277	0.0306	0.100	0	0	0	0.00348	0.100	0	0.400	0.100	0.300	0.0200	0	0.00440
34	995.97	8.25665e-03	3.67	1.76	0.0277	0.0305	0.100	0	0	0	0.00361	0.100	0	0.400	0.100	0.300	0.0200	0	0.00386
