# hypstar_220241_nonlin_corr_coefs_200903.dat	
# Polynomial coefficients for nonlinearity correction factor	
# Corrected_DN = DN / (c0 + c1 * DN + c2 * DN^2 + ...)	
# Uncertainty related to nonlinearity (percent, k=2):	
# u_VNIR	0.36
# u_SWIR	0.07
# row1 - c0, row2 - c1, ...	
#VNIR	SWIR
1.00005442261833	0.999997495788425
-8.47902318797917e-08	1.93176563602161e-06
1.78298721168516e-11	-8.26029293515634e-10
-6.57535730950374e-16	2.23589977011789e-13
-9.6637276839518e-21	-3.20358823865771e-17
4.24584994888034e-25	2.67612366136188e-21
-3.67437729383775e-30	-1.40264721508938e-25
0	4.81344909903238e-30
0	-1.09980950610951e-34
0	1.65996033833064e-39
0	-1.59067884890566e-44
0	8.77104751162238e-50
0	-2.11991755948566e-55
