# hypstar_220241_radcal_L_200903_swir.dat																			
# Calibrated by Joel Kuusk, Tartu Observatory, University of Tartu, 2020-09-03																			
#																			
# Applied corrections:																			
# nonlinearity	hypstar_220241_nonlin_corr_coefs_200903.dat																		
# wavelength	hypstar_220241_wl_coefs_200910.dat																		
# thermal	none																		
# stray light	none																		
#																			
# L [mW m-2 nm-1 sr-1] = DN / inttime_ms * 1000 * cal_coef																			
# Pixel counting starts from 0																			
#																			
# px	wl	cal_coef	u_cal_coef(k=2)	u_lamp(k=1)	u_aging(k=1)	u_power(k=1)	u_align_lamp(k=1)	u_panel(k=1)	u_interp_panel(k=1)	u_align_panel(k=1)	u_wl_source(k=1)	u_lab_stray(k=1)	u_panel_backrefl(k=1)	u_dist(k=1)	u_align(k=1)	u_temp(k=1)	u_lin(k=1)	u_stray(k=1)	u_typeA(k=1)
0	873.82	2.95805e-03	1.59	0.613	0.0485	0.0348	0.100	0.305	0.100	0.100	0.00184	0.100	0.100	0.0800	0.100	0.300	0.0350	0	0.0505
1	877.47	1.36416e-03	1.59	0.613	0.0485	0.0346	0.100	0.305	0.100	0.100	0.00139	0.100	0.100	0.0800	0.100	0.300	0.0350	0	0.0234
2	881.11	8.07211e-04	1.59	0.613	0.0485	0.0345	0.100	0.305	0.100	0.100	0.000928	0.100	0.100	0.0800	0.100	0.300	0.0350	0	0.0146
3	884.74	6.09741e-04	1.59	0.613	0.0485	0.0344	0.100	0.305	0.100	0.100	0.000455	0.100	0.100	0.0800	0.100	0.300	0.0350	0	0.0111
4	888.38	5.36592e-04	1.59	0.613	0.0485	0.0342	0.100	0.305	0.100	0.100	0.0000376	0.100	0.100	0.0800	0.100	0.300	0.0350	0	0.0106
5	892.01	5.05676e-04	1.59	0.613	0.0485	0.0341	0.100	0.305	0.100	0.100	0.000538	0.100	0.100	0.0800	0.100	0.300	0.0350	0	0.00922
6	895.64	4.84827e-04	1.59	0.613	0.0485	0.0339	0.100	0.305	0.100	0.100	0.00105	0.100	0.100	0.0800	0.100	0.300	0.0350	0	0.00891
7	899.26	4.66323e-04	1.59	0.613	0.0485	0.0338	0.100	0.305	0.100	0.100	0.00156	0.100	0.100	0.0800	0.100	0.300	0.0350	0	0.00809
8	902.89	4.45243e-04	3.65	1.76	0.0485	0.0337	0.100	0.305	0.100	0.100	0.000320	0.100	0.100	0.0800	0.100	0.300	0.0350	0	0.00806
9	906.51	4.26043e-04	3.65	1.76	0.0485	0.0335	0.100	0.305	0.100	0.100	0.0000503	0.100	0.100	0.0800	0.100	0.300	0.0350	0	0.00793
10	910.12	4.0283e-04	3.65	1.76	0.0485	0.0334	0.100	0.305	0.100	0.100	0.000207	0.100	0.100	0.0800	0.100	0.300	0.0350	0	0.00729
11	913.74	3.74822e-04	3.65	1.76	0.0485	0.0333	0.100	0.305	0.100	0.100	0.000450	0.100	0.100	0.0800	0.100	0.300	0.0350	0	0.00719
12	917.35	3.42162e-04	3.65	1.76	0.0485	0.0331	0.100	0.305	0.100	0.100	0.000681	0.100	0.100	0.0800	0.100	0.300	0.0350	0	0.00632
13	920.95	3.09936e-04	3.65	1.76	0.0485	0.0330	0.100	0.305	0.100	0.100	0.000866	0.100	0.100	0.0800	0.100	0.300	0.0350	0	0.00611
14	924.56	2.84371e-04	3.65	1.76	0.0485	0.0329	0.100	0.305	0.100	0.100	0.000995	0.100	0.100	0.0800	0.100	0.300	0.0350	0	0.00507
15	928.16	2.67766e-04	3.65	1.76	0.0485	0.0328	0.100	0.305	0.100	0.100	0.00105	0.100	0.100	0.0800	0.100	0.300	0.0350	0	0.00535
16	931.75	2.56904e-04	3.65	1.76	0.0485	0.0326	0.100	0.305	0.100	0.100	0.00110	0.100	0.100	0.0800	0.100	0.300	0.0350	0	0.00530
17	935.35	2.49176e-04	3.65	1.76	0.0485	0.0325	0.100	0.305	0.100	0.100	0.00103	0.100	0.100	0.0800	0.100	0.300	0.0350	0	0.00448
18	938.94	2.43297e-04	3.65	1.76	0.0485	0.0324	0.100	0.305	0.100	0.100	0.000961	0.100	0.100	0.0800	0.100	0.300	0.0350	0	0.00445
19	942.53	2.38712e-04	3.65	1.76	0.0485	0.0323	0.100	0.305	0.100	0.100	0.000911	0.100	0.100	0.0800	0.100	0.300	0.0350	0	0.00503
20	946.11	2.34675e-04	3.65	1.76	0.0485	0.0321	0.100	0.305	0.100	0.100	0.000950	0.100	0.100	0.0800	0.100	0.300	0.0350	0	0.00449
21	949.69	2.3055e-04	3.65	1.76	0.0485	0.0320	0.100	0.305	0.100	0.100	0.00109	0.100	0.100	0.0800	0.100	0.300	0.0350	0	0.00454
22	953.27	2.26243e-04	3.65	1.76	0.0485	0.0319	0.100	0.305	0.100	0.100	0.00131	0.100	0.100	0.0800	0.100	0.300	0.0350	0	0.00448
23	956.85	2.22002e-04	3.65	1.76	0.0485	0.0318	0.100	0.305	0.100	0.100	0.00160	0.100	0.100	0.0800	0.100	0.300	0.0350	0	0.00463
24	960.42	2.17977e-04	3.65	1.76	0.0485	0.0317	0.100	0.305	0.100	0.100	0.00202	0.100	0.100	0.0800	0.100	0.300	0.0350	0	0.00416
25	963.99	2.13268e-04	3.65	1.76	0.0485	0.0315	0.100	0.305	0.100	0.100	0.00244	0.100	0.100	0.0800	0.100	0.300	0.0350	0	0.00411
26	967.55	2.08581e-04	3.65	1.76	0.0485	0.0314	0.100	0.305	0.100	0.100	0.00282	0.100	0.100	0.0800	0.100	0.300	0.0350	0	0.00410
27	971.11	2.03967e-04	3.65	1.76	0.0485	0.0313	0.100	0.305	0.100	0.100	0.00317	0.100	0.100	0.0800	0.100	0.300	0.0350	0	0.00403
28	974.67	1.99808e-04	3.65	1.76	0.0485	0.0312	0.100	0.305	0.100	0.100	0.00344	0.100	0.100	0.0800	0.100	0.300	0.0350	0	0.00435
29	978.23	1.95428e-04	3.65	1.76	0.0485	0.0311	0.100	0.305	0.100	0.100	0.00368	0.100	0.100	0.0800	0.100	0.300	0.0350	0	0.00413
30	981.78	1.90849e-04	3.65	1.76	0.0485	0.0310	0.100	0.305	0.100	0.100	0.00386	0.100	0.100	0.0800	0.100	0.300	0.0350	0	0.00384
31	985.33	1.86647e-04	3.65	1.76	0.0485	0.0309	0.100	0.305	0.100	0.100	0.00400	0.100	0.100	0.0800	0.100	0.300	0.0350	0	0.00380
32	988.87	1.83159e-04	3.65	1.76	0.0485	0.0307	0.100	0.305	0.100	0.100	0.00414	0.100	0.100	0.0800	0.100	0.300	0.0350	0	0.00375
33	992.42	1.79949e-04	3.65	1.76	0.0485	0.0306	0.100	0.305	0.100	0.100	0.00428	0.100	0.100	0.0800	0.100	0.300	0.0350	0	0.00380
