# hypstar_220251_radcal_E_200904_swir.dat																			
# Calibrated by Joel Kuusk, Tartu Observatory, University of Tartu, 2020-09-04																			
#																			
# Applied corrections:																			
# nonlinearity	hypstar_220251_nonlin_corr_coefs_200903.dat																		
# wavelength	none																		
# thermal	none																		
# stray light	none																		
#																			
# E [mW m-2 nm-1] = DN / inttime_ms * 1000 * cal_coef																			
#																			
# px	wl	cal_coef	u_cal_coef(k=2)	u_lamp(k=1)	u_aging(k=1)	u_power(k=1)	u_align_lamp(k=1)	u_panel(k=1)	u_interp_panel(k=1)	u_align_panel(k=1)	u_wl_source(k=1)	u_lab_stray(k=1)	u_panel_backrefl(k=1)	u_dist(k=1)	u_align(k=1)	u_temp(k=1)	u_lin(k=1)	u_stray(k=1)	u_typeA(k=1)
1	884.9	3.86094e-02	1.63	0.613	0.0485	0.0344	0.100	0	0	0	0.0135	0.100	0	0.400	0.100	0.300	0.0750	0	0.0114
2	888.5	3.42776e-02	1.63	0.613	0.0485	0.0342	0.100	0	0	0	0.00486	0.100	0	0.400	0.100	0.300	0.0750	0	0.00984
3	892.1	3.26247e-02	1.63	0.613	0.0485	0.0341	0.100	0	0	0	0.00387	0.100	0	0.400	0.100	0.300	0.0750	0	0.00929
4	895.7	3.13252e-02	1.63	0.613	0.0485	0.0339	0.100	0	0	0	0.0127	0.100	0	0.400	0.100	0.300	0.0750	0	0.0106
5	899.3	3.01608e-02	1.65	0.613	0.0485	0.0338	0.100	0	0	0	0.139	0.100	0	0.400	0.100	0.300	0.0750	0	0.00854
6	902.8	2.88507e-02	3.68	1.76	0.0485	0.0337	0.100	0	0	0	0.123	0.100	0	0.400	0.100	0.300	0.0750	0	0.00931
7	906.4	2.76291e-02	3.67	1.76	0.0485	0.0335	0.100	0	0	0	0.0115	0.100	0	0.400	0.100	0.300	0.0750	0	0.00874
8	910	2.62593e-02	3.67	1.76	0.0485	0.0334	0.100	0	0	0	0.00712	0.100	0	0.400	0.100	0.300	0.0750	0	0.00776
9	913.6	2.45518e-02	3.67	1.76	0.0485	0.0333	0.100	0	0	0	0.00280	0.100	0	0.400	0.100	0.300	0.0750	0	0.00921
10	917.1	2.24568e-02	3.67	1.76	0.0485	0.0331	0.100	0	0	0	0.00133	0.100	0	0.400	0.100	0.300	0.0750	0	0.00868
11	920.7	2.0155e-02	3.67	1.76	0.0485	0.0330	0.100	0	0	0	0.00552	0.100	0	0.400	0.100	0.300	0.0750	0	0.00725
12	924.3	1.8352e-02	3.67	1.76	0.0485	0.0329	0.100	0	0	0	0.00964	0.100	0	0.400	0.100	0.300	0.0750	0	0.00584
13	927.8	1.72105e-02	3.67	1.76	0.0485	0.0328	0.100	0	0	0	0.0136	0.100	0	0.400	0.100	0.300	0.0750	0	0.00636
14	931.4	1.65439e-02	3.67	1.76	0.0485	0.0326	0.100	0	0	0	0.0176	0.100	0	0.400	0.100	0.300	0.0750	0	0.00602
15	934.9	1.60154e-02	3.67	1.76	0.0485	0.0325	0.100	0	0	0	0.0214	0.100	0	0.400	0.100	0.300	0.0750	0	0.00545
16	938.5	1.56407e-02	3.67	1.76	0.0485	0.0324	0.100	0	0	0	0.0253	0.100	0	0.400	0.100	0.300	0.0750	0	0.00526
17	942	1.53518e-02	3.67	1.76	0.0485	0.0323	0.100	0	0	0	0.0290	0.100	0	0.400	0.100	0.300	0.0750	0	0.00506
18	945.6	1.51116e-02	3.67	1.76	0.0485	0.0321	0.100	0	0	0	0.0327	0.100	0	0.400	0.100	0.300	0.0750	0	0.00558
19	949.1	1.47854e-02	3.67	1.76	0.0485	0.0320	0.100	0	0	0	0.0363	0.100	0	0.400	0.100	0.300	0.0750	0	0.00471
20	952.7	1.44985e-02	3.67	1.76	0.0485	0.0319	0.100	0	0	0	0.0400	0.100	0	0.400	0.100	0.300	0.0750	0	0.00578
21	956.2	1.4255e-02	3.67	1.76	0.0485	0.0318	0.100	0	0	0	0.0434	0.100	0	0.400	0.100	0.300	0.0750	0	0.00537
22	959.8	1.39919e-02	3.67	1.76	0.0485	0.0317	0.100	0	0	0	0.0470	0.100	0	0.400	0.100	0.300	0.0750	0	0.00616
23	963.3	1.36725e-02	3.67	1.76	0.0485	0.0316	0.100	0	0	0	0.0503	0.100	0	0.400	0.100	0.300	0.0750	0	0.00473
24	966.9	1.33393e-02	3.67	1.76	0.0485	0.0314	0.100	0	0	0	0.0538	0.100	0	0.400	0.100	0.300	0.0750	0	0.00565
25	970.4	1.30413e-02	3.67	1.76	0.0485	0.0313	0.100	0	0	0	0.0570	0.100	0	0.400	0.100	0.300	0.0750	0	0.00506
26	973.9	1.27893e-02	3.67	1.76	0.0485	0.0312	0.100	0	0	0	0.0602	0.100	0	0.400	0.100	0.300	0.0750	0	0.00527
