# hypstar_220251_radcal_L_200903_swir.dat																			
# Calibrated by Joel Kuusk, Tartu Observatory, University of Tartu, 2020-09-03																			
#																			
# Applied corrections:																			
# nonlinearity	hypstar_220251_nonlin_corr_coefs_200903.dat																		
# wavelength	none																		
# thermal	none																		
# stray light	none																		
#																			
# L [mW m-2 nm-1 sr-1] = DN / inttime_ms * 1000 * cal_coef																			
#																			
# px	wl	cal_coef	u_cal_coef(k=2)	u_lamp(k=1)	u_aging(k=1)	u_power(k=1)	u_align_lamp(k=1)	u_panel(k=1)	u_interp_panel(k=1)	u_align_panel(k=1)	u_wl_source(k=1)	u_lab_stray(k=1)	u_panel_backrefl(k=1)	u_dist(k=1)	u_align(k=1)	u_temp(k=1)	u_lin(k=1)	u_stray(k=1)	u_typeA(k=1)
1	884.9	7.21401e-04	1.59	0.613	0.0485	0.0344	0.100	0.305	0.100	0.100	0.00835	0.100	0.100	0.0800	0.100	0.300	0.0750	0	0.00732
2	888.5	6.35915e-04	1.59	0.613	0.0485	0.0342	0.100	0.305	0.100	0.100	0.00106	0.100	0.100	0.0800	0.100	0.300	0.0750	0	0.00676
3	892.1	6.04141e-04	1.59	0.613	0.0485	0.0341	0.100	0.305	0.100	0.100	0.0107	0.100	0.100	0.0800	0.100	0.300	0.0750	0	0.00643
4	895.7	5.80578e-04	1.59	0.613	0.0485	0.0339	0.100	0.305	0.100	0.100	0.0205	0.100	0.100	0.0800	0.100	0.300	0.0750	0	0.00632
5	899.3	5.592e-04	1.62	0.613	0.0485	0.0338	0.100	0.305	0.100	0.100	0.148	0.100	0.100	0.0800	0.100	0.300	0.0750	0	0.00639
6	902.8	5.35387e-04	3.66	1.76	0.0485	0.0337	0.100	0.305	0.100	0.100	0.132	0.100	0.100	0.0800	0.100	0.300	0.0750	0	0.00659
7	906.4	5.13138e-04	3.65	1.76	0.0485	0.0335	0.100	0.305	0.100	0.100	0.00115	0.100	0.100	0.0800	0.100	0.300	0.0750	0	0.00616
8	910	4.87812e-04	3.65	1.76	0.0485	0.0334	0.100	0.305	0.100	0.100	0.00380	0.100	0.100	0.0800	0.100	0.300	0.0750	0	0.00567
9	913.6	4.55985e-04	3.65	1.76	0.0485	0.0333	0.100	0.305	0.100	0.100	0.00854	0.100	0.100	0.0800	0.100	0.300	0.0750	0	0.00554
10	917.1	4.17572e-04	3.65	1.76	0.0485	0.0331	0.100	0.305	0.100	0.100	0.0128	0.100	0.100	0.0800	0.100	0.300	0.0750	0	0.00544
11	920.7	3.76514e-04	3.65	1.76	0.0485	0.0330	0.100	0.305	0.100	0.100	0.0164	0.100	0.100	0.0800	0.100	0.300	0.0750	0	0.00505
12	924.3	3.44193e-04	3.65	1.76	0.0485	0.0329	0.100	0.305	0.100	0.100	0.0190	0.100	0.100	0.0800	0.100	0.300	0.0750	0	0.00430
13	927.8	3.2294e-04	3.65	1.76	0.0485	0.0328	0.100	0.305	0.100	0.100	0.0204	0.100	0.100	0.0800	0.100	0.300	0.0750	0	0.00388
14	931.4	3.10345e-04	3.65	1.76	0.0485	0.0326	0.100	0.305	0.100	0.100	0.0208	0.100	0.100	0.0800	0.100	0.300	0.0750	0	0.00392
15	934.9	3.00586e-04	3.65	1.76	0.0485	0.0325	0.100	0.305	0.100	0.100	0.0202	0.100	0.100	0.0800	0.100	0.300	0.0750	0	0.00384
16	938.5	2.93856e-04	3.65	1.76	0.0485	0.0324	0.100	0.305	0.100	0.100	0.0188	0.100	0.100	0.0800	0.100	0.300	0.0750	0	0.00373
17	942	2.88442e-04	3.65	1.76	0.0485	0.0323	0.100	0.305	0.100	0.100	0.0179	0.100	0.100	0.0800	0.100	0.300	0.0750	0	0.00396
18	945.6	2.84052e-04	3.65	1.76	0.0485	0.0321	0.100	0.305	0.100	0.100	0.0186	0.100	0.100	0.0800	0.100	0.300	0.0750	0	0.00384
19	949.1	2.7857e-04	3.65	1.76	0.0485	0.0320	0.100	0.305	0.100	0.100	0.0208	0.100	0.100	0.0800	0.100	0.300	0.0750	0	0.00359
20	952.7	2.73642e-04	3.65	1.76	0.0485	0.0319	0.100	0.305	0.100	0.100	0.0249	0.100	0.100	0.0800	0.100	0.300	0.0750	0	0.00384
21	956.2	2.69141e-04	3.65	1.76	0.0485	0.0318	0.100	0.305	0.100	0.100	0.0304	0.100	0.100	0.0800	0.100	0.300	0.0750	0	0.00408
22	959.8	2.64226e-04	3.66	1.76	0.0485	0.0317	0.100	0.305	0.100	0.100	0.0378	0.100	0.100	0.0800	0.100	0.300	0.0750	0	0.00369
23	963.3	2.58633e-04	3.66	1.76	0.0485	0.0316	0.100	0.305	0.100	0.100	0.0457	0.100	0.100	0.0800	0.100	0.300	0.0750	0	0.00395
24	966.9	2.5284e-04	3.66	1.76	0.0485	0.0314	0.100	0.305	0.100	0.100	0.0534	0.100	0.100	0.0800	0.100	0.300	0.0750	0	0.00360
25	970.4	2.47259e-04	3.66	1.76	0.0485	0.0313	0.100	0.305	0.100	0.100	0.0599	0.100	0.100	0.0800	0.100	0.300	0.0750	0	0.00351
26	973.9	2.42352e-04	3.66	1.76	0.0485	0.0312	0.100	0.305	0.100	0.100	0.0655	0.100	0.100	0.0800	0.100	0.300	0.0750	0	0.00349
27	977.5	2.36935e-04	3.66	1.76	0.0485	0.0311	0.100	0.305	0.100	0.100	0.0703	0.100	0.100	0.0800	0.100	0.300	0.0750	0	0.00346
28	981	2.31622e-04	3.66	1.76	0.0485	0.0310	0.100	0.305	0.100	0.100	0.0740	0.100	0.100	0.0800	0.100	0.300	0.0750	0	0.00370
29	984.5	2.26471e-04	3.66	1.76	0.0485	0.0309	0.100	0.305	0.100	0.100	0.0770	0.100	0.100	0.0800	0.100	0.300	0.0750	0	0.00334
30	988	2.2192e-04	3.66	1.76	0.0485	0.0308	0.100	0.305	0.100	0.100	0.0797	0.100	0.100	0.0800	0.100	0.300	0.0750	0	0.00347
31	991.5	2.18219e-04	3.66	1.76	0.0485	0.0307	0.100	0.305	0.100	0.100	0.0824	0.100	0.100	0.0800	0.100	0.300	0.0750	0	0.00337
32	995.1	2.14391e-04	3.66	1.76	0.0485	0.0305	0.100	0.305	0.100	0.100	0.0852	0.100	0.100	0.0800	0.100	0.300	0.0750	0	0.00346
33	998.6	2.10755e-04	3.66	1.76	0.0485	0.0304	0.100	0.305	0.100	0.100	0.0879	0.100	0.100	0.0800	0.100	0.300	0.0750	0	0.00360
34	1002.1	2.07205e-04	3.57	1.71	0.0485	0.0303	0.100	0.305	0.100	0.100	0.0906	0.100	0.100	0.0800	0.100	0.300	0.0750	0	0.00307
35	1005.6	2.04346e-04	3.43	1.64	0.0485	0.0302	0.100	0.305	0.100	0.100	0.0932	0.100	0.100	0.0800	0.100	0.300	0.0750	0	0.00341
36	1009.1	2.02334e-04	3.29	1.56	0.0485	0.0301	0.100	0.305	0.100	0.100	0.0957	0.100	0.100	0.0800	0.100	0.300	0.0750	0	0.00286
37	1012.6	2.00442e-04	3.26	1.54	0.0485	0.0300	0.100	0.305	0.100	0.100	0.0980	0.100	0.100	0.0800	0.100	0.300	0.0750	0	0.00341
38	1016.1	1.97991e-04	3.26	1.54	0.0485	0.0299	0.100	0.305	0.100	0.100	0.100	0.100	0.100	0.0800	0.100	0.300	0.0750	0	0.00309
39	1019.6	1.95704e-04	3.26	1.54	0.0485	0.0298	0.100	0.305	0.100	0.100	0.102	0.100	0.100	0.0800	0.100	0.300	0.0750	0	0.00328
40	1023.1	1.93745e-04	3.26	1.54	0.0485	0.0297	0.100	0.305	0.100	0.100	0.103	0.100	0.100	0.0800	0.100	0.300	0.0750	0	0.00314
41	1026.6	1.92444e-04	3.26	1.54	0.0485	0.0296	0.100	0.305	0.100	0.100	0.104	0.100	0.100	0.0800	0.100	0.300	0.0750	0	0.00319
42	1030.1	1.91425e-04	3.26	1.54	0.0485	0.0295	0.100	0.305	0.100	0.100	0.106	0.100	0.100	0.0800	0.100	0.300	0.0750	0	0.00321
43	1033.6	1.90352e-04	3.26	1.54	0.0485	0.0294	0.100	0.305	0.100	0.100	0.107	0.100	0.100	0.0800	0.100	0.300	0.0750	0	0.00315
44	1037	1.88912e-04	3.26	1.54	0.0485	0.0293	0.100	0.305	0.100	0.100	0.109	0.100	0.100	0.0800	0.100	0.300	0.0750	0	0.00298
45	1040.5	1.87657e-04	3.26	1.54	0.0485	0.0292	0.100	0.305	0.100	0.100	0.112	0.100	0.100	0.0800	0.100	0.300	0.0750	0	0.00327
46	1044	1.86707e-04	3.26	1.54	0.0485	0.0291	0.100	0.305	0.100	0.100	0.115	0.100	0.100	0.0800	0.100	0.300	0.0750	0	0.00330
47	1047.5	1.86199e-04	3.26	1.54	0.0485	0.0290	0.100	0.305	0.100	0.100	0.119	0.100	0.100	0.0800	0.100	0.300	0.0750	0	0.00351
48	1050.9	1.85839e-04	3.26	1.54	0.0485	0.0289	0.100	0.305	0.100	0.100	0.122	0.100	0.100	0.0800	0.100	0.300	0.0750	0	0.00307
