# hypstar_220251_radcal_L_200903_vnir.dat																			
# Calibrated by Joel Kuusk, Tartu Observatory, University of Tartu, 2020-09-03																			
#																			
# Applied corrections:																			
# nonlinearity	hypstar_220251_nonlin_corr_coefs_200903.dat																		
# wavelength	hypstar_220251_wl_coefs_200910.dat																		
# thermal	none																		
# stray light	none																		
#																			
# L [mW m-2 nm-1 sr-1] = DN / inttime_ms * 1000 * cal_coef																			
# Pixel counting starts from 0																			
#																			
# px	wl	cal_coef	u_cal_coef(k=2)	u_lamp(k=1)	u_aging(k=1)	u_power(k=1)	u_align_lamp(k=1)	u_panel(k=1)	u_interp_panel(k=1)	u_align_panel(k=1)	u_wl_source(k=1)	u_lab_stray(k=1)	u_panel_backrefl(k=1)	u_dist(k=1)	u_align(k=1)	u_temp(k=1)	u_lin(k=1)	u_stray(k=1)	u_typeA(k=1)
348	320.29	3.31475e-04	102.	0.859	0.0485	0.0949	0.100	0.326	0.100	0.100	0.0700	0.100	0.100	0.0800	0.100	0.300	0.240	50.8	1.30
349	320.75	3.22111e-04	95.5	0.859	0.0485	0.0948	0.100	0.326	0.100	0.100	0.0698	0.100	0.100	0.0800	0.100	0.300	0.240	47.7	1.22
350	321.21	3.16938e-04	91.4	0.859	0.0485	0.0946	0.100	0.326	0.100	0.100	0.0695	0.100	0.100	0.0800	0.100	0.300	0.240	45.7	1.16
351	321.67	3.37336e-04	98.1	0.859	0.0485	0.0945	0.100	0.326	0.100	0.100	0.0692	0.100	0.100	0.0800	0.100	0.300	0.240	49.0	1.16
352	322.12	3.25774e-04	91.4	0.859	0.0485	0.0944	0.100	0.326	0.100	0.100	0.0689	0.100	0.100	0.0800	0.100	0.300	0.240	45.7	1.11
353	322.58	3.2737e-04	90.2	0.859	0.0485	0.0942	0.100	0.326	0.100	0.100	0.0687	0.100	0.100	0.0800	0.100	0.300	0.240	45.1	1.11
354	323.04	3.31994e-04	90.3	0.859	0.0485	0.0941	0.100	0.326	0.100	0.100	0.0684	0.100	0.100	0.0800	0.100	0.300	0.240	45.1	1.14
355	323.50	3.27372e-04	86.7	0.859	0.0485	0.0940	0.100	0.326	0.100	0.100	0.0681	0.100	0.100	0.0800	0.100	0.300	0.240	43.3	1.15
356	323.96	3.34634e-04	87.8	0.859	0.0485	0.0938	0.100	0.326	0.100	0.100	0.0679	0.100	0.100	0.0800	0.100	0.300	0.240	43.9	1.10
357	324.42	3.33839e-04	85.8	0.859	0.0485	0.0937	0.100	0.326	0.100	0.100	0.0676	0.100	0.100	0.0800	0.100	0.300	0.240	42.9	1.06
358	324.88	3.3937e-04	86.2	0.859	0.0485	0.0936	0.100	0.326	0.100	0.100	0.0673	0.100	0.100	0.0800	0.100	0.300	0.240	43.1	1.10
359	325.33	3.35731e-04	83.3	0.859	0.0485	0.0934	0.100	0.326	0.100	0.100	0.0670	0.100	0.100	0.0800	0.100	0.300	0.240	41.6	0.995
360	325.79	3.39814e-04	83.1	0.859	0.0485	0.0933	0.100	0.326	0.100	0.100	0.0668	0.100	0.100	0.0800	0.100	0.300	0.240	41.5	1.04
361	326.25	3.3679e-04	80.6	0.859	0.0485	0.0932	0.100	0.326	0.100	0.100	0.0665	0.100	0.100	0.0800	0.100	0.300	0.240	40.3	1.37
362	326.71	3.48712e-04	83.1	0.859	0.0485	0.0930	0.100	0.326	0.100	0.100	0.0663	0.100	0.100	0.0800	0.100	0.300	0.240	41.5	1.10
