# hypstar_120243_radcal_E_200729_vnir.dat																			
# Calibrated by Joel Kuusk, Tartu Observatory, University of Tartu, 2020-07-29																			
#																			
# Applied corrections:																			
# nonlinearity	hypstar_120243_nonlin_corr_coefs_200728.dat																		
# wavelength	hypstar_120243_wl_coefs_200910.dat																		
# thermal	none																		
# stray light	none																		
#																			
# E [mW m-2 nm-1] = DN / inttime_ms * 1000 * cal_coef																			
# Pixel counting starts from 0																			
#																			
# px	wl	cal_coef	u_cal_coef(k=2)	u_lamp(k=1)	u_aging(k=1)	u_power(k=1)	u_align_lamp(k=1)	u_panel(k=1)	u_interp_panel(k=1)	u_align_panel(k=1)	u_wl_source(k=1)	u_lab_stray(k=1)	u_panel_backrefl(k=1)	u_dist(k=1)	u_align(k=1)	u_temp(k=1)	u_lin(k=1)	u_stray(k=1)	u_typeA(k=1)
348	320.39	2.42107e-02	94.8	0.859	0.0277	0.0949	0.100	0	0	0	0.0530	0.100	0	0.400	0.100	0.300	0.160	47.3	2.95
349	320.85	2.21739e-02	81.9	0.859	0.0277	0.0947	0.100	0	0	0	0.0528	0.100	0	0.400	0.100	0.300	0.160	40.8	2.66
350	321.31	2.28925e-02	84.0	0.859	0.0277	0.0946	0.100	0	0	0	0.0526	0.100	0	0.400	0.100	0.300	0.160	41.9	2.75
351	321.77	2.28117e-02	81.9	0.859	0.0277	0.0945	0.100	0	0	0	0.0524	0.100	0	0.400	0.100	0.300	0.160	40.9	2.60
352	322.23	2.35073e-02	83.8	0.859	0.0277	0.0943	0.100	0	0	0	0.0522	0.100	0	0.400	0.100	0.300	0.160	41.8	2.82
353	322.69	2.42885e-02	86.1	0.859	0.0277	0.0942	0.100	0	0	0	0.0520	0.100	0	0.400	0.100	0.300	0.160	42.9	2.68
354	323.15	2.43977e-02	85.0	0.859	0.0277	0.0941	0.100	0	0	0	0.0518	0.100	0	0.400	0.100	0.300	0.160	42.4	2.80
355	323.61	2.4486e-02	83.8	0.859	0.0277	0.0939	0.100	0	0	0	0.0516	0.100	0	0.400	0.100	0.300	0.160	41.8	2.77
356	324.07	2.49596e-02	84.4	0.859	0.0277	0.0938	0.100	0	0	0	0.0514	0.100	0	0.400	0.100	0.300	0.160	42.1	2.70
357	324.53	2.41776e-02	79.3	0.859	0.0277	0.0937	0.100	0	0	0	0.0512	0.100	0	0.400	0.100	0.300	0.160	39.5	3.38
358	324.99	2.43222e-02	78.3	0.859	0.0277	0.0935	0.100	0	0	0	0.0510	0.100	0	0.400	0.100	0.300	0.160	39.1	2.43
359	325.45	2.57415e-02	83.2	0.859	0.0277	0.0934	0.100	0	0	0	0.0508	0.100	0	0.400	0.100	0.300	0.160	41.5	2.79
360	325.91	2.32155e-02	70.9	0.859	0.0277	0.0933	0.100	0	0	0	0.0506	0.100	0	0.400	0.100	0.300	0.160	35.3	2.55
361	326.37	2.56915e-02	79.9	0.859	0.0277	0.0931	0.100	0	0	0	0.0504	0.100	0	0.400	0.100	0.300	0.160	39.9	2.58
362	326.83	2.56022e-02	78.1	0.859	0.0277	0.0930	0.100	0	0	0	0.0502	0.100	0	0.400	0.100	0.300	0.160	38.9	2.61
363	327.29	2.50562e-02	74.4	0.859	0.0277	0.0929	0.100	0	0	0	0.0501	0.100	0	0.400	0.100	0.300	0.160	37.1	2.34
364	327.75	2.62676e-02	78.0	0.859	0.0277	0.0928	0.100	0	0	0	0.0499	0.100	0	0.400	0.100	0.300	0.160	38.9	2.74
365	328.21	2.61768e-02	76.2	0.859	0.0277	0.0926	0.100	0	0	0	0.0497	0.100	0	0.400	0.100	0.300	0.160	38.0	2.49
366	328.67	2.66045e-02	76.5	0.859	0.0277	0.0925	0.100	0	0	0	0.0495	0.100	0	0.400	0.100	0.300	0.160	38.2	2.72
367	329.13	2.59872e-02	72.8	0.859	0.0277	0.0924	0.100	0	0	0	0.0493	0.100	0	0.400	0.100	0.300	0.160	36.3	2.34
368	329.59	2.641e-02	73.1	0.859	0.0277	0.0922	0.100	0	0	0	0.0491	0.100	0	0.400	0.100	0.300	0.160	36.4	2.37
369	330.05	2.65184e-02	72.2	0.859	0.0277	0.0921	0.100	0	0	0	0.0489	0.100	0	0.400	0.100	0.300	0.160	36.0	2.40
370	330.51	2.63838e-02	70.4	0.859	0.0277	0.0920	0.100	0	0	0	0.0488	0.100	0	0.400	0.100	0.300	0.160	35.1	2.33
371	330.97	2.70496e-02	71.6	0.859	0.0277	0.0919	0.100	0	0	0	0.0486	0.100	0	0.400	0.100	0.300	0.160	35.7	2.36
372	331.43	2.62716e-02	67.7	0.859	0.0277	0.0917	0.100	0	0	0	0.0484	0.100	0	0.400	0.100	0.300	0.160	33.7	2.45
373	331.89	2.69915e-02	69.0	0.859	0.0277	0.0916	0.100	0	0	0	0.0482	0.100	0	0.400	0.100	0.300	0.160	34.4	2.46
374	332.35	2.68496e-02	67.3	0.859	0.0277	0.0915	0.100	0	0	0	0.0480	0.100	0	0.400	0.100	0.300	0.160	33.6	2.34
375	332.81	2.62187e-02	64.2	0.859	0.0277	0.0913	0.100	0	0	0	0.0479	0.100	0	0.400	0.100	0.300	0.160	32.0	2.48
376	333.27	2.72373e-02	66.3	0.859	0.0277	0.0912	0.100	0	0	0	0.0477	0.100	0	0.400	0.100	0.300	0.160	33.1	2.22
377	333.74	2.65448e-02	63.0	0.859	0.0277	0.0911	0.100	0	0	0	0.0475	0.100	0	0.400	0.100	0.300	0.160	31.4	2.09
378	334.20	2.70892e-02	63.7	0.859	0.0277	0.0910	0.100	0	0	0	0.0473	0.100	0	0.400	0.100	0.300	0.160	31.7	2.37
379	334.66	2.66333e-02	61.3	0.859	0.0277	0.0908	0.100	0	0	0	0.0472	0.100	0	0.400	0.100	0.300	0.160	30.5	2.28
380	335.12	2.7413e-02	62.6	0.859	0.0277	0.0907	0.100	0	0	0	0.0470	0.100	0	0.400	0.100	0.300	0.160	31.2	2.20
381	335.58	2.63514e-02	58.5	0.859	0.0277	0.0906	0.100	0	0	0	0.0468	0.100	0	0.400	0.100	0.300	0.160	29.2	2.16
382	336.04	2.64396e-02	57.9	0.859	0.0277	0.0905	0.100	0	0	0	0.0467	0.100	0	0.400	0.100	0.300	0.160	28.8	2.37
383	336.50	2.57252e-02	55.0	0.859	0.0277	0.0903	0.100	0	0	0	0.0465	0.100	0	0.400	0.100	0.300	0.160	27.4	2.06
384	336.97	2.55129e-02	53.6	0.859	0.0277	0.0902	0.100	0	0	0	0.0463	0.100	0	0.400	0.100	0.300	0.160	26.7	2.13
385	337.43	2.61112e-02	54.3	0.859	0.0277	0.0901	0.100	0	0	0	0.0461	0.100	0	0.400	0.100	0.300	0.160	27.0	1.92
386	337.89	2.70983e-02	56.0	0.859	0.0277	0.0900	0.100	0	0	0	0.0460	0.100	0	0.400	0.100	0.300	0.160	27.9	2.17
387	338.35	2.64278e-02	53.4	0.859	0.0277	0.0898	0.100	0	0	0	0.0458	0.100	0	0.400	0.100	0.300	0.160	26.6	1.92
388	338.81	2.56523e-02	50.7	0.859	0.0277	0.0897	0.100	0	0	0	0.0456	0.100	0	0.400	0.100	0.300	0.160	25.3	1.83
389	339.27	2.53194e-02	49.1	0.859	0.0277	0.0896	0.100	0	0	0	0.0455	0.100	0	0.400	0.100	0.300	0.160	24.5	1.88
390	339.74	2.5177e-02	48.0	0.859	0.0277	0.0895	0.100	0	0	0	0.0453	0.100	0	0.400	0.100	0.300	0.160	23.9	1.78
391	340.20	2.50001e-02	46.9	0.859	0.0277	0.0894	0.100	0	0	0	0.0451	0.100	0	0.400	0.100	0.300	0.160	23.4	1.86
392	340.66	2.64812e-02	49.7	0.859	0.0277	0.0892	0.100	0	0	0	0.0450	0.100	0	0.400	0.100	0.300	0.160	24.7	1.93
393	341.12	2.62565e-02	48.4	0.859	0.0277	0.0891	0.100	0	0	0	0.0448	0.100	0	0.400	0.100	0.300	0.160	24.1	1.93
394	341.59	2.53325e-02	45.6	0.859	0.0277	0.0890	0.100	0	0	0	0.0447	0.100	0	0.400	0.100	0.300	0.160	22.7	1.68
395	342.05	2.46274e-02	43.5	0.859	0.0277	0.0889	0.100	0	0	0	0.0445	0.100	0	0.400	0.100	0.300	0.160	21.6	1.62
396	342.51	2.47688e-02	43.1	0.859	0.0277	0.0888	0.100	0	0	0	0.0443	0.100	0	0.400	0.100	0.300	0.160	21.5	1.61
397	342.97	2.49558e-02	42.9	0.859	0.0277	0.0886	0.100	0	0	0	0.0442	0.100	0	0.400	0.100	0.300	0.160	21.4	1.59
398	343.44	2.47362e-02	41.9	0.859	0.0277	0.0885	0.100	0	0	0	0.0440	0.100	0	0.400	0.100	0.300	0.160	20.8	1.54
399	343.90	2.49666e-02	41.7	0.859	0.0277	0.0884	0.100	0	0	0	0.0439	0.100	0	0.400	0.100	0.300	0.160	20.8	1.64
400	344.36	2.47038e-02	40.6	0.859	0.0277	0.0883	0.100	0	0	0	0.0437	0.100	0	0.400	0.100	0.300	0.160	20.2	1.64
401	344.82	2.46746e-02	40.0	0.859	0.0277	0.0882	0.100	0	0	0	0.0435	0.100	0	0.400	0.100	0.300	0.160	19.9	1.42
402	345.29	2.475e-02	39.6	0.859	0.0277	0.0880	0.100	0	0	0	0.0434	0.100	0	0.400	0.100	0.300	0.160	19.7	1.51
403	345.75	2.46118e-02	38.8	0.859	0.0277	0.0879	0.100	0	0	0	0.0432	0.100	0	0.400	0.100	0.300	0.160	19.3	1.74
404	346.21	2.54235e-02	39.8	0.859	0.0277	0.0878	0.100	0	0	0	0.0431	0.100	0	0.400	0.100	0.300	0.160	19.8	1.64
405	346.68	2.47354e-02	38.0	0.859	0.0277	0.0877	0.100	0	0	0	0.0429	0.100	0	0.400	0.100	0.300	0.160	18.9	1.49
406	347.14	2.42747e-02	36.7	0.859	0.0277	0.0876	0.100	0	0	0	0.0428	0.100	0	0.400	0.100	0.300	0.160	18.2	1.45
407	347.60	2.40067e-02	35.7	0.859	0.0277	0.0875	0.100	0	0	0	0.0426	0.100	0	0.400	0.100	0.300	0.160	17.8	1.50
408	348.07	2.49584e-02	36.9	0.859	0.0277	0.0873	0.100	0	0	0	0.0425	0.100	0	0.400	0.100	0.300	0.160	18.3	1.70
409	348.53	2.47821e-02	36.1	0.859	0.0277	0.0872	0.100	0	0	0	0.0423	0.100	0	0.400	0.100	0.300	0.160	18.0	1.44
410	348.99	2.38812e-02	34.1	0.859	0.0277	0.0871	0.100	0	0	0	0.0422	0.100	0	0.400	0.100	0.300	0.160	17.0	1.39
411	349.46	2.49046e-02	35.3	0.859	0.0277	0.0870	0.100	0	0	0	0.0420	0.100	0	0.400	0.100	0.300	0.160	17.6	1.40
412	349.92	2.44209e-02	34.1	0.859	0.0277	0.0869	0.100	0	0	0	0.0419	0.100	0	0.400	0.100	0.300	0.160	17.0	1.31
413	350.38	2.43105e-02	33.5	0.859	0.0277	0.0868	0.100	0	0	0	0.0417	0.100	0	0.400	0.100	0.300	0.160	16.7	1.45
414	350.85	2.41975e-02	32.9	0.859	0.0277	0.0866	0.100	0	0	0	0.0416	0.100	0	0.400	0.100	0.300	0.160	16.3	1.53
415	351.31	2.44252e-02	32.8	0.859	0.0277	0.0865	0.100	0	0	0	0.0414	0.100	0	0.400	0.100	0.300	0.160	16.3	1.33
416	351.77	2.40229e-02	31.8	0.859	0.0277	0.0864	0.100	0	0	0	0.0413	0.100	0	0.400	0.100	0.300	0.160	15.8	1.41
417	352.24	2.46e-02	32.3	0.859	0.0277	0.0863	0.100	0	0	0	0.0411	0.100	0	0.400	0.100	0.300	0.160	16.0	1.42
418	352.70	2.43654e-02	31.5	0.859	0.0277	0.0862	0.100	0	0	0	0.0410	0.100	0	0.400	0.100	0.300	0.160	15.7	1.37
419	353.17	2.46577e-02	31.5	0.859	0.0277	0.0861	0.100	0	0	0	0.0408	0.100	0	0.400	0.100	0.300	0.160	15.7	1.28
420	353.63	2.51652e-02	31.9	0.859	0.0277	0.0860	0.100	0	0	0	0.0407	0.100	0	0.400	0.100	0.300	0.160	15.8	1.41
421	354.10	2.4744e-02	30.9	0.859	0.0277	0.0859	0.100	0	0	0	0.0405	0.100	0	0.400	0.100	0.300	0.160	15.3	1.26
422	354.56	2.47477e-02	30.5	0.859	0.0277	0.0857	0.100	0	0	0	0.0404	0.100	0	0.400	0.100	0.300	0.160	15.2	1.23
423	355.02	2.51573e-02	30.7	0.859	0.0277	0.0856	0.100	0	0	0	0.0403	0.100	0	0.400	0.100	0.300	0.160	15.3	1.25
424	355.49	2.47159e-02	29.7	0.859	0.0277	0.0855	0.100	0	0	0	0.0401	0.100	0	0.400	0.100	0.300	0.160	14.8	1.33
425	355.95	2.49476e-02	29.6	0.859	0.0277	0.0854	0.100	0	0	0	0.0400	0.100	0	0.400	0.100	0.300	0.160	14.7	1.14
426	356.42	2.47608e-02	29.0	0.859	0.0277	0.0853	0.100	0	0	0	0.0398	0.100	0	0.400	0.100	0.300	0.160	14.4	1.21
427	356.88	2.49378e-02	28.9	0.859	0.0277	0.0852	0.100	0	0	0	0.0397	0.100	0	0.400	0.100	0.300	0.160	14.4	1.31
428	357.35	2.44601e-02	27.9	0.859	0.0277	0.0851	0.100	0	0	0	0.0396	0.100	0	0.400	0.100	0.300	0.160	13.9	1.07
429	357.81	2.53014e-02	28.7	0.859	0.0277	0.0850	0.100	0	0	0	0.0394	0.100	0	0.400	0.100	0.300	0.160	14.3	1.14
430	358.28	2.47912e-02	27.7	0.859	0.0277	0.0849	0.100	0	0	0	0.0393	0.100	0	0.400	0.100	0.300	0.160	13.8	1.25
431	358.74	2.4998e-02	27.6	0.859	0.0277	0.0847	0.100	0	0	0	0.0391	0.100	0	0.400	0.100	0.300	0.160	13.7	1.01
432	359.21	2.55374e-02	28.0	0.859	0.0277	0.0846	0.100	0	0	0	0.0390	0.100	0	0.400	0.100	0.300	0.160	13.9	1.18
433	359.67	2.54077e-02	27.5	0.859	0.0277	0.0845	0.100	0	0	0	0.0389	0.100	0	0.400	0.100	0.300	0.160	13.7	1.25
434	360.14	2.49478e-02	26.6	0.859	0.0277	0.0844	0.100	0	0	0	0.0387	0.100	0	0.400	0.100	0.300	0.160	13.2	1.03
435	360.60	2.51159e-02	26.5	0.859	0.0277	0.0843	0.100	0	0	0	0.0386	0.100	0	0.400	0.100	0.300	0.160	13.2	1.03
436	361.07	2.53547e-02	26.5	0.859	0.0277	0.0842	0.100	0	0	0	0.0385	0.100	0	0.400	0.100	0.300	0.160	13.2	1.10
437	361.53	2.55411e-02	26.4	0.859	0.0277	0.0841	0.100	0	0	0	0.0383	0.100	0	0.400	0.100	0.300	0.160	13.1	1.13
438	362.00	2.51628e-02	25.7	0.859	0.0277	0.0840	0.100	0	0	0	0.0382	0.100	0	0.400	0.100	0.300	0.160	12.7	1.06
439	362.46	2.53496e-02	25.6	0.859	0.0277	0.0839	0.100	0	0	0	0.0381	0.100	0	0.400	0.100	0.300	0.160	12.7	1.10
440	362.93	2.57308e-02	25.7	0.859	0.0277	0.0838	0.100	0	0	0	0.0379	0.100	0	0.400	0.100	0.300	0.160	12.8	1.10
441	363.39	2.51905e-02	24.8	0.859	0.0277	0.0837	0.100	0	0	0	0.0378	0.100	0	0.400	0.100	0.300	0.160	12.3	0.971
442	363.86	2.51439e-02	24.5	0.859	0.0277	0.0835	0.100	0	0	0	0.0377	0.100	0	0.400	0.100	0.300	0.160	12.2	1.05
443	364.33	2.57619e-02	24.9	0.859	0.0277	0.0834	0.100	0	0	0	0.0375	0.100	0	0.400	0.100	0.300	0.160	12.4	0.997
444	364.79	2.59949e-02	24.9	0.859	0.0277	0.0833	0.100	0	0	0	0.0374	0.100	0	0.400	0.100	0.300	0.160	12.3	1.10
445	365.26	2.62361e-02	24.8	0.859	0.0277	0.0832	0.100	0	0	0	0.0373	0.100	0	0.400	0.100	0.300	0.160	12.3	1.03
446	365.72	2.56719e-02	24.0	0.859	0.0277	0.0831	0.100	0	0	0	0.0372	0.100	0	0.400	0.100	0.300	0.160	11.9	0.978
447	366.19	2.59076e-02	24.0	0.859	0.0277	0.0830	0.100	0	0	0	0.0370	0.100	0	0.400	0.100	0.300	0.160	11.9	1.03
448	366.66	2.60886e-02	23.9	0.859	0.0277	0.0829	0.100	0	0	0	0.0369	0.100	0	0.400	0.100	0.300	0.160	11.9	1.02
449	367.12	2.6247e-02	23.8	0.859	0.0277	0.0828	0.100	0	0	0	0.0368	0.100	0	0.400	0.100	0.300	0.160	11.8	1.04
450	367.59	2.61346e-02	23.4	0.859	0.0277	0.0827	0.100	0	0	0	0.0366	0.100	0	0.400	0.100	0.300	0.160	11.6	1.09
451	368.05	2.63769e-02	23.4	0.859	0.0277	0.0826	0.100	0	0	0	0.0365	0.100	0	0.400	0.100	0.300	0.160	11.6	0.991
452	368.52	2.6428e-02	23.2	0.859	0.0277	0.0825	0.100	0	0	0	0.0364	0.100	0	0.400	0.100	0.300	0.160	11.5	0.950
453	368.99	2.60093e-02	22.5	0.859	0.0277	0.0824	0.100	0	0	0	0.0363	0.100	0	0.400	0.100	0.300	0.160	11.2	1.01
454	369.45	2.65752e-02	22.8	0.859	0.0277	0.0823	0.100	0	0	0	0.0361	0.100	0	0.400	0.100	0.300	0.160	11.3	0.912
455	369.92	2.65711e-02	22.6	0.859	0.0277	0.0822	0.100	0	0	0	0.0360	0.100	0	0.400	0.100	0.300	0.160	11.2	0.961
456	370.39	2.62088e-02	22.0	0.859	0.0277	0.0821	0.100	0	0	0	0.0359	0.100	0	0.400	0.100	0.300	0.160	10.9	0.999
457	370.85	2.62603e-02	21.8	0.859	0.0277	0.0820	0.100	0	0	0	0.0358	0.100	0	0.400	0.100	0.300	0.160	10.8	0.976
458	371.32	2.60698e-02	21.4	0.859	0.0277	0.0819	0.100	0	0	0	0.0357	0.100	0	0.400	0.100	0.300	0.160	10.6	0.924
459	371.79	2.56508e-02	20.8	0.859	0.0277	0.0818	0.100	0	0	0	0.0355	0.100	0	0.400	0.100	0.300	0.160	10.3	0.919
460	372.25	2.60233e-02	20.9	0.859	0.0277	0.0817	0.100	0	0	0	0.0354	0.100	0	0.400	0.100	0.300	0.160	10.4	0.949
461	372.72	2.51263e-02	19.9	0.859	0.0277	0.0816	0.100	0	0	0	0.0353	0.100	0	0.400	0.100	0.300	0.160	9.88	0.784
462	373.19	2.5241e-02	19.8	0.859	0.0277	0.0815	0.100	0	0	0	0.0352	0.100	0	0.400	0.100	0.300	0.160	9.83	0.825
463	373.66	2.50765e-02	19.5	0.859	0.0277	0.0814	0.100	0	0	0	0.0350	0.100	0	0.400	0.100	0.300	0.160	9.66	0.794
464	374.12	2.48811e-02	19.2	0.859	0.0277	0.0813	0.100	0	0	0	0.0349	0.100	0	0.400	0.100	0.300	0.160	9.48	0.914
465	374.59	2.48815e-02	18.9	0.859	0.0277	0.0812	0.100	0	0	0	0.0348	0.100	0	0.400	0.100	0.300	0.160	9.38	0.767
466	375.06	2.50146e-02	18.9	0.859	0.0277	0.0811	0.100	0	0	0	0.0347	0.100	0	0.400	0.100	0.300	0.160	9.34	0.875
467	375.52	2.41205e-02	18.0	0.859	0.0277	0.0810	0.100	0	0	0	0.0346	0.100	0	0.400	0.100	0.300	0.160	8.88	0.831
468	375.99	2.41098e-02	17.8	0.859	0.0277	0.0809	0.100	0	0	0	0.0345	0.100	0	0.400	0.100	0.300	0.160	8.79	0.844
469	376.46	2.35496e-02	17.2	0.859	0.0277	0.0808	0.100	0	0	0	0.0343	0.100	0	0.400	0.100	0.300	0.160	8.48	0.835
470	376.93	2.29557e-02	16.5	0.859	0.0277	0.0807	0.100	0	0	0	0.0342	0.100	0	0.400	0.100	0.300	0.160	8.17	0.782
471	377.39	2.31747e-02	16.5	0.859	0.0277	0.0806	0.100	0	0	0	0.0341	0.100	0	0.400	0.100	0.300	0.160	8.17	0.782
472	377.86	2.30984e-02	16.3	0.859	0.0277	0.0805	0.100	0	0	0	0.0340	0.100	0	0.400	0.100	0.300	0.160	8.06	0.737
473	378.33	2.22899e-02	15.6	0.859	0.0277	0.0804	0.100	0	0	0	0.0339	0.100	0	0.400	0.100	0.300	0.160	7.68	0.748
