# hypstar_120251_radcal_L_200728_vnir.dat																			
# Calibrated by Joel Kuusk, Tartu Observatory, University of Tartu, 2020-07-28																			
#																			
# Applied corrections:																			
# nonlinearity	hypstar_120251_nonlin_corr_coefs_200728.dat																		
# wavelength	hypstar_120251_wl_coefs_200910.dat																		
# thermal	none																		
# stray light	none																		
#																			
# L [mW m-2 nm-1 sr-1] = DN / inttime_ms * 1000 * cal_coef																			
# Pixel counting starts from 0																			
#																			
# px	wl	cal_coef	u_cal_coef(k=2)	u_lamp(k=1)	u_aging(k=1)	u_power(k=1)	u_align_lamp(k=1)	u_panel(k=1)	u_interp_panel(k=1)	u_align_panel(k=1)	u_wl_source(k=1)	u_lab_stray(k=1)	u_panel_backrefl(k=1)	u_dist(k=1)	u_align(k=1)	u_temp(k=1)	u_lin(k=1)	u_stray(k=1)	u_typeA(k=1)
348	320.32	1.80068e-04	72.0	0.859	0.0277	0.0949	0.100	0.326	0.100	0.100	0.0700	0.100	0.100	0.0800	0.100	0.300	0.210	36.0	1.40
349	320.78	1.7127e-04	66.1	0.859	0.0277	0.0948	0.100	0.326	0.100	0.100	0.0698	0.100	0.100	0.0800	0.100	0.300	0.210	33.0	1.20
350	321.24	1.71053e-04	64.8	0.859	0.0277	0.0946	0.100	0.326	0.100	0.100	0.0695	0.100	0.100	0.0800	0.100	0.300	0.210	32.4	1.20
351	321.70	1.73694e-04	64.9	0.859	0.0277	0.0945	0.100	0.326	0.100	0.100	0.0692	0.100	0.100	0.0800	0.100	0.300	0.210	32.4	1.31
352	322.15	1.71484e-04	62.7	0.859	0.0277	0.0944	0.100	0.326	0.100	0.100	0.0689	0.100	0.100	0.0800	0.100	0.300	0.210	31.3	1.15
353	322.61	1.71609e-04	61.7	0.859	0.0277	0.0942	0.100	0.326	0.100	0.100	0.0686	0.100	0.100	0.0800	0.100	0.300	0.210	30.8	1.19
354	323.07	1.70801e-04	60.2	0.859	0.0277	0.0941	0.100	0.326	0.100	0.100	0.0684	0.100	0.100	0.0800	0.100	0.300	0.210	30.1	1.22
355	323.53	1.68129e-04	58.0	0.859	0.0277	0.0940	0.100	0.326	0.100	0.100	0.0681	0.100	0.100	0.0800	0.100	0.300	0.210	28.9	1.49
356	323.98	1.71038e-04	58.2	0.859	0.0277	0.0938	0.100	0.326	0.100	0.100	0.0678	0.100	0.100	0.0800	0.100	0.300	0.210	29.1	1.06
357	324.44	1.72501e-04	57.9	0.859	0.0277	0.0937	0.100	0.326	0.100	0.100	0.0676	0.100	0.100	0.0800	0.100	0.300	0.210	28.9	1.10
358	324.90	1.7107e-04	56.3	0.859	0.0277	0.0936	0.100	0.326	0.100	0.100	0.0673	0.100	0.100	0.0800	0.100	0.300	0.210	28.1	1.04
359	325.36	1.73398e-04	56.3	0.859	0.0277	0.0934	0.100	0.326	0.100	0.100	0.0670	0.100	0.100	0.0800	0.100	0.300	0.210	28.1	1.06
360	325.82	1.6833e-04	53.3	0.859	0.0277	0.0933	0.100	0.326	0.100	0.100	0.0668	0.100	0.100	0.0800	0.100	0.300	0.210	26.6	0.988
361	326.27	1.74073e-04	54.7	0.859	0.0277	0.0932	0.100	0.326	0.100	0.100	0.0665	0.100	0.100	0.0800	0.100	0.300	0.210	27.3	1.03
362	326.73	1.72135e-04	53.0	0.859	0.0277	0.0930	0.100	0.326	0.100	0.100	0.0663	0.100	0.100	0.0800	0.100	0.300	0.210	26.5	1.01
363	327.19	1.72047e-04	52.1	0.859	0.0277	0.0929	0.100	0.326	0.100	0.100	0.0660	0.100	0.100	0.0800	0.100	0.300	0.210	26.0	1.06
364	327.65	1.74407e-04	52.2	0.859	0.0277	0.0928	0.100	0.326	0.100	0.100	0.0658	0.100	0.100	0.0800	0.100	0.300	0.210	26.0	0.970
365	328.11	1.72973e-04	50.8	0.859	0.0277	0.0927	0.100	0.326	0.100	0.100	0.0655	0.100	0.100	0.0800	0.100	0.300	0.210	25.4	1.17
366	328.57	1.76745e-04	51.3	0.859	0.0277	0.0925	0.100	0.326	0.100	0.100	0.0653	0.100	0.100	0.0800	0.100	0.300	0.210	25.6	0.931
367	329.03	1.78218e-04	51.0	0.859	0.0277	0.0924	0.100	0.326	0.100	0.100	0.0650	0.100	0.100	0.0800	0.100	0.300	0.210	25.5	0.945
368	329.49	1.76819e-04	49.7	0.859	0.0277	0.0923	0.100	0.326	0.100	0.100	0.0648	0.100	0.100	0.0800	0.100	0.300	0.210	24.8	0.967
369	329.94	1.75463e-04	48.5	0.859	0.0277	0.0921	0.100	0.326	0.100	0.100	0.0645	0.100	0.100	0.0800	0.100	0.300	0.210	24.2	0.902
370	330.40	1.79739e-04	49.2	0.859	0.0277	0.0920	0.100	0.326	0.100	0.100	0.0643	0.100	0.100	0.0800	0.100	0.300	0.210	24.5	0.923
371	330.86	1.78997e-04	48.2	0.859	0.0277	0.0919	0.100	0.326	0.100	0.100	0.0641	0.100	0.100	0.0800	0.100	0.300	0.210	24.0	0.968
372	331.32	1.8242e-04	48.5	0.859	0.0277	0.0918	0.100	0.326	0.100	0.100	0.0638	0.100	0.100	0.0800	0.100	0.300	0.210	24.2	0.949
373	331.78	1.82775e-04	47.9	0.859	0.0277	0.0916	0.100	0.326	0.100	0.100	0.0636	0.100	0.100	0.0800	0.100	0.300	0.210	23.9	0.920
374	332.24	1.85565e-04	48.0	0.859	0.0277	0.0915	0.100	0.326	0.100	0.100	0.0634	0.100	0.100	0.0800	0.100	0.300	0.210	24.0	0.910
375	332.70	1.82527e-04	46.3	0.859	0.0277	0.0914	0.100	0.326	0.100	0.100	0.0632	0.100	0.100	0.0800	0.100	0.300	0.210	23.1	0.911
376	333.16	1.84329e-04	46.2	0.859	0.0277	0.0912	0.100	0.326	0.100	0.100	0.0629	0.100	0.100	0.0800	0.100	0.300	0.210	23.1	0.898
377	333.62	1.85979e-04	46.0	0.859	0.0277	0.0911	0.100	0.326	0.100	0.100	0.0627	0.100	0.100	0.0800	0.100	0.300	0.210	23.0	0.874
378	334.08	1.8689e-04	45.6	0.859	0.0277	0.0910	0.100	0.326	0.100	0.100	0.0625	0.100	0.100	0.0800	0.100	0.300	0.210	22.7	0.887
379	334.54	1.8801e-04	45.2	0.859	0.0277	0.0909	0.100	0.326	0.100	0.100	0.0623	0.100	0.100	0.0800	0.100	0.300	0.210	22.6	0.944
380	335.00	1.86745e-04	44.2	0.859	0.0277	0.0907	0.100	0.326	0.100	0.100	0.0621	0.100	0.100	0.0800	0.100	0.300	0.210	22.0	0.969
381	335.46	1.8686e-04	43.5	0.859	0.0277	0.0906	0.100	0.326	0.100	0.100	0.0618	0.100	0.100	0.0800	0.100	0.300	0.210	21.7	0.887
382	335.92	1.89538e-04	43.6	0.859	0.0277	0.0905	0.100	0.326	0.100	0.100	0.0616	0.100	0.100	0.0800	0.100	0.300	0.210	21.8	0.844
383	336.38	1.85801e-04	42.0	0.859	0.0277	0.0904	0.100	0.326	0.100	0.100	0.0614	0.100	0.100	0.0800	0.100	0.300	0.210	20.9	0.814
384	336.84	1.88278e-04	42.0	0.859	0.0277	0.0903	0.100	0.326	0.100	0.100	0.0612	0.100	0.100	0.0800	0.100	0.300	0.210	21.0	0.856
385	337.30	1.85661e-04	40.7	0.859	0.0277	0.0901	0.100	0.326	0.100	0.100	0.0610	0.100	0.100	0.0800	0.100	0.300	0.210	20.3	0.930
386	337.76	1.85671e-04	40.1	0.859	0.0277	0.0900	0.100	0.326	0.100	0.100	0.0608	0.100	0.100	0.0800	0.100	0.300	0.210	20.0	0.837
387	338.22	1.83055e-04	38.9	0.859	0.0277	0.0899	0.100	0.326	0.100	0.100	0.0606	0.100	0.100	0.0800	0.100	0.300	0.210	19.4	0.826
388	338.68	1.84944e-04	38.8	0.859	0.0277	0.0898	0.100	0.326	0.100	0.100	0.0604	0.100	0.100	0.0800	0.100	0.300	0.210	19.4	0.889
389	339.14	1.81752e-04	37.5	0.859	0.0277	0.0896	0.100	0.326	0.100	0.100	0.0602	0.100	0.100	0.0800	0.100	0.300	0.210	18.7	0.780
390	339.60	1.84463e-04	37.6	0.859	0.0277	0.0895	0.100	0.326	0.100	0.100	0.0600	0.100	0.100	0.0800	0.100	0.300	0.210	18.8	0.767
391	340.06	1.82473e-04	36.6	0.859	0.0277	0.0894	0.100	0.326	0.100	0.100	0.0598	0.100	0.100	0.0800	0.100	0.300	0.210	18.3	0.824
392	340.52	1.80932e-04	35.7	0.859	0.0277	0.0893	0.100	0.326	0.100	0.100	0.0596	0.100	0.100	0.0800	0.100	0.300	0.210	17.8	0.808
393	340.98	1.81096e-04	35.3	0.859	0.0277	0.0892	0.100	0.326	0.100	0.100	0.0594	0.100	0.100	0.0800	0.100	0.300	0.210	17.6	0.764
394	341.44	1.78422e-04	34.2	0.859	0.0277	0.0890	0.100	0.326	0.100	0.100	0.0592	0.100	0.100	0.0800	0.100	0.300	0.210	17.1	0.712
395	341.90	1.77581e-04	33.5	0.859	0.0277	0.0889	0.100	0.326	0.100	0.100	0.0590	0.100	0.100	0.0800	0.100	0.300	0.210	16.7	0.726
396	342.36	1.7527e-04	32.6	0.859	0.0277	0.0888	0.100	0.326	0.100	0.100	0.0588	0.100	0.100	0.0800	0.100	0.300	0.210	16.2	0.699
397	342.82	1.75984e-04	32.3	0.859	0.0277	0.0887	0.100	0.326	0.100	0.100	0.0586	0.100	0.100	0.0800	0.100	0.300	0.210	16.1	0.780
398	343.28	1.74901e-04	31.6	0.859	0.0277	0.0886	0.100	0.326	0.100	0.100	0.0585	0.100	0.100	0.0800	0.100	0.300	0.210	15.8	0.711
399	343.75	1.73058e-04	30.9	0.859	0.0277	0.0884	0.100	0.326	0.100	0.100	0.0582	0.100	0.100	0.0800	0.100	0.300	0.210	15.4	0.704
400	344.21	1.73895e-04	30.6	0.859	0.0277	0.0883	0.100	0.326	0.100	0.100	0.0581	0.100	0.100	0.0800	0.100	0.300	0.210	15.3	0.674
401	344.67	1.71118e-04	29.7	0.859	0.0277	0.0882	0.100	0.326	0.100	0.100	0.0579	0.100	0.100	0.0800	0.100	0.300	0.210	14.8	0.669
402	345.13	1.6958e-04	29.0	0.859	0.0277	0.0881	0.100	0.326	0.100	0.100	0.0577	0.100	0.100	0.0800	0.100	0.300	0.210	14.4	0.658
403	345.59	1.69859e-04	28.6	0.859	0.0277	0.0880	0.100	0.326	0.100	0.100	0.0575	0.100	0.100	0.0800	0.100	0.300	0.210	14.3	0.646
404	346.05	1.68936e-04	28.1	0.859	0.0277	0.0878	0.100	0.326	0.100	0.100	0.0573	0.100	0.100	0.0800	0.100	0.300	0.210	14.0	0.639
405	346.51	1.6857e-04	27.7	0.859	0.0277	0.0877	0.100	0.326	0.100	0.100	0.0571	0.100	0.100	0.0800	0.100	0.300	0.210	13.8	0.614
406	346.98	1.66724e-04	27.0	0.859	0.0277	0.0876	0.100	0.326	0.100	0.100	0.0569	0.100	0.100	0.0800	0.100	0.300	0.210	13.4	0.608
407	347.44	1.64138e-04	26.2	0.859	0.0277	0.0875	0.100	0.326	0.100	0.100	0.0567	0.100	0.100	0.0800	0.100	0.300	0.210	13.0	0.613
408	347.90	1.64781e-04	26.0	0.859	0.0277	0.0874	0.100	0.326	0.100	0.100	0.0565	0.100	0.100	0.0800	0.100	0.300	0.210	12.9	0.600
409	348.36	1.62475e-04	25.2	0.859	0.0277	0.0873	0.100	0.326	0.100	0.100	0.0564	0.100	0.100	0.0800	0.100	0.300	0.210	12.6	0.578
410	348.82	1.62947e-04	25.0	0.859	0.0277	0.0872	0.100	0.326	0.100	0.100	0.0562	0.100	0.100	0.0800	0.100	0.300	0.210	12.4	0.585
411	349.28	1.62996e-04	24.7	0.859	0.0277	0.0870	0.100	0.326	0.100	0.100	0.0560	0.100	0.100	0.0800	0.100	0.300	0.210	12.3	0.571
412	349.75	1.61212e-04	24.1	0.859	0.0277	0.0869	0.100	0.326	0.100	0.100	0.0558	0.100	0.100	0.0800	0.100	0.300	0.210	12.0	0.583
413	350.21	1.61094e-04	23.8	0.859	0.0277	0.0868	0.100	0.326	0.100	0.100	0.0556	0.100	0.100	0.0800	0.100	0.300	0.210	11.8	0.605
414	350.67	1.6011e-04	23.3	0.859	0.0277	0.0867	0.100	0.326	0.100	0.100	0.0554	0.100	0.100	0.0800	0.100	0.300	0.210	11.6	0.568
415	351.13	1.59286e-04	22.9	0.859	0.0277	0.0866	0.100	0.326	0.100	0.100	0.0553	0.100	0.100	0.0800	0.100	0.300	0.210	11.4	0.558
