# hypstar_220241_radcal_E_200904_swir.dat																			
# Calibrated by Joel Kuusk, Tartu Observatory, University of Tartu, 2020-09-04																			
#																			
# Applied corrections:																			
# nonlinearity	hypstar_220241_nonlin_corr_coefs_200903.dat																		
# wavelength	hypstar_220241_wl_coefs_200910.dat																		
# thermal	none																		
# stray light	none																		
#																			
# E [mW m-2 nm-1] = DN / inttime_ms * 1000 * cal_coef																			
# Pixel counting starts from 0																			
#																			
# px	wl	cal_coef	u_cal_coef(k=2)	u_lamp(k=1)	u_aging(k=1)	u_power(k=1)	u_align_lamp(k=1)	u_panel(k=1)	u_interp_panel(k=1)	u_align_panel(k=1)	u_wl_source(k=1)	u_lab_stray(k=1)	u_panel_backrefl(k=1)	u_dist(k=1)	u_align(k=1)	u_temp(k=1)	u_lin(k=1)	u_stray(k=1)	u_typeA(k=1)
0	873.69	1.76722e-01	1.64	0.613	0.0485	0.0348	0.100	0	0	0	0.00181	0.100	0	0.400	0.100	0.300	0.0350	0	0.0959
1	877.34	6.77123e-02	1.63	0.613	0.0485	0.0347	0.100	0	0	0	0.00143	0.100	0	0.400	0.100	0.300	0.0350	0	0.0346
2	880.99	3.72084e-02	1.63	0.613	0.0485	0.0345	0.100	0	0	0	0.00104	0.100	0	0.400	0.100	0.300	0.0350	0	0.0184
3	884.64	2.77787e-02	1.63	0.613	0.0485	0.0344	0.100	0	0	0	0.000643	0.100	0	0.400	0.100	0.300	0.0350	0	0.0136
4	888.28	2.47739e-02	1.63	0.613	0.0485	0.0342	0.100	0	0	0	0.000246	0.100	0	0.400	0.100	0.300	0.0350	0	0.0122
5	891.92	2.35609e-02	1.63	0.613	0.0485	0.0341	0.100	0	0	0	0.000155	0.100	0	0.400	0.100	0.300	0.0350	0	0.0119
6	895.55	2.26188e-02	1.63	0.613	0.0485	0.0339	0.100	0	0	0	0.000559	0.100	0	0.400	0.100	0.300	0.0350	0	0.0112
7	899.19	2.1757e-02	1.63	0.613	0.0485	0.0338	0.100	0	0	0	0.000967	0.100	0	0.400	0.100	0.300	0.0350	0	0.0127
8	902.81	2.07931e-02	3.67	1.76	0.0485	0.0337	0.100	0	0	0	0.000724	0.100	0	0.400	0.100	0.300	0.0350	0	0.0110
9	906.44	1.99224e-02	3.67	1.76	0.0485	0.0335	0.100	0	0	0	0.000520	0.100	0	0.400	0.100	0.300	0.0350	0	0.0114
10	910.06	1.88857e-02	3.67	1.76	0.0485	0.0334	0.100	0	0	0	0.000320	0.100	0	0.400	0.100	0.300	0.0350	0	0.00971
11	913.68	1.76149e-02	3.67	1.76	0.0485	0.0333	0.100	0	0	0	0.000122	0.100	0	0.400	0.100	0.300	0.0350	0	0.00901
12	917.30	1.60286e-02	3.67	1.76	0.0485	0.0331	0.100	0	0	0	0.0000715	0.100	0	0.400	0.100	0.300	0.0350	0	0.00870
13	920.91	1.4444e-02	3.67	1.76	0.0485	0.0330	0.100	0	0	0	0.000262	0.100	0	0.400	0.100	0.300	0.0350	0	0.00796
14	924.52	1.32178e-02	3.67	1.76	0.0485	0.0329	0.100	0	0	0	0.000450	0.100	0	0.400	0.100	0.300	0.0350	0	0.00731
15	928.12	1.24592e-02	3.67	1.76	0.0485	0.0328	0.100	0	0	0	0.000634	0.100	0	0.400	0.100	0.300	0.0350	0	0.00679
16	931.73	1.1969e-02	3.67	1.76	0.0485	0.0326	0.100	0	0	0	0.000816	0.100	0	0.400	0.100	0.300	0.0350	0	0.00653
17	935.32	1.16089e-02	3.67	1.76	0.0485	0.0325	0.100	0	0	0	0.000994	0.100	0	0.400	0.100	0.300	0.0350	0	0.00646
18	938.92	1.13367e-02	3.67	1.76	0.0485	0.0324	0.100	0	0	0	0.00117	0.100	0	0.400	0.100	0.300	0.0350	0	0.00621
19	942.51	1.11301e-02	3.67	1.76	0.0485	0.0323	0.100	0	0	0	0.00134	0.100	0	0.400	0.100	0.300	0.0350	0	0.00616
20	946.10	1.09474e-02	3.67	1.76	0.0485	0.0321	0.100	0	0	0	0.00151	0.100	0	0.400	0.100	0.300	0.0350	0	0.00723
21	949.68	1.07458e-02	3.67	1.76	0.0485	0.0320	0.100	0	0	0	0.00168	0.100	0	0.400	0.100	0.300	0.0350	0	0.00585
22	953.27	1.05371e-02	3.67	1.76	0.0485	0.0319	0.100	0	0	0	0.00184	0.100	0	0.400	0.100	0.300	0.0350	0	0.00602
23	956.84	1.03422e-02	3.67	1.76	0.0485	0.0318	0.100	0	0	0	0.00200	0.100	0	0.400	0.100	0.300	0.0350	0	0.00587
24	960.42	1.01574e-02	3.67	1.76	0.0485	0.0317	0.100	0	0	0	0.00216	0.100	0	0.400	0.100	0.300	0.0350	0	0.00554
25	963.99	9.93167e-03	3.67	1.76	0.0485	0.0315	0.100	0	0	0	0.00232	0.100	0	0.400	0.100	0.300	0.0350	0	0.00553
26	967.56	9.70645e-03	3.67	1.76	0.0485	0.0314	0.100	0	0	0	0.00247	0.100	0	0.400	0.100	0.300	0.0350	0	0.00560
27	971.12	9.4951e-03	3.67	1.76	0.0485	0.0313	0.100	0	0	0	0.00262	0.100	0	0.400	0.100	0.300	0.0350	0	0.00554
