# hypstar_120241_radcal_E_200904_vnir.dat																			
# Calibrated by Joel Kuusk, Tartu Observatory, University of Tartu, 2020-09-04																			
#																			
# Applied corrections:																			
# nonlinearity	hypstar_120241_nonlin_corr_coefs_200903.dat																		
# wavelength	hypstar_120241_wl_coefs_200910.dat																		
# thermal	none																		
# stray light	none																		
#																			
# E [mW m-2 nm-1] = DN / inttime_ms * 1000 * cal_coef																			
# Pixel counting starts from 0																			
#																			
# px	wl	cal_coef	u_cal_coef(k=2)	u_lamp(k=1)	u_aging(k=1)	u_power(k=1)	u_align_lamp(k=1)	u_panel(k=1)	u_interp_panel(k=1)	u_align_panel(k=1)	u_wl_source(k=1)	u_lab_stray(k=1)	u_panel_backrefl(k=1)	u_dist(k=1)	u_align(k=1)	u_temp(k=1)	u_lin(k=1)	u_stray(k=1)	u_typeA(k=1)
345	320.28	1.29479e-02	93.2	0.859	0.0485	0.0949	0.100	0	0	0	0.0707	0.100	0	0.400	0.100	0.300	0.220	46.5	1.90
346	320.74	1.25211e-02	87.0	0.859	0.0485	0.0948	0.100	0	0	0	0.0704	0.100	0	0.400	0.100	0.300	0.220	43.4	1.83
347	321.20	1.27455e-02	87.4	0.859	0.0485	0.0946	0.100	0	0	0	0.0702	0.100	0	0.400	0.100	0.300	0.220	43.7	1.81
348	321.66	1.27712e-02	86.0	0.859	0.0485	0.0945	0.100	0	0	0	0.0699	0.100	0	0.400	0.100	0.300	0.220	42.9	2.01
349	322.12	1.27902e-02	84.5	0.859	0.0485	0.0944	0.100	0	0	0	0.0696	0.100	0	0.400	0.100	0.300	0.220	42.2	1.72
350	322.58	1.28794e-02	83.6	0.859	0.0485	0.0942	0.100	0	0	0	0.0694	0.100	0	0.400	0.100	0.300	0.220	41.8	1.78
351	323.03	1.27862e-02	81.2	0.859	0.0485	0.0941	0.100	0	0	0	0.0691	0.100	0	0.400	0.100	0.300	0.220	40.5	1.74
352	323.49	1.28536e-02	80.2	0.859	0.0485	0.0940	0.100	0	0	0	0.0688	0.100	0	0.400	0.100	0.300	0.220	40.1	1.73
353	323.95	1.31871e-02	81.6	0.859	0.0485	0.0938	0.100	0	0	0	0.0686	0.100	0	0.400	0.100	0.300	0.220	40.8	1.65
354	324.41	1.27649e-02	76.5	0.859	0.0485	0.0937	0.100	0	0	0	0.0683	0.100	0	0.400	0.100	0.300	0.220	38.2	1.52
355	324.87	1.28404e-02	75.7	0.859	0.0485	0.0936	0.100	0	0	0	0.0681	0.100	0	0.400	0.100	0.300	0.220	37.8	1.68
356	325.33	1.30442e-02	75.9	0.859	0.0485	0.0934	0.100	0	0	0	0.0678	0.100	0	0.400	0.100	0.300	0.220	37.9	1.59
357	325.79	1.32691e-02	76.3	0.859	0.0485	0.0933	0.100	0	0	0	0.0676	0.100	0	0.400	0.100	0.300	0.220	38.1	1.63
358	326.25	1.31499e-02	74.0	0.859	0.0485	0.0932	0.100	0	0	0	0.0673	0.100	0	0.400	0.100	0.300	0.220	37.0	1.77
359	326.71	1.39195e-02	78.6	0.859	0.0485	0.0930	0.100	0	0	0	0.0671	0.100	0	0.400	0.100	0.300	0.220	39.2	1.92
360	327.17	1.312e-02	71.2	0.859	0.0485	0.0929	0.100	0	0	0	0.0668	0.100	0	0.400	0.100	0.300	0.220	35.5	1.52
361	327.63	1.36591e-02	73.8	0.859	0.0485	0.0928	0.100	0	0	0	0.0666	0.100	0	0.400	0.100	0.300	0.220	36.9	1.41
362	328.09	1.36679e-02	72.6	0.859	0.0485	0.0927	0.100	0	0	0	0.0663	0.100	0	0.400	0.100	0.300	0.220	36.2	1.79
363	328.55	1.39138e-02	73.0	0.859	0.0485	0.0925	0.100	0	0	0	0.0661	0.100	0	0.400	0.100	0.300	0.220	36.5	1.44
364	329.01	1.38684e-02	71.4	0.859	0.0485	0.0924	0.100	0	0	0	0.0658	0.100	0	0.400	0.100	0.300	0.220	35.7	1.64
365	329.46	1.359e-02	68.3	0.859	0.0485	0.0923	0.100	0	0	0	0.0656	0.100	0	0.400	0.100	0.300	0.220	34.1	1.68
366	329.92	1.4299e-02	71.8	0.859	0.0485	0.0921	0.100	0	0	0	0.0653	0.100	0	0.400	0.100	0.300	0.220	35.9	1.51
367	330.38	1.43569e-02	71.0	0.859	0.0485	0.0920	0.100	0	0	0	0.0651	0.100	0	0.400	0.100	0.300	0.220	35.4	1.51
368	330.84	1.4447e-02	70.4	0.859	0.0485	0.0919	0.100	0	0	0	0.0648	0.100	0	0.400	0.100	0.300	0.220	35.1	1.70
369	331.30	1.47018e-02	70.8	0.859	0.0485	0.0918	0.100	0	0	0	0.0646	0.100	0	0.400	0.100	0.300	0.220	35.3	1.60
370	331.76	1.49348e-02	71.1	0.859	0.0485	0.0916	0.100	0	0	0	0.0644	0.100	0	0.400	0.100	0.300	0.220	35.5	1.58
371	332.23	1.50538e-02	70.6	0.859	0.0485	0.0915	0.100	0	0	0	0.0641	0.100	0	0.400	0.100	0.300	0.220	35.2	1.45
372	332.69	1.46586e-02	67.0	0.859	0.0485	0.0914	0.100	0	0	0	0.0639	0.100	0	0.400	0.100	0.300	0.220	33.4	1.40
373	333.15	1.5555e-02	71.3	0.859	0.0485	0.0913	0.100	0	0	0	0.0637	0.100	0	0.400	0.100	0.300	0.220	35.6	1.52
374	333.61	1.51208e-02	67.5	0.859	0.0485	0.0911	0.100	0	0	0	0.0634	0.100	0	0.400	0.100	0.300	0.220	33.7	1.48
375	334.07	1.56759e-02	69.6	0.859	0.0485	0.0910	0.100	0	0	0	0.0632	0.100	0	0.400	0.100	0.300	0.220	34.8	1.48
376	334.53	1.55063e-02	67.5	0.859	0.0485	0.0909	0.100	0	0	0	0.0630	0.100	0	0.400	0.100	0.300	0.220	33.7	1.58
377	334.99	1.59189e-02	68.7	0.859	0.0485	0.0907	0.100	0	0	0	0.0627	0.100	0	0.400	0.100	0.300	0.220	34.3	1.50
378	335.45	1.56482e-02	66.1	0.859	0.0485	0.0906	0.100	0	0	0	0.0625	0.100	0	0.400	0.100	0.300	0.220	33.0	1.53
379	335.91	1.56931e-02	65.2	0.859	0.0485	0.0905	0.100	0	0	0	0.0623	0.100	0	0.400	0.100	0.300	0.220	32.6	1.44
380	336.37	1.56757e-02	64.1	0.859	0.0485	0.0904	0.100	0	0	0	0.0620	0.100	0	0.400	0.100	0.300	0.220	32.0	1.44
381	336.83	1.61173e-02	65.4	0.859	0.0485	0.0903	0.100	0	0	0	0.0618	0.100	0	0.400	0.100	0.300	0.220	32.6	1.43
382	337.29	1.57822e-02	62.6	0.859	0.0485	0.0901	0.100	0	0	0	0.0616	0.100	0	0.400	0.100	0.300	0.220	31.2	1.32
383	337.75	1.60663e-02	63.0	0.859	0.0485	0.0900	0.100	0	0	0	0.0614	0.100	0	0.400	0.100	0.300	0.220	31.5	1.40
384	338.22	1.6139e-02	62.4	0.859	0.0485	0.0899	0.100	0	0	0	0.0611	0.100	0	0.400	0.100	0.300	0.220	31.2	1.43
385	338.68	1.61409e-02	61.4	0.859	0.0485	0.0898	0.100	0	0	0	0.0609	0.100	0	0.400	0.100	0.300	0.220	30.7	1.42
386	339.14	1.61775e-02	60.6	0.859	0.0485	0.0896	0.100	0	0	0	0.0607	0.100	0	0.400	0.100	0.300	0.220	30.3	1.49
387	339.60	1.60559e-02	59.1	0.859	0.0485	0.0895	0.100	0	0	0	0.0605	0.100	0	0.400	0.100	0.300	0.220	29.5	1.37
388	340.06	1.59271e-02	57.6	0.859	0.0485	0.0894	0.100	0	0	0	0.0603	0.100	0	0.400	0.100	0.300	0.220	28.7	1.47
389	340.52	1.58364e-02	56.3	0.859	0.0485	0.0893	0.100	0	0	0	0.0600	0.100	0	0.400	0.100	0.300	0.220	28.1	1.31
390	340.98	1.62698e-02	57.4	0.859	0.0485	0.0892	0.100	0	0	0	0.0598	0.100	0	0.400	0.100	0.300	0.220	28.6	1.33
391	341.45	1.61286e-02	55.9	0.859	0.0485	0.0890	0.100	0	0	0	0.0596	0.100	0	0.400	0.100	0.300	0.220	27.9	1.31
392	341.91	1.60882e-02	54.9	0.859	0.0485	0.0889	0.100	0	0	0	0.0594	0.100	0	0.400	0.100	0.300	0.220	27.4	1.21
393	342.37	1.62846e-02	54.9	0.859	0.0485	0.0888	0.100	0	0	0	0.0592	0.100	0	0.400	0.100	0.300	0.220	27.4	1.28
394	342.83	1.68219e-02	56.4	0.859	0.0485	0.0887	0.100	0	0	0	0.0590	0.100	0	0.400	0.100	0.300	0.220	28.1	1.33
395	343.29	1.64743e-02	54.1	0.859	0.0485	0.0886	0.100	0	0	0	0.0587	0.100	0	0.400	0.100	0.300	0.220	27.0	1.37
396	343.76	1.66509e-02	54.0	0.859	0.0485	0.0884	0.100	0	0	0	0.0585	0.100	0	0.400	0.100	0.300	0.220	26.9	1.21
397	344.22	1.6472e-02	52.5	0.859	0.0485	0.0883	0.100	0	0	0	0.0583	0.100	0	0.400	0.100	0.300	0.220	26.2	1.43
398	344.68	1.64695e-02	51.7	0.859	0.0485	0.0882	0.100	0	0	0	0.0581	0.100	0	0.400	0.100	0.300	0.220	25.8	1.19
399	345.14	1.6745e-02	52.0	0.859	0.0485	0.0881	0.100	0	0	0	0.0579	0.100	0	0.400	0.100	0.300	0.220	26.0	1.34
400	345.60	1.68063e-02	51.5	0.859	0.0485	0.0880	0.100	0	0	0	0.0577	0.100	0	0.400	0.100	0.300	0.220	25.7	1.42
401	346.07	1.74764e-02	53.4	0.859	0.0485	0.0878	0.100	0	0	0	0.0575	0.100	0	0.400	0.100	0.300	0.220	26.6	1.45
402	346.53	1.70404e-02	50.9	0.859	0.0485	0.0877	0.100	0	0	0	0.0573	0.100	0	0.400	0.100	0.300	0.220	25.4	1.15
403	346.99	1.7026e-02	50.2	0.859	0.0485	0.0876	0.100	0	0	0	0.0571	0.100	0	0.400	0.100	0.300	0.220	25.0	1.15
404	347.46	1.72357e-02	50.2	0.859	0.0485	0.0875	0.100	0	0	0	0.0569	0.100	0	0.400	0.100	0.300	0.220	25.1	1.20
405	347.92	1.70294e-02	48.8	0.859	0.0485	0.0874	0.100	0	0	0	0.0567	0.100	0	0.400	0.100	0.300	0.220	24.3	1.26
406	348.38	1.71462e-02	48.5	0.859	0.0485	0.0873	0.100	0	0	0	0.0565	0.100	0	0.400	0.100	0.300	0.220	24.2	1.13
407	348.84	1.73171e-02	48.4	0.859	0.0485	0.0871	0.100	0	0	0	0.0563	0.100	0	0.400	0.100	0.300	0.220	24.2	1.21
408	349.31	1.78069e-02	49.4	0.859	0.0485	0.0870	0.100	0	0	0	0.0561	0.100	0	0.400	0.100	0.300	0.220	24.7	1.20
409	349.77	1.7129e-02	46.5	0.859	0.0485	0.0869	0.100	0	0	0	0.0559	0.100	0	0.400	0.100	0.300	0.220	23.2	1.14
410	350.23	1.72027e-02	46.1	0.859	0.0485	0.0868	0.100	0	0	0	0.0557	0.100	0	0.400	0.100	0.300	0.220	23.0	1.21
411	350.70	1.76525e-02	46.9	0.859	0.0485	0.0867	0.100	0	0	0	0.0555	0.100	0	0.400	0.100	0.300	0.220	23.4	1.10
412	351.16	1.71352e-02	44.6	0.859	0.0485	0.0866	0.100	0	0	0	0.0553	0.100	0	0.400	0.100	0.300	0.220	22.3	1.06
413	351.62	1.72144e-02	44.3	0.859	0.0485	0.0865	0.100	0	0	0	0.0551	0.100	0	0.400	0.100	0.300	0.220	22.1	1.14
