# hypstar_120242_radcal_L_200728_vnir.dat																			
# Calibrated by Joel Kuusk, Tartu Observatory, University of Tartu, 2020-07-28																			
#																			
# Applied corrections:																			
# nonlinearity	hypstar_120242_nonlin_corr_coefs_200728.dat																		
# wavelength	hypstar_120242_wl_coefs_200910.dat																		
# thermal	none																		
# stray light	none																		
#																			
# L [mW m-2 nm-1 sr-1] = DN / inttime_ms * 1000 * cal_coef																			
# Pixel counting starts from 0																			
#																			
# px	wl	cal_coef	u_cal_coef(k=2)	u_lamp(k=1)	u_aging(k=1)	u_power(k=1)	u_align_lamp(k=1)	u_panel(k=1)	u_interp_panel(k=1)	u_align_panel(k=1)	u_wl_source(k=1)	u_lab_stray(k=1)	u_panel_backrefl(k=1)	u_dist(k=1)	u_align(k=1)	u_temp(k=1)	u_lin(k=1)	u_stray(k=1)	u_typeA(k=1)
346	320.31	1.97595e-04	71.6	0.859	0.0277	0.0949	0.100	0.326	0.100	0.100	0.0525	0.100	0.100	0.0800	0.100	0.300	0.225	35.8	0.715
347	320.77	1.96944e-04	70.0	0.859	0.0277	0.0948	0.100	0.326	0.100	0.100	0.0523	0.100	0.100	0.0800	0.100	0.300	0.225	35.0	0.711
348	321.23	1.94273e-04	67.5	0.859	0.0277	0.0946	0.100	0.326	0.100	0.100	0.0521	0.100	0.100	0.0800	0.100	0.300	0.225	33.7	0.706
349	321.69	1.96945e-04	67.4	0.859	0.0277	0.0945	0.100	0.326	0.100	0.100	0.0519	0.100	0.100	0.0800	0.100	0.300	0.225	33.7	0.743
350	322.15	1.94614e-04	65.2	0.859	0.0277	0.0944	0.100	0.326	0.100	0.100	0.0517	0.100	0.100	0.0800	0.100	0.300	0.225	32.6	0.761
351	322.60	1.93838e-04	63.7	0.859	0.0277	0.0942	0.100	0.326	0.100	0.100	0.0515	0.100	0.100	0.0800	0.100	0.300	0.225	31.8	0.712
352	323.06	1.94375e-04	62.8	0.859	0.0277	0.0941	0.100	0.326	0.100	0.100	0.0513	0.100	0.100	0.0800	0.100	0.300	0.225	31.4	0.732
353	323.52	1.933e-04	61.2	0.859	0.0277	0.0940	0.100	0.326	0.100	0.100	0.0511	0.100	0.100	0.0800	0.100	0.300	0.225	30.6	0.683
354	323.98	1.93804e-04	60.4	0.859	0.0277	0.0938	0.100	0.326	0.100	0.100	0.0509	0.100	0.100	0.0800	0.100	0.300	0.225	30.2	0.669
355	324.44	1.93664e-04	59.3	0.859	0.0277	0.0937	0.100	0.326	0.100	0.100	0.0507	0.100	0.100	0.0800	0.100	0.300	0.225	29.6	0.676
