# hypstar_120242_radcal_E_220526_vnir.dat
# File was created 2022-05-26 16:47:35 UTC
#
# Calibrated by Joel Kuusk, Tartu Observatory, University of Tartu, 2022-05-26
#
# Applied corrections:
# nonlinearity	hypstar_120242_nonlin_corr_coefs_200903.dat
# wavelength	hypstar_120242_wl_coefs_220526.dat
# thermal	none
# stray light	none
#
# E [mW m-2 nm-1] = DN / inttime_ms * 1000 * cal_coef
# Pixel counting starts from 0
#
# px	wl	cal_coef	u_cal_coef(k=2)	u_lamp(k=1)	u_aging(k=1)	u_power(k=1)	u_align_lamp(k=1)	u_panel(k=1)	u_interp_panel(k=1)	u_align_panel(k=1)	u_wl_source(k=1)	u_lab_stray(k=1)	u_panel_backrefl(k=1)	u_dist(k=1)	u_align(k=1)	u_temp(k=1)	u_lin(k=1)	u_stray(k=1)	u_typeA(k=1)
412	350.29	1.26662e-02	23.8	0.859	0.211	0.0868	0.100	0	0	0	0.111	0.100	0	0.440	0.100	0.300	0.190	11.8	0.832
413	350.75	1.26275e-02	23.4	0.859	0.211	0.0867	0.100	0	0	0	0.111	0.100	0	0.440	0.100	0.300	0.190	11.6	0.808
414	351.22	1.28794e-02	23.6	0.859	0.211	0.0866	0.100	0	0	0	0.111	0.100	0	0.440	0.100	0.300	0.190	11.7	0.859
415	351.68	1.26629e-02	22.9	0.859	0.211	0.0864	0.100	0	0	0	0.110	0.100	0	0.440	0.100	0.300	0.190	11.4	0.827
416	352.14	1.25619e-02	22.4	0.859	0.211	0.0863	0.100	0	0	0	0.110	0.100	0	0.440	0.100	0.300	0.190	11.1	0.798
417	352.61	1.26323e-02	22.3	0.859	0.211	0.0862	0.100	0	0	0	0.109	0.100	0	0.440	0.100	0.300	0.190	11.1	0.734
418	353.07	1.24808e-02	21.7	0.859	0.211	0.0861	0.100	0	0	0	0.109	0.100	0	0.440	0.100	0.300	0.190	10.8	0.804
419	353.54	1.23665e-02	21.3	0.859	0.211	0.0860	0.100	0	0	0	0.109	0.100	0	0.440	0.100	0.300	0.190	10.6	0.721
420	354.00	1.25062e-02	21.3	0.859	0.211	0.0859	0.100	0	0	0	0.108	0.100	0	0.440	0.100	0.300	0.190	10.6	0.775
421	354.46	1.25554e-02	21.1	0.859	0.211	0.0858	0.100	0	0	0	0.108	0.100	0	0.440	0.100	0.300	0.190	10.5	0.759
422	354.93	1.26015e-02	20.9	0.859	0.211	0.0857	0.100	0	0	0	0.107	0.100	0	0.440	0.100	0.300	0.190	10.4	0.741
423	355.39	1.26223e-02	20.7	0.859	0.211	0.0855	0.100	0	0	0	0.107	0.100	0	0.440	0.100	0.300	0.190	10.3	0.745
424	355.85	1.29262e-02	21.0	0.859	0.211	0.0854	0.100	0	0	0	0.107	0.100	0	0.440	0.100	0.300	0.190	10.4	0.750
425	356.32	1.28741e-02	20.7	0.859	0.211	0.0853	0.100	0	0	0	0.106	0.100	0	0.440	0.100	0.300	0.190	10.3	0.786
