# hypstar_120242_radcal_L_220526_vnir.dat
# File was created 2022-05-26 16:47:34 UTC
#
# Calibrated by Joel Kuusk, Tartu Observatory, University of Tartu, 2022-05-26
#
# Applied corrections:
# nonlinearity	hypstar_120242_nonlin_corr_coefs_200903.dat
# wavelength	hypstar_120242_wl_coefs_220526.dat
# thermal	none
# stray light	none
#
# L [mW m-2 nm-1 sr-1] = DN / inttime_ms * 1000 * cal_coef
# Pixel counting starts from 0
#
# px	wl	cal_coef	u_cal_coef(k=2)	u_lamp(k=1)	u_aging(k=1)	u_power(k=1)	u_align_lamp(k=1)	u_panel(k=1)	u_interp_panel(k=1)	u_align_panel(k=1)	u_wl_source(k=1)	u_lab_stray(k=1)	u_panel_backrefl(k=1)	u_dist(k=1)	u_align(k=1)	u_temp(k=1)	u_lin(k=1)	u_stray(k=1)	u_typeA(k=1)
411	350.31	1.83847e-04	24.1	0.859	0.211	0.0868	0.100	0.600	0.100	0.100	0.125	0.100	0.100	0.120	0.100	0.300	0.190	12.0	0.341
412	350.77	1.82226e-04	23.5	0.859	0.211	0.0867	0.100	0.600	0.100	0.100	0.125	0.100	0.100	0.120	0.100	0.300	0.190	11.7	0.376
413	351.24	1.81043e-04	23.1	0.859	0.211	0.0866	0.100	0.600	0.100	0.100	0.124	0.100	0.100	0.120	0.100	0.300	0.190	11.5	0.339
414	351.70	1.82046e-04	22.9	0.859	0.211	0.0864	0.100	0.600	0.100	0.100	0.124	0.100	0.100	0.120	0.100	0.300	0.190	11.4	0.344
415	352.16	1.79607e-04	22.3	0.859	0.211	0.0863	0.100	0.600	0.100	0.100	0.123	0.100	0.100	0.120	0.100	0.300	0.190	11.1	0.328
416	352.63	1.80565e-04	22.2	0.859	0.211	0.0862	0.100	0.600	0.100	0.100	0.123	0.100	0.100	0.120	0.100	0.300	0.190	11.0	0.316
417	353.09	1.80888e-04	22.0	0.859	0.211	0.0861	0.100	0.600	0.100	0.100	0.123	0.100	0.100	0.120	0.100	0.300	0.190	10.9	0.313
418	353.55	1.79833e-04	21.6	0.859	0.211	0.0860	0.100	0.600	0.100	0.100	0.122	0.100	0.100	0.120	0.100	0.300	0.190	10.7	0.356
419	354.02	1.80418e-04	21.4	0.859	0.211	0.0859	0.100	0.600	0.100	0.100	0.122	0.100	0.100	0.120	0.100	0.300	0.190	10.6	0.308
420	354.48	1.79467e-04	21.0	0.859	0.211	0.0858	0.100	0.600	0.100	0.100	0.121	0.100	0.100	0.120	0.100	0.300	0.190	10.4	0.316
421	354.94	1.80482e-04	20.9	0.859	0.211	0.0856	0.100	0.600	0.100	0.100	0.121	0.100	0.100	0.120	0.100	0.300	0.190	10.4	0.307
422	355.41	1.80857e-04	20.7	0.859	0.211	0.0855	0.100	0.600	0.100	0.100	0.120	0.100	0.100	0.120	0.100	0.300	0.190	10.3	0.304
423	355.87	1.78412e-04	20.2	0.859	0.211	0.0854	0.100	0.600	0.100	0.100	0.120	0.100	0.100	0.120	0.100	0.300	0.190	10.0	0.311
424	356.34	1.78476e-04	19.9	0.859	0.211	0.0853	0.100	0.600	0.100	0.100	0.120	0.100	0.100	0.120	0.100	0.300	0.190	9.90	0.301
425	356.80	1.76634e-04	19.5	0.859	0.211	0.0852	0.100	0.600	0.100	0.100	0.119	0.100	0.100	0.120	0.100	0.300	0.190	9.67	0.306
426	357.26	1.75465e-04	19.1	0.859	0.211	0.0851	0.100	0.600	0.100	0.100	0.119	0.100	0.100	0.120	0.100	0.300	0.190	9.49	0.316
