# hypstar_120242_radcal_E_220526_vnir.dat
# File was created 2022-05-26 16:47:43 UTC
#
# Calibrated by Joel Kuusk, Tartu Observatory, University of Tartu, 2022-05-26
#
# Applied corrections:
# nonlinearity	hypstar_120242_nonlin_corr_coefs_200903.dat
# wavelength	hypstar_120242_wl_coefs_220526.dat
# thermal	none
# stray light	none
#
# E [mW m-2 nm-1] = DN / inttime_ms * 1000 * cal_coef
# Pixel counting starts from 0
#
# px	wl	cal_coef	u_cal_coef(k=2)	u_lamp(k=1)	u_aging(k=1)	u_power(k=1)	u_align_lamp(k=1)	u_panel(k=1)	u_interp_panel(k=1)	u_align_panel(k=1)	u_wl_source(k=1)	u_lab_stray(k=1)	u_panel_backrefl(k=1)	u_dist(k=1)	u_align(k=1)	u_temp(k=1)	u_lin(k=1)	u_stray(k=1)	u_typeA(k=1)
412	350.29	1.22958e-02	23.6	0.859	0.211	0.0868	0.100	0	0	0	0.111	0.100	0	0.440	0.100	0.300	0.190	11.7	0.783
413	350.75	1.21488e-02	23.0	0.859	0.211	0.0867	0.100	0	0	0	0.111	0.100	0	0.440	0.100	0.300	0.190	11.4	0.794
414	351.22	1.21096e-02	22.7	0.859	0.211	0.0866	0.100	0	0	0	0.111	0.100	0	0.440	0.100	0.300	0.190	11.3	0.830
415	351.68	1.18913e-02	22.0	0.859	0.211	0.0864	0.100	0	0	0	0.110	0.100	0	0.440	0.100	0.300	0.190	10.9	0.779
416	352.14	1.22363e-02	22.4	0.859	0.211	0.0863	0.100	0	0	0	0.110	0.100	0	0.440	0.100	0.300	0.190	11.1	0.753
417	352.61	1.2195e-02	22.0	0.859	0.211	0.0862	0.100	0	0	0	0.109	0.100	0	0.440	0.100	0.300	0.190	10.9	0.789
418	353.07	1.17985e-02	21.0	0.859	0.211	0.0861	0.100	0	0	0	0.109	0.100	0	0.440	0.100	0.300	0.190	10.4	0.805
419	353.54	1.19235e-02	21.0	0.859	0.211	0.0860	0.100	0	0	0	0.109	0.100	0	0.440	0.100	0.300	0.190	10.4	0.742
420	354.00	1.20732e-02	21.0	0.859	0.211	0.0859	0.100	0	0	0	0.108	0.100	0	0.440	0.100	0.300	0.190	10.4	0.722
421	354.46	1.19375e-02	20.5	0.859	0.211	0.0858	0.100	0	0	0	0.108	0.100	0	0.440	0.100	0.300	0.190	10.2	0.686
422	354.93	1.20202e-02	20.4	0.859	0.211	0.0857	0.100	0	0	0	0.107	0.100	0	0.440	0.100	0.300	0.190	10.1	0.710
423	355.39	1.19933e-02	20.2	0.859	0.211	0.0855	0.100	0	0	0	0.107	0.100	0	0.440	0.100	0.300	0.190	9.99	0.752
424	355.85	1.23243e-02	20.5	0.859	0.211	0.0854	0.100	0	0	0	0.107	0.100	0	0.440	0.100	0.300	0.190	10.2	0.717
425	356.32	1.25014e-02	20.6	0.859	0.211	0.0853	0.100	0	0	0	0.106	0.100	0	0.440	0.100	0.300	0.190	10.2	0.720
426	356.78	1.24252e-02	20.2	0.859	0.211	0.0852	0.100	0	0	0	0.106	0.100	0	0.440	0.100	0.300	0.190	10.0	0.734
427	357.25	1.28392e-02	20.7	0.859	0.211	0.0851	0.100	0	0	0	0.106	0.100	0	0.440	0.100	0.300	0.190	10.3	0.724
428	357.71	1.28883e-02	20.6	0.859	0.211	0.0850	0.100	0	0	0	0.105	0.100	0	0.440	0.100	0.300	0.190	10.2	0.717
429	358.17	1.33349e-02	21.1	0.859	0.211	0.0849	0.100	0	0	0	0.105	0.100	0	0.440	0.100	0.300	0.190	10.5	0.707
430	358.64	1.34502e-02	21.1	0.859	0.211	0.0848	0.100	0	0	0	0.104	0.100	0	0.440	0.100	0.300	0.190	10.4	0.717
431	359.10	1.35953e-02	21.1	0.859	0.211	0.0847	0.100	0	0	0	0.104	0.100	0	0.440	0.100	0.300	0.190	10.5	0.693
432	359.57	1.35729e-02	20.8	0.859	0.211	0.0845	0.100	0	0	0	0.104	0.100	0	0.440	0.100	0.300	0.190	10.3	0.708
433	360.03	1.36613e-02	20.7	0.859	0.211	0.0844	0.100	0	0	0	0.103	0.100	0	0.440	0.100	0.300	0.190	10.3	0.869
434	360.50	1.36115e-02	20.4	0.859	0.211	0.0843	0.100	0	0	0	0.103	0.100	0	0.440	0.100	0.300	0.190	10.1	0.830
435	360.96	1.31718e-02	19.4	0.859	0.211	0.0842	0.100	0	0	0	0.103	0.100	0	0.440	0.100	0.300	0.190	9.64	0.678
436	361.43	1.29888e-02	18.9	0.859	0.211	0.0841	0.100	0	0	0	0.102	0.100	0	0.440	0.100	0.300	0.190	9.39	0.680
437	361.89	1.26081e-02	18.2	0.859	0.211	0.0840	0.100	0	0	0	0.102	0.100	0	0.440	0.100	0.300	0.190	8.99	0.682
438	362.36	1.21997e-02	17.3	0.859	0.211	0.0839	0.100	0	0	0	0.102	0.100	0	0.440	0.100	0.300	0.190	8.57	0.593
439	362.82	1.20085e-02	16.9	0.859	0.211	0.0838	0.100	0	0	0	0.101	0.100	0	0.440	0.100	0.300	0.190	8.34	0.633
440	363.29	1.17843e-02	16.3	0.859	0.211	0.0837	0.100	0	0	0	0.101	0.100	0	0.440	0.100	0.300	0.190	8.08	0.615
441	363.75	1.12907e-02	15.5	0.859	0.211	0.0836	0.100	0	0	0	0.101	0.100	0	0.440	0.100	0.300	0.190	7.63	0.588
442	364.22	1.10063e-02	14.9	0.859	0.211	0.0835	0.100	0	0	0	0.100	0.100	0	0.440	0.100	0.300	0.190	7.34	0.574
443	364.68	1.08233e-02	14.5	0.859	0.211	0.0834	0.100	0	0	0	0.0998	0.100	0	0.440	0.100	0.300	0.190	7.14	0.574
444	365.15	1.05899e-02	14.0	0.859	0.211	0.0833	0.100	0	0	0	0.0995	0.100	0	0.440	0.100	0.300	0.190	6.90	0.572
445	365.61	1.0607e-02	13.9	0.859	0.211	0.0831	0.100	0	0	0	0.0992	0.100	0	0.440	0.100	0.300	0.190	6.83	0.527
446	366.08	1.03736e-02	13.4	0.859	0.211	0.0830	0.100	0	0	0	0.0988	0.100	0	0.440	0.100	0.300	0.190	6.60	0.495
447	366.54	1.05966e-02	13.6	0.859	0.211	0.0829	0.100	0	0	0	0.0985	0.100	0	0.440	0.100	0.300	0.190	6.68	0.525
448	367.01	1.07895e-02	13.7	0.859	0.211	0.0828	0.100	0	0	0	0.0981	0.100	0	0.440	0.100	0.300	0.190	6.74	0.561
449	367.47	1.08655e-02	13.7	0.859	0.211	0.0827	0.100	0	0	0	0.0978	0.100	0	0.440	0.100	0.300	0.190	6.72	0.551
450	367.94	1.12033e-02	13.9	0.859	0.211	0.0826	0.100	0	0	0	0.0975	0.100	0	0.440	0.100	0.300	0.190	6.87	0.513
451	368.41	1.16069e-02	14.3	0.859	0.211	0.0825	0.100	0	0	0	0.0971	0.100	0	0.440	0.100	0.300	0.190	7.06	0.554
452	368.87	1.189e-02	14.5	0.859	0.211	0.0824	0.100	0	0	0	0.0968	0.100	0	0.440	0.100	0.300	0.190	7.17	0.540
453	369.34	1.19038e-02	14.4	0.859	0.211	0.0823	0.100	0	0	0	0.0965	0.100	0	0.440	0.100	0.300	0.190	7.11	0.544
454	369.80	1.21749e-02	14.6	0.859	0.211	0.0822	0.100	0	0	0	0.0961	0.100	0	0.440	0.100	0.300	0.190	7.20	0.572
455	370.27	1.22214e-02	14.5	0.859	0.211	0.0821	0.100	0	0	0	0.0958	0.100	0	0.440	0.100	0.300	0.190	7.16	0.567
456	370.74	1.25799e-02	14.8	0.859	0.211	0.0820	0.100	0	0	0	0.0955	0.100	0	0.440	0.100	0.300	0.190	7.31	0.563
