# hypstar_120242_radcal_L_220526_vnir.dat
# File was created 2022-05-26 16:47:42 UTC
#
# Calibrated by Joel Kuusk, Tartu Observatory, University of Tartu, 2022-05-26
#
# Applied corrections:
# nonlinearity	hypstar_120242_nonlin_corr_coefs_200903.dat
# wavelength	hypstar_120242_wl_coefs_220526.dat
# thermal	none
# stray light	none
#
# L [mW m-2 nm-1 sr-1] = DN / inttime_ms * 1000 * cal_coef
# Pixel counting starts from 0
#
# px	wl	cal_coef	u_cal_coef(k=2)	u_lamp(k=1)	u_aging(k=1)	u_power(k=1)	u_align_lamp(k=1)	u_panel(k=1)	u_interp_panel(k=1)	u_align_panel(k=1)	u_wl_source(k=1)	u_lab_stray(k=1)	u_panel_backrefl(k=1)	u_dist(k=1)	u_align(k=1)	u_temp(k=1)	u_lin(k=1)	u_stray(k=1)	u_typeA(k=1)
411	350.31	1.83193e-04	23.6	0.859	0.211	0.0868	0.100	0.600	0.100	0.100	0.125	0.100	0.100	0.120	0.100	0.300	0.190	11.8	0.329
412	350.77	1.80513e-04	23.0	0.859	0.211	0.0867	0.100	0.600	0.100	0.100	0.125	0.100	0.100	0.120	0.100	0.300	0.190	11.4	0.380
413	351.24	1.80228e-04	22.7	0.859	0.211	0.0866	0.100	0.600	0.100	0.100	0.124	0.100	0.100	0.120	0.100	0.300	0.190	11.3	0.329
414	351.70	1.80282e-04	22.4	0.859	0.211	0.0864	0.100	0.600	0.100	0.100	0.124	0.100	0.100	0.120	0.100	0.300	0.190	11.1	0.334
415	352.16	1.78936e-04	21.9	0.859	0.211	0.0863	0.100	0.600	0.100	0.100	0.123	0.100	0.100	0.120	0.100	0.300	0.190	10.9	0.327
416	352.63	1.79151e-04	21.7	0.859	0.211	0.0862	0.100	0.600	0.100	0.100	0.123	0.100	0.100	0.120	0.100	0.300	0.190	10.8	0.329
417	353.09	1.79398e-04	21.5	0.859	0.211	0.0861	0.100	0.600	0.100	0.100	0.123	0.100	0.100	0.120	0.100	0.300	0.190	10.7	0.326
418	353.55	1.77449e-04	21.0	0.859	0.211	0.0860	0.100	0.600	0.100	0.100	0.122	0.100	0.100	0.120	0.100	0.300	0.190	10.4	0.351
419	354.02	1.78664e-04	20.9	0.859	0.211	0.0859	0.100	0.600	0.100	0.100	0.122	0.100	0.100	0.120	0.100	0.300	0.190	10.4	0.311
420	354.48	1.79078e-04	20.7	0.859	0.211	0.0858	0.100	0.600	0.100	0.100	0.121	0.100	0.100	0.120	0.100	0.300	0.190	10.3	0.335
421	354.94	1.79731e-04	20.5	0.859	0.211	0.0856	0.100	0.600	0.100	0.100	0.121	0.100	0.100	0.120	0.100	0.300	0.190	10.2	0.300
422	355.41	1.78218e-04	20.1	0.859	0.211	0.0855	0.100	0.600	0.100	0.100	0.120	0.100	0.100	0.120	0.100	0.300	0.190	9.98	0.305
423	355.87	1.77118e-04	19.7	0.859	0.211	0.0854	0.100	0.600	0.100	0.100	0.120	0.100	0.100	0.120	0.100	0.300	0.190	9.80	0.299
424	356.34	1.77357e-04	19.5	0.859	0.211	0.0853	0.100	0.600	0.100	0.100	0.120	0.100	0.100	0.120	0.100	0.300	0.190	9.70	0.311
425	356.80	1.75316e-04	19.1	0.859	0.211	0.0852	0.100	0.600	0.100	0.100	0.119	0.100	0.100	0.120	0.100	0.300	0.190	9.46	0.295
426	357.26	1.7468e-04	18.8	0.859	0.211	0.0851	0.100	0.600	0.100	0.100	0.119	0.100	0.100	0.120	0.100	0.300	0.190	9.32	0.314
427	357.73	1.71475e-04	18.2	0.859	0.211	0.0850	0.100	0.600	0.100	0.100	0.118	0.100	0.100	0.120	0.100	0.300	0.190	9.03	0.290
428	358.19	1.70511e-04	17.9	0.859	0.211	0.0849	0.100	0.600	0.100	0.100	0.118	0.100	0.100	0.120	0.100	0.300	0.190	8.87	0.275
429	358.66	1.68128e-04	17.4	0.859	0.211	0.0848	0.100	0.600	0.100	0.100	0.118	0.100	0.100	0.120	0.100	0.300	0.190	8.63	0.279
430	359.12	1.67773e-04	17.2	0.859	0.211	0.0847	0.100	0.600	0.100	0.100	0.117	0.100	0.100	0.120	0.100	0.300	0.190	8.52	0.279
431	359.59	1.67531e-04	17.0	0.859	0.211	0.0845	0.100	0.600	0.100	0.100	0.117	0.100	0.100	0.120	0.100	0.300	0.190	8.41	0.261
432	360.05	1.67352e-04	16.8	0.859	0.211	0.0844	0.100	0.600	0.100	0.100	0.116	0.100	0.100	0.120	0.100	0.300	0.190	8.30	0.269
433	360.51	1.65961e-04	16.5	0.859	0.211	0.0843	0.100	0.600	0.100	0.100	0.116	0.100	0.100	0.120	0.100	0.300	0.190	8.14	0.285
434	360.98	1.68024e-04	16.5	0.859	0.211	0.0842	0.100	0.600	0.100	0.100	0.115	0.100	0.100	0.120	0.100	0.300	0.190	8.15	0.299
