# hypstar_121221_radcal_E_211004_vnir.dat
# Calibrated by Joel Kuusk, Tartu Observatory, University of Tartu, 2021-10-04
#
# Applied corrections:
# nonlinearity	hypstar_121221_nonlin_corr_coefs_210715.dat
# wavelength	hypstar_121221_wl_coefs_210714.dat
# thermal	none
# stray light	none
#
# E [mW m-2 nm-1] = DN / inttime_ms * 1000 * cal_coef
# Pixel counting starts from 0
#
# px	wl	cal_coef	u_cal_coef(k=2)	u_lamp(k=1)	u_aging(k=1)	u_power(k=1)	u_align_lamp(k=1)	u_panel(k=1)	u_interp_panel(k=1)	u_align_panel(k=1)	u_wl_source(k=1)	u_lab_stray(k=1)	u_panel_backrefl(k=1)	u_dist(k=1)	u_align(k=1)	u_temp(k=1)	u_lin(k=1)	u_stray(k=1)	u_typeA(k=1)
349	320.06	1.06869e-02	60.1	0.859	0.102	0.0950	0.100	0	0	0	0.159	0.100	0	0.440	0.100	0.300	0.275	30.0	1.49
350	320.52	1.06078e-02	58.5	0.859	0.102	0.0948	0.100	0	0	0	0.159	0.100	0	0.440	0.100	0.300	0.275	29.2	1.49
351	320.98	1.07195e-02	58.2	0.859	0.102	0.0947	0.100	0	0	0	0.158	0.100	0	0.440	0.100	0.300	0.275	29.1	1.65
352	321.44	1.07375e-02	57.3	0.859	0.102	0.0946	0.100	0	0	0	0.158	0.100	0	0.440	0.100	0.300	0.275	28.6	1.47
353	321.89	1.0837e-02	57.0	0.859	0.102	0.0944	0.100	0	0	0	0.157	0.100	0	0.440	0.100	0.300	0.275	28.4	1.50
354	322.35	1.06372e-02	54.7	0.859	0.102	0.0943	0.100	0	0	0	0.156	0.100	0	0.440	0.100	0.300	0.275	27.3	1.54
355	322.81	1.08499e-02	55.1	0.859	0.102	0.0942	0.100	0	0	0	0.156	0.100	0	0.440	0.100	0.300	0.275	27.5	1.45
356	323.28	1.08384e-02	54.0	0.859	0.102	0.0940	0.100	0	0	0	0.155	0.100	0	0.440	0.100	0.300	0.275	27.0	1.33
357	323.74	1.08797e-02	53.4	0.859	0.102	0.0939	0.100	0	0	0	0.155	0.100	0	0.440	0.100	0.300	0.275	26.6	1.41
358	324.20	1.11194e-02	53.9	0.859	0.102	0.0938	0.100	0	0	0	0.154	0.100	0	0.440	0.100	0.300	0.275	26.9	1.39
359	324.66	1.08903e-02	51.6	0.859	0.102	0.0936	0.100	0	0	0	0.153	0.100	0	0.440	0.100	0.300	0.275	25.8	1.34
360	325.12	1.13662e-02	53.6	0.859	0.102	0.0935	0.100	0	0	0	0.153	0.100	0	0.440	0.100	0.300	0.275	26.7	1.49
361	325.58	1.11477e-02	51.4	0.859	0.102	0.0934	0.100	0	0	0	0.152	0.100	0	0.440	0.100	0.300	0.275	25.6	1.42
362	326.04	1.16448e-02	53.4	0.859	0.102	0.0932	0.100	0	0	0	0.152	0.100	0	0.440	0.100	0.300	0.275	26.6	1.54
363	326.50	1.16098e-02	52.3	0.859	0.102	0.0931	0.100	0	0	0	0.151	0.100	0	0.440	0.100	0.300	0.275	26.1	1.47
364	326.96	1.25705e-02	56.9	0.859	0.102	0.0930	0.100	0	0	0	0.151	0.100	0	0.440	0.100	0.300	0.275	28.4	1.50
365	327.42	1.15726e-02	50.4	0.859	0.102	0.0928	0.100	0	0	0	0.150	0.100	0	0.440	0.100	0.300	0.275	25.1	1.37
366	327.88	1.18186e-02	50.9	0.859	0.102	0.0927	0.100	0	0	0	0.149	0.100	0	0.440	0.100	0.300	0.275	25.4	1.41
367	328.34	1.20258e-02	51.1	0.859	0.102	0.0926	0.100	0	0	0	0.149	0.100	0	0.440	0.100	0.300	0.275	25.5	1.33
368	328.80	1.21114e-02	50.7	0.859	0.102	0.0925	0.100	0	0	0	0.148	0.100	0	0.440	0.100	0.300	0.275	25.3	1.35
369	329.26	1.22327e-02	50.5	0.859	0.102	0.0923	0.100	0	0	0	0.148	0.100	0	0.440	0.100	0.300	0.275	25.2	1.43
370	329.72	1.1991e-02	48.5	0.859	0.102	0.0922	0.100	0	0	0	0.147	0.100	0	0.440	0.100	0.300	0.275	24.2	1.29
371	330.18	1.21055e-02	48.3	0.859	0.102	0.0921	0.100	0	0	0	0.147	0.100	0	0.440	0.100	0.300	0.275	24.1	1.62
372	330.65	1.25783e-02	49.8	0.859	0.102	0.0919	0.100	0	0	0	0.146	0.100	0	0.440	0.100	0.300	0.275	24.9	1.38
373	331.11	1.24742e-02	48.5	0.859	0.102	0.0918	0.100	0	0	0	0.146	0.100	0	0.440	0.100	0.300	0.275	24.2	1.28
374	331.57	1.26042e-02	48.4	0.859	0.102	0.0917	0.100	0	0	0	0.145	0.100	0	0.440	0.100	0.300	0.275	24.1	1.36
375	332.03	1.28721e-02	48.9	0.859	0.102	0.0916	0.100	0	0	0	0.145	0.100	0	0.440	0.100	0.300	0.275	24.4	1.47
376	332.49	1.30475e-02	48.9	0.859	0.102	0.0914	0.100	0	0	0	0.144	0.100	0	0.440	0.100	0.300	0.275	24.4	1.35
