# hypstar_122304_radcal_L_230127_vnir.dat
# File was created 2023-01-27 15:27:52 UTC
#
# Calibrated by Joel Kuusk, Tartu Observatory, University of Tartu, 2023-01-27
#
# Applied corrections:
# nonlinearity	hypstar_122304_nonlin_corr_coefs_221227.dat
# wavelength	hypstar_122304_wl_coefs_230102.dat
# thermal	none
# stray light	none
#
# L [mW m-2 nm-1 sr-1] = DN / inttime_ms * 1000 * cal_coef
# Pixel counting starts from 0
#
# px	wl	cal_coef	u_cal_coef(k=2)	u_lamp(k=1)	u_aging(k=1)	u_power(k=1)	u_align_lamp(k=1)	u_panel(k=1)	u_interp_panel(k=1)	u_align_panel(k=1)	u_wl_source(k=1)	u_lab_stray(k=1)	u_panel_backrefl(k=1)	u_dist(k=1)	u_align(k=1)	u_temp(k=1)	u_lin(k=1)	u_stray(k=1)	u_typeA(k=1)
411	350.07	2.67367e-04	0	0.859	0.297	0.0868	0.100	0.600	0.100	0.100	0	0.100	0.100	0.120	0.100	0.300	0.245	15.4	0.536
412	350.53	2.6437e-04	30.1	0.859	0.297	0.0867	0.100	0.600	0.100	0.100	0.125	0.100	0.100	0.120	0.100	0.300	0.245	15.0	0.516
413	351.00	2.62828e-04	29.5	0.859	0.297	0.0866	0.100	0.600	0.100	0.100	0.125	0.100	0.100	0.120	0.100	0.300	0.245	14.7	0.496
414	351.46	2.59769e-04	28.8	0.859	0.297	0.0865	0.100	0.600	0.100	0.100	0.124	0.100	0.100	0.120	0.100	0.300	0.245	14.3	0.472
415	351.93	2.56131e-04	27.9	0.859	0.297	0.0864	0.100	0.600	0.100	0.100	0.124	0.100	0.100	0.120	0.100	0.300	0.245	13.9	0.490
416	352.39	2.53718e-04	27.3	0.859	0.297	0.0863	0.100	0.600	0.100	0.100	0.123	0.100	0.100	0.120	0.100	0.300	0.245	13.6	0.468
417	352.86	2.53115e-04	26.9	0.859	0.297	0.0862	0.100	0.600	0.100	0.100	0.123	0.100	0.100	0.120	0.100	0.300	0.245	13.4	0.583
418	353.32	2.50341e-04	26.2	0.859	0.297	0.0860	0.100	0.600	0.100	0.100	0.122	0.100	0.100	0.120	0.100	0.300	0.245	13.1	0.453
419	353.79	2.45914e-04	25.4	0.859	0.297	0.0859	0.100	0.600	0.100	0.100	0.122	0.100	0.100	0.120	0.100	0.300	0.245	12.6	0.449
420	354.25	2.47002e-04	25.2	0.859	0.297	0.0858	0.100	0.600	0.100	0.100	0.122	0.100	0.100	0.120	0.100	0.300	0.245	12.5	0.449
