# hypstar_220261_radcal_L_200903_swir.dat																			
# Calibrated by Joel Kuusk, Tartu Observatory, University of Tartu, 2020-09-03																			
#																			
# Applied corrections:																			
# nonlinearity	hypstar_220261_nonlin_corr_coefs_200903.dat																		
# wavelength	hypstar_220261_wl_coefs_200910.dat																		
# thermal	none																		
# stray light	none																		
#																			
# L [mW m-2 nm-1 sr-1] = DN / inttime_ms * 1000 * cal_coef																			
# Pixel counting starts from 0																			
#																			
# px	wl	cal_coef	u_cal_coef(k=2)	u_lamp(k=1)	u_aging(k=1)	u_power(k=1)	u_align_lamp(k=1)	u_panel(k=1)	u_interp_panel(k=1)	u_align_panel(k=1)	u_wl_source(k=1)	u_lab_stray(k=1)	u_panel_backrefl(k=1)	u_dist(k=1)	u_align(k=1)	u_temp(k=1)	u_lin(k=1)	u_stray(k=1)	u_typeA(k=1)
0	873.79	3.05982e-03	1.59	0.613	0.0485	0.0348	0.100	0.305	0.100	0.100	0.00206	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.0371
1	877.43	1.41016e-03	1.59	0.613	0.0485	0.0346	0.100	0.305	0.100	0.100	0.00156	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.0182
2	881.06	8.5606e-04	1.59	0.613	0.0485	0.0345	0.100	0.305	0.100	0.100	0.00104	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.0114
3	884.70	6.57804e-04	1.59	0.613	0.0485	0.0344	0.100	0.305	0.100	0.100	0.000516	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00812
4	888.33	5.86336e-04	1.59	0.613	0.0485	0.0342	0.100	0.305	0.100	0.100	0.0000347	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00803
5	891.95	5.55136e-04	1.59	0.613	0.0485	0.0341	0.100	0.305	0.100	0.100	0.000591	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00751
6	895.58	5.33789e-04	1.59	0.613	0.0485	0.0339	0.100	0.305	0.100	0.100	0.00116	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00648
7	899.20	5.14188e-04	1.59	0.613	0.0485	0.0338	0.100	0.305	0.100	0.100	0.00174	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00687
8	902.81	4.92316e-04	3.65	1.76	0.0485	0.0337	0.100	0.305	0.100	0.100	0.000364	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00735
9	906.43	4.72296e-04	3.65	1.76	0.0485	0.0335	0.100	0.305	0.100	0.100	0.0000617	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00580
10	910.04	4.4807e-04	3.65	1.76	0.0485	0.0334	0.100	0.305	0.100	0.100	0.000224	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00606
11	913.65	4.1782e-04	3.65	1.76	0.0485	0.0333	0.100	0.305	0.100	0.100	0.000496	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00572
12	917.25	3.82591e-04	3.65	1.76	0.0485	0.0331	0.100	0.305	0.100	0.100	0.000755	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00583
13	920.85	3.47179e-04	3.65	1.76	0.0485	0.0330	0.100	0.305	0.100	0.100	0.000966	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00485
14	924.45	3.19087e-04	3.65	1.76	0.0485	0.0329	0.100	0.305	0.100	0.100	0.00110	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00455
15	928.05	3.00566e-04	3.65	1.76	0.0485	0.0328	0.100	0.305	0.100	0.100	0.00118	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00458
16	931.64	2.88687e-04	3.65	1.76	0.0485	0.0326	0.100	0.305	0.100	0.100	0.00122	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00461
17	935.23	2.80208e-04	3.65	1.76	0.0485	0.0325	0.100	0.305	0.100	0.100	0.00114	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00434
18	938.81	2.74205e-04	3.65	1.76	0.0485	0.0324	0.100	0.305	0.100	0.100	0.00109	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00447
19	942.39	2.69265e-04	3.65	1.76	0.0485	0.0323	0.100	0.305	0.100	0.100	0.00101	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00424
20	945.97	2.65011e-04	3.65	1.76	0.0485	0.0321	0.100	0.305	0.100	0.100	0.00107	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00430
21	949.55	2.60509e-04	3.65	1.76	0.0485	0.0320	0.100	0.305	0.100	0.100	0.00121	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00414
22	953.12	2.55754e-04	3.65	1.76	0.0485	0.0319	0.100	0.305	0.100	0.100	0.00146	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00399
23	956.69	2.51327e-04	3.65	1.76	0.0485	0.0318	0.100	0.305	0.100	0.100	0.00178	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00418
24	960.25	2.46752e-04	3.65	1.76	0.0485	0.0317	0.100	0.305	0.100	0.100	0.00224	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00361
25	963.81	2.41924e-04	3.65	1.76	0.0485	0.0315	0.100	0.305	0.100	0.100	0.00268	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00410
26	967.37	2.36718e-04	3.65	1.76	0.0485	0.0314	0.100	0.305	0.100	0.100	0.00314	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00400
27	970.93	2.31876e-04	3.65	1.76	0.0485	0.0313	0.100	0.305	0.100	0.100	0.00351	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00405
28	974.48	2.27199e-04	3.65	1.76	0.0485	0.0312	0.100	0.305	0.100	0.100	0.00383	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00399
29	978.03	2.22349e-04	3.65	1.76	0.0485	0.0311	0.100	0.305	0.100	0.100	0.00409	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00380
30	981.57	2.17583e-04	3.65	1.76	0.0485	0.0310	0.100	0.305	0.100	0.100	0.00430	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00373
31	985.12	2.1314e-04	3.65	1.76	0.0485	0.0309	0.100	0.305	0.100	0.100	0.00446	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00409
32	988.65	2.09359e-04	3.65	1.76	0.0485	0.0307	0.100	0.305	0.100	0.100	0.00462	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00378
33	992.19	2.06016e-04	3.65	1.76	0.0485	0.0306	0.100	0.305	0.100	0.100	0.00478	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00333
34	995.72	2.02991e-04	3.65	1.76	0.0485	0.0305	0.100	0.305	0.100	0.100	0.00493	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00366
35	999.25	1.99497e-04	3.65	1.76	0.0485	0.0304	0.100	0.305	0.100	0.100	0.00509	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00374
36	1002.77	1.96801e-04	3.54	1.70	0.0485	0.0303	0.100	0.305	0.100	0.100	0.00525	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00359
37	1006.29	1.9449e-04	3.40	1.62	0.0485	0.0302	0.100	0.305	0.100	0.100	0.00540	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00377
38	1009.81	1.92746e-04	3.26	1.55	0.0485	0.0301	0.100	0.305	0.100	0.100	0.00554	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00363
39	1013.33	1.90695e-04	3.25	1.54	0.0485	0.0300	0.100	0.305	0.100	0.100	0.00567	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00335
40	1016.84	1.88893e-04	3.25	1.54	0.0485	0.0299	0.100	0.305	0.100	0.100	0.00578	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00388
41	1020.35	1.86953e-04	3.25	1.54	0.0485	0.0298	0.100	0.305	0.100	0.100	0.00587	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00361
42	1023.85	1.85512e-04	3.25	1.54	0.0485	0.0297	0.100	0.305	0.100	0.100	0.00596	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00377
43	1027.35	1.84337e-04	3.25	1.54	0.0485	0.0296	0.100	0.305	0.100	0.100	0.00602	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00320
44	1030.85	1.83379e-04	3.25	1.54	0.0485	0.0295	0.100	0.305	0.100	0.100	0.00611	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00369
45	1034.34	1.82508e-04	3.25	1.54	0.0485	0.0294	0.100	0.305	0.100	0.100	0.00620	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00352
46	1037.83	1.81155e-04	3.25	1.54	0.0485	0.0293	0.100	0.305	0.100	0.100	0.00633	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00353
47	1041.32	1.80203e-04	3.25	1.54	0.0485	0.0292	0.100	0.305	0.100	0.100	0.00649	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00340
48	1044.80	1.79504e-04	3.25	1.54	0.0485	0.0291	0.100	0.305	0.100	0.100	0.00666	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00363
49	1048.29	1.79005e-04	3.25	1.54	0.0485	0.0290	0.100	0.305	0.100	0.100	0.00687	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00372
50	1051.76	1.78596e-04	3.25	1.54	0.0485	0.0289	0.100	0.305	0.100	0.100	0.00708	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00348
51	1055.23	1.77863e-04	3.25	1.54	0.0485	0.0288	0.100	0.305	0.100	0.100	0.00730	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00350
52	1058.70	1.76943e-04	3.25	1.54	0.0485	0.0287	0.100	0.305	0.100	0.100	0.00747	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00340
53	1062.17	1.75864e-04	3.25	1.54	0.0485	0.0286	0.100	0.305	0.100	0.100	0.00762	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00389
54	1065.63	1.74671e-04	3.25	1.54	0.0485	0.0285	0.100	0.305	0.100	0.100	0.00774	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00392
55	1069.09	1.73714e-04	3.25	1.54	0.0485	0.0284	0.100	0.305	0.100	0.100	0.00783	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00365
56	1072.55	1.72514e-04	3.25	1.54	0.0485	0.0283	0.100	0.305	0.100	0.100	0.00790	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00371
57	1076.00	1.70897e-04	3.25	1.54	0.0485	0.0283	0.100	0.305	0.100	0.100	0.00795	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00369
58	1079.45	1.68979e-04	3.25	1.54	0.0485	0.0282	0.100	0.305	0.100	0.100	0.00801	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00335
59	1082.89	1.67008e-04	3.25	1.54	0.0485	0.0281	0.100	0.305	0.100	0.100	0.00806	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00345
60	1086.33	1.64933e-04	3.25	1.54	0.0485	0.0280	0.100	0.305	0.100	0.100	0.00811	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00342
61	1089.77	1.62312e-04	3.25	1.54	0.0485	0.0279	0.100	0.305	0.100	0.100	0.00817	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00310
62	1093.21	1.59761e-04	3.20	1.52	0.0485	0.0278	0.100	0.305	0.100	0.100	0.00821	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00365
63	1096.64	1.57661e-04	3.14	1.49	0.0485	0.0277	0.100	0.305	0.100	0.100	0.00828	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00327
64	1100.06	1.55209e-04	3.08	1.46	0.0485	0.0276	0.100	0.305	0.100	0.100	0.00837	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00346
65	1103.49	1.5297e-04	3.08	1.46	0.0485	0.0275	0.100	0.305	0.100	0.100	0.00849	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00306
66	1106.91	1.50703e-04	3.08	1.46	0.0485	0.0275	0.100	0.305	0.100	0.100	0.00864	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00347
67	1110.32	1.4881e-04	3.08	1.46	0.0485	0.0274	0.100	0.305	0.100	0.100	0.00883	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00305
68	1113.74	1.47146e-04	3.08	1.46	0.0485	0.0273	0.100	0.305	0.100	0.100	0.00903	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00362
69	1117.14	1.45744e-04	3.08	1.46	0.0485	0.0272	0.100	0.305	0.100	0.100	0.00930	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00326
70	1120.55	1.44446e-04	3.08	1.46	0.0485	0.0271	0.100	0.305	0.100	0.100	0.00951	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00311
71	1123.95	1.43231e-04	3.08	1.46	0.0485	0.0270	0.100	0.305	0.100	0.100	0.00970	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00307
72	1127.35	1.4204e-04	3.08	1.46	0.0485	0.0270	0.100	0.305	0.100	0.100	0.00987	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00323
73	1130.74	1.41179e-04	3.08	1.46	0.0485	0.0269	0.100	0.305	0.100	0.100	0.0100	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00318
74	1134.13	1.4052e-04	3.08	1.46	0.0485	0.0268	0.100	0.305	0.100	0.100	0.0101	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00309
75	1137.52	1.40418e-04	3.08	1.46	0.0485	0.0267	0.100	0.305	0.100	0.100	0.0102	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00323
76	1140.90	1.40575e-04	3.08	1.45	0.0485	0.0266	0.100	0.305	0.100	0.100	0.0102	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00318
77	1144.28	1.40954e-04	3.07	1.45	0.0485	0.0266	0.100	0.305	0.100	0.100	0.0103	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00318
78	1147.66	1.41347e-04	3.07	1.45	0.0485	0.0265	0.100	0.305	0.100	0.100	0.0104	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00348
79	1151.03	1.41568e-04	3.06	1.44	0.0485	0.0264	0.100	0.305	0.100	0.100	0.0105	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00314
80	1154.40	1.41633e-04	3.06	1.44	0.0485	0.0263	0.100	0.305	0.100	0.100	0.0106	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00343
81	1157.77	1.41764e-04	3.06	1.44	0.0485	0.0263	0.100	0.305	0.100	0.100	0.0107	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00313
82	1161.13	1.41798e-04	3.06	1.44	0.0485	0.0262	0.100	0.305	0.100	0.100	0.0108	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00330
83	1164.48	1.42021e-04	3.06	1.44	0.0485	0.0261	0.100	0.305	0.100	0.100	0.0109	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00315
84	1167.84	1.42272e-04	3.06	1.44	0.0485	0.0260	0.100	0.305	0.100	0.100	0.0110	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00374
85	1171.19	1.42309e-04	3.06	1.44	0.0485	0.0260	0.100	0.305	0.100	0.100	0.0111	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00336
86	1174.53	1.41856e-04	3.06	1.44	0.0485	0.0259	0.100	0.305	0.100	0.100	0.0111	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00362
87	1177.88	1.41227e-04	3.06	1.44	0.0485	0.0258	0.100	0.305	0.100	0.100	0.0112	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00314
88	1181.22	1.40289e-04	3.06	1.44	0.0485	0.0257	0.100	0.305	0.100	0.100	0.0112	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00335
89	1184.55	1.3913e-04	3.06	1.44	0.0485	0.0257	0.100	0.305	0.100	0.100	0.0111	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00313
90	1187.88	1.37711e-04	3.06	1.44	0.0485	0.0256	0.100	0.305	0.100	0.100	0.0111	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00330
91	1191.21	1.36386e-04	3.06	1.44	0.0485	0.0255	0.100	0.305	0.100	0.100	0.0110	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00298
92	1194.53	1.3505e-04	3.06	1.44	0.0485	0.0254	0.100	0.305	0.100	0.100	0.0110	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00317
93	1197.85	1.33576e-04	3.06	1.44	0.0485	0.0254	0.100	0.305	0.100	0.100	0.0109	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00315
94	1201.17	1.32304e-04	3.06	1.44	0.0485	0.0253	0.100	0.305	0.100	0.100	0.0108	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00332
95	1204.48	1.31277e-04	3.06	1.44	0.0485	0.0252	0.100	0.305	0.100	0.100	0.0108	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00324
96	1207.79	1.30482e-04	3.06	1.44	0.0485	0.0252	0.100	0.305	0.100	0.100	0.0107	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00307
97	1211.09	1.29898e-04	3.06	1.44	0.0485	0.0251	0.100	0.305	0.100	0.100	0.0106	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00321
98	1214.39	1.29524e-04	3.06	1.44	0.0485	0.0250	0.100	0.305	0.100	0.100	0.0106	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00319
99	1217.69	1.29202e-04	3.06	1.44	0.0485	0.0250	0.100	0.305	0.100	0.100	0.0107	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00310
100	1220.98	1.28997e-04	3.06	1.44	0.0485	0.0249	0.100	0.305	0.100	0.100	0.0108	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00346
101	1224.27	1.28595e-04	3.06	1.44	0.0485	0.0248	0.100	0.305	0.100	0.100	0.0109	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00301
102	1227.56	1.27992e-04	3.06	1.44	0.0485	0.0248	0.100	0.305	0.100	0.100	0.0110	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00310
103	1230.84	1.27506e-04	3.06	1.44	0.0485	0.0247	0.100	0.305	0.100	0.100	0.0112	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00315
104	1234.12	1.26911e-04	3.06	1.44	0.0485	0.0246	0.100	0.305	0.100	0.100	0.0113	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00355
105	1237.39	1.26332e-04	3.06	1.44	0.0485	0.0246	0.100	0.305	0.100	0.100	0.0114	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00309
106	1240.66	1.26117e-04	3.06	1.44	0.0485	0.0245	0.100	0.305	0.100	0.100	0.0115	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00316
107	1243.93	1.26097e-04	3.06	1.44	0.0485	0.0244	0.100	0.305	0.100	0.100	0.0116	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00335
108	1247.19	1.26201e-04	3.06	1.44	0.0485	0.0244	0.100	0.305	0.100	0.100	0.0116	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00316
109	1250.45	1.2628e-04	3.06	1.44	0.0485	0.0243	0.100	0.305	0.100	0.100	0.0116	0.100	0.100	0.0800	0.100	0.300	0.0450	0	0.00335
