# hypstar_220261_radcal_E_211101_swir.dat
# Calibrated by Joel Kuusk, Tartu Observatory, University of Tartu, 2021-11-01
#
# Applied corrections:
# nonlinearity	hypstar_220261_nonlin_corr_coefs_210715.dat
# wavelength	hypstar_220261_wl_coefs_210714.dat
# thermal	none
# stray light	none
#
# E [mW m-2 nm-1] = DN / inttime_ms * 1000 * cal_coef
# Pixel counting starts from 0
#
# px	wl	cal_coef	u_cal_coef(k=2)	u_lamp(k=1)	u_aging(k=1)	u_power(k=1)	u_align_lamp(k=1)	u_panel(k=1)	u_interp_panel(k=1)	u_align_panel(k=1)	u_wl_source(k=1)	u_lab_stray(k=1)	u_panel_backrefl(k=1)	u_dist(k=1)	u_align(k=1)	u_temp(k=1)	u_lin(k=1)	u_stray(k=1)	u_typeA(k=1)
0	874.43	9.00002e-02	1.68	0.613	0.110	0.0348	0.100	0	0	0	0.000347	0.100	0	0.440	0.100	0.300	0.0350	0	0.0434
1	878.07	4.28236e-02	1.68	0.613	0.110	0.0346	0.100	0	0	0	0.000270	0.100	0	0.440	0.100	0.300	0.0350	0	0.0209
2	881.71	2.85813e-02	1.68	0.613	0.110	0.0345	0.100	0	0	0	0.000192	0.100	0	0.440	0.100	0.300	0.0350	0	0.0148
3	885.35	2.4154e-02	1.68	0.613	0.110	0.0343	0.100	0	0	0	0.000113	0.100	0	0.440	0.100	0.300	0.0350	0	0.0115
4	888.98	2.25593e-02	1.68	0.613	0.110	0.0342	0.100	0	0	0	0.0000339	0.100	0	0.440	0.100	0.300	0.0350	0	0.0109
5	892.60	2.16364e-02	1.68	0.613	0.110	0.0341	0.100	0	0	0	0.0000462	0.100	0	0.440	0.100	0.300	0.0350	0	0.0102
6	896.23	2.08066e-02	1.68	0.613	0.110	0.0339	0.100	0	0	0	0.000127	0.100	0	0.440	0.100	0.300	0.0350	0	0.00926
7	899.85	2.00074e-02	1.68	0.613	0.110	0.0338	0.100	0	0	0	0.000208	0.100	0	0.440	0.100	0.300	0.0350	0	0.00848
8	903.47	1.91344e-02	3.69	1.76	0.110	0.0336	0.100	0	0	0	0.000138	0.100	0	0.440	0.100	0.300	0.0350	0	0.00877
9	907.08	1.82823e-02	3.69	1.76	0.110	0.0335	0.100	0	0	0	0.0000969	0.100	0	0.440	0.100	0.300	0.0350	0	0.00763
10	910.69	1.72259e-02	3.69	1.76	0.110	0.0334	0.100	0	0	0	0.0000570	0.100	0	0.440	0.100	0.300	0.0350	0	0.00831
11	914.30	1.58959e-02	3.69	1.76	0.110	0.0332	0.100	0	0	0	0.0000178	0.100	0	0.440	0.100	0.300	0.0350	0	0.00760
12	917.91	1.43871e-02	3.69	1.76	0.110	0.0331	0.100	0	0	0	0.0000208	0.100	0	0.440	0.100	0.300	0.0350	0	0.00712
13	921.51	1.30512e-02	3.69	1.76	0.110	0.0330	0.100	0	0	0	0.0000587	0.100	0	0.440	0.100	0.300	0.0350	0	0.00628
