# hypstar_220261_radcal_L_211101_swir.dat
# Calibrated by Joel Kuusk, Tartu Observatory, University of Tartu, 2021-11-01
#
# Applied corrections:
# nonlinearity	hypstar_220261_nonlin_corr_coefs_210715.dat
# wavelength	hypstar_220261_wl_coefs_210714.dat
# thermal	none
# stray light	none
#
# L [mW m-2 nm-1 sr-1] = DN / inttime_ms * 1000 * cal_coef
# Pixel counting starts from 0
#
# px	wl	cal_coef	u_cal_coef(k=2)	u_lamp(k=1)	u_aging(k=1)	u_power(k=1)	u_align_lamp(k=1)	u_panel(k=1)	u_interp_panel(k=1)	u_align_panel(k=1)	u_wl_source(k=1)	u_lab_stray(k=1)	u_panel_backrefl(k=1)	u_dist(k=1)	u_align(k=1)	u_temp(k=1)	u_lin(k=1)	u_stray(k=1)	u_typeA(k=1)
0	874.44	2.07249e-03	1.61	0.613	0.110	0.0348	0.100	0.305	0.100	0.100	0.000623	0.100	0.100	0.120	0.100	0.300	0.0350	0	0.0212
1	878.08	1.08902e-03	1.61	0.613	0.110	0.0346	0.100	0.305	0.100	0.100	0.000464	0.100	0.100	0.120	0.100	0.300	0.0350	0	0.0118
2	881.71	7.44057e-04	1.61	0.613	0.110	0.0345	0.100	0.305	0.100	0.100	0.000301	0.100	0.100	0.120	0.100	0.300	0.0350	0	0.00799
3	885.33	6.20562e-04	1.61	0.613	0.110	0.0343	0.100	0.305	0.100	0.100	0.000132	0.100	0.100	0.120	0.100	0.300	0.0350	0	0.00805
4	888.96	5.73131e-04	1.61	0.613	0.110	0.0342	0.100	0.305	0.100	0.100	0.0000392	0.100	0.100	0.120	0.100	0.300	0.0350	0	0.00706
5	892.58	5.48263e-04	1.61	0.613	0.110	0.0341	0.100	0.305	0.100	0.100	0.000218	0.100	0.100	0.120	0.100	0.300	0.0350	0	0.00781
6	896.20	5.27897e-04	1.61	0.613	0.110	0.0339	0.100	0.305	0.100	0.100	0.000400	0.100	0.100	0.120	0.100	0.300	0.0350	0	0.00743
7	899.81	5.08449e-04	1.61	0.613	0.110	0.0338	0.100	0.305	0.100	0.100	0.000577	0.100	0.100	0.120	0.100	0.300	0.0350	0	0.00643
8	903.42	4.86034e-04	3.66	1.76	0.110	0.0336	0.100	0.305	0.100	0.100	0.0000975	0.100	0.100	0.120	0.100	0.300	0.0350	0	0.00637
9	907.03	4.64577e-04	3.66	1.76	0.110	0.0335	0.100	0.305	0.100	0.100	0.00000368	0.100	0.100	0.120	0.100	0.300	0.0350	0	0.00578
10	910.64	4.37719e-04	3.66	1.76	0.110	0.0334	0.100	0.305	0.100	0.100	0.0000848	0.100	0.100	0.120	0.100	0.300	0.0350	0	0.00590
11	914.24	4.04278e-04	3.66	1.76	0.110	0.0333	0.100	0.305	0.100	0.100	0.000171	0.100	0.100	0.120	0.100	0.300	0.0350	0	0.00525
12	917.84	3.68023e-04	3.66	1.76	0.110	0.0331	0.100	0.305	0.100	0.100	0.000251	0.100	0.100	0.120	0.100	0.300	0.0350	0	0.00524
13	921.44	3.35108e-04	3.66	1.76	0.110	0.0330	0.100	0.305	0.100	0.100	0.000312	0.100	0.100	0.120	0.100	0.300	0.0350	0	0.00454
14	925.03	3.11386e-04	3.66	1.76	0.110	0.0329	0.100	0.305	0.100	0.100	0.000352	0.100	0.100	0.120	0.100	0.300	0.0350	0	0.00447
15	928.62	2.96284e-04	3.66	1.76	0.110	0.0327	0.100	0.305	0.100	0.100	0.000380	0.100	0.100	0.120	0.100	0.300	0.0350	0	0.00423
16	932.21	2.86157e-04	3.66	1.76	0.110	0.0326	0.100	0.305	0.100	0.100	0.000374	0.100	0.100	0.120	0.100	0.300	0.0350	0	0.00411
17	935.80	2.787e-04	3.66	1.76	0.110	0.0325	0.100	0.305	0.100	0.100	0.000372	0.100	0.100	0.120	0.100	0.300	0.0350	0	0.00415
18	939.38	2.73402e-04	3.66	1.76	0.110	0.0324	0.100	0.305	0.100	0.100	0.000329	0.100	0.100	0.120	0.100	0.300	0.0350	0	0.00393
19	942.96	2.68782e-04	3.66	1.76	0.110	0.0322	0.100	0.305	0.100	0.100	0.000327	0.100	0.100	0.120	0.100	0.300	0.0350	0	0.00374
20	946.53	2.64463e-04	3.66	1.76	0.110	0.0321	0.100	0.305	0.100	0.100	0.000341	0.100	0.100	0.120	0.100	0.300	0.0350	0	0.00374
21	950.11	2.59952e-04	3.66	1.76	0.110	0.0320	0.100	0.305	0.100	0.100	0.000392	0.100	0.100	0.120	0.100	0.300	0.0350	0	0.00396
22	953.68	2.55264e-04	3.66	1.76	0.110	0.0319	0.100	0.305	0.100	0.100	0.000471	0.100	0.100	0.120	0.100	0.300	0.0350	0	0.00378
23	957.24	2.50798e-04	3.66	1.76	0.110	0.0318	0.100	0.305	0.100	0.100	0.000589	0.100	0.100	0.120	0.100	0.300	0.0350	0	0.00382
24	960.80	2.45992e-04	3.66	1.76	0.110	0.0316	0.100	0.305	0.100	0.100	0.000718	0.100	0.100	0.120	0.100	0.300	0.0350	0	0.00365
25	964.37	2.41067e-04	3.66	1.76	0.110	0.0315	0.100	0.305	0.100	0.100	0.000880	0.100	0.100	0.120	0.100	0.300	0.0350	0	0.00371
26	967.92	2.35978e-04	3.66	1.76	0.110	0.0314	0.100	0.305	0.100	0.100	0.00100	0.100	0.100	0.120	0.100	0.300	0.0350	0	0.00310
27	971.48	2.31231e-04	3.66	1.76	0.110	0.0313	0.100	0.305	0.100	0.100	0.00113	0.100	0.100	0.120	0.100	0.300	0.0350	0	0.00375
28	975.03	2.26542e-04	3.66	1.76	0.110	0.0312	0.100	0.305	0.100	0.100	0.00122	0.100	0.100	0.120	0.100	0.300	0.0350	0	0.00311
29	978.57	2.21586e-04	3.66	1.76	0.110	0.0311	0.100	0.305	0.100	0.100	0.00130	0.100	0.100	0.120	0.100	0.300	0.0350	0	0.00364
30	982.12	2.16925e-04	3.66	1.76	0.110	0.0310	0.100	0.305	0.100	0.100	0.00137	0.100	0.100	0.120	0.100	0.300	0.0350	0	0.00334
