# hypstar_220261_radcal_L_220426_swir.dat
# File was created 2022-05-04 16:41:24 UTC
#
# Calibrated by Joel Kuusk, Tartu Observatory, University of Tartu, 2022-04-26
#
# Applied corrections:
# nonlinearity	hypstar_220261_nonlin_corr_coefs_220105.dat
# wavelength	hypstar_220261_wl_coefs_220426.dat
# thermal	none
# stray light	none
#
# L [mW m-2 nm-1 sr-1] = DN / inttime_ms * 1000 * cal_coef
# Pixel counting starts from 0
#
# px	wl	cal_coef	u_cal_coef(k=2)	u_lamp(k=1)	u_aging(k=1)	u_power(k=1)	u_align_lamp(k=1)	u_panel(k=1)	u_interp_panel(k=1)	u_align_panel(k=1)	u_wl_source(k=1)	u_lab_stray(k=1)	u_panel_backrefl(k=1)	u_dist(k=1)	u_align(k=1)	u_temp(k=1)	u_lin(k=1)	u_stray(k=1)	u_typeA(k=1)
0	880.91	9.99464e-04	1.56	0.613	0.193	0.0345	0.100	0.150	0.100	0.100	0.000446	0.100	0.100	0.120	0.100	0.300	0.0800	0	0.0115
1	884.53	7.56054e-04	1.56	0.613	0.193	0.0344	0.100	0.150	0.100	0.100	0.000212	0.100	0.100	0.120	0.100	0.300	0.0800	0	0.00926
2	888.15	6.67477e-04	1.56	0.613	0.193	0.0342	0.100	0.150	0.100	0.100	0.0000252	0.100	0.100	0.120	0.100	0.300	0.0800	0	0.00808
3	891.77	6.29798e-04	1.56	0.613	0.193	0.0341	0.100	0.150	0.100	0.100	0.000349	0.100	0.100	0.120	0.100	0.300	0.0800	0	0.00778
4	895.38	6.0484e-04	1.56	0.613	0.193	0.0340	0.100	0.150	0.100	0.100	0.000590	0.100	0.100	0.120	0.100	0.300	0.0800	0	0.00760
5	898.99	5.82283e-04	1.56	0.613	0.193	0.0338	0.100	0.150	0.100	0.100	0.000833	0.100	0.100	0.120	0.100	0.300	0.0800	0	0.00792
6	902.59	5.57498e-04	3.64	1.76	0.193	0.0337	0.100	0.150	0.100	0.100	0.000176	0.100	0.100	0.120	0.100	0.300	0.0800	0	0.00727
7	906.20	5.34497e-04	3.64	1.76	0.193	0.0335	0.100	0.150	0.100	0.100	0.0000537	0.100	0.100	0.120	0.100	0.300	0.0800	0	0.00673
8	909.80	5.07373e-04	3.64	1.76	0.193	0.0334	0.100	0.150	0.100	0.100	0.0000662	0.100	0.100	0.120	0.100	0.300	0.0800	0	0.00683
9	913.40	4.74562e-04	3.64	1.76	0.193	0.0333	0.100	0.150	0.100	0.100	0.0000819	0.100	0.100	0.120	0.100	0.300	0.0800	0	0.00616
10	916.99	4.34877e-04	3.64	1.76	0.193	0.0332	0.100	0.150	0.100	0.100	0.000198	0.100	0.100	0.120	0.100	0.300	0.0800	0	0.00641
11	920.59	3.94721e-04	3.64	1.76	0.193	0.0330	0.100	0.150	0.100	0.100	0.000227	0.100	0.100	0.120	0.100	0.300	0.0800	0	0.00609
12	924.18	3.62762e-04	3.64	1.76	0.193	0.0329	0.100	0.150	0.100	0.100	0.000339	0.100	0.100	0.120	0.100	0.300	0.0800	0	0.00525
13	927.77	3.40953e-04	3.64	1.76	0.193	0.0328	0.100	0.150	0.100	0.100	0.000449	0.100	0.100	0.120	0.100	0.300	0.0800	0	0.00507
14	931.35	3.26782e-04	3.64	1.76	0.193	0.0326	0.100	0.150	0.100	0.100	0.000808	0.100	0.100	0.120	0.100	0.300	0.0800	0	0.00462
15	934.93	3.17178e-04	3.64	1.76	0.193	0.0325	0.100	0.150	0.100	0.100	0.000915	0.100	0.100	0.120	0.100	0.300	0.0800	0	0.00449
16	938.51	3.09914e-04	3.64	1.76	0.193	0.0324	0.100	0.150	0.100	0.100	0.00102	0.100	0.100	0.120	0.100	0.300	0.0800	0	0.00464
17	942.09	3.04021e-04	3.64	1.76	0.193	0.0323	0.100	0.150	0.100	0.100	0.000897	0.100	0.100	0.120	0.100	0.300	0.0800	0	0.00433
18	945.66	2.99031e-04	3.64	1.76	0.193	0.0321	0.100	0.150	0.100	0.100	0.000999	0.100	0.100	0.120	0.100	0.300	0.0800	0	0.00450
19	949.23	2.93705e-04	3.64	1.76	0.193	0.0320	0.100	0.150	0.100	0.100	0.00110	0.100	0.100	0.120	0.100	0.300	0.0800	0	0.00421
20	952.79	2.88669e-04	3.64	1.76	0.193	0.0319	0.100	0.150	0.100	0.100	0.00108	0.100	0.100	0.120	0.100	0.300	0.0800	0	0.00368
21	956.36	2.83691e-04	3.64	1.76	0.193	0.0318	0.100	0.150	0.100	0.100	0.00117	0.100	0.100	0.120	0.100	0.300	0.0800	0	0.00429
22	959.92	2.78222e-04	3.64	1.76	0.193	0.0317	0.100	0.150	0.100	0.100	0.00128	0.100	0.100	0.120	0.100	0.300	0.0800	0	0.00420
23	963.48	2.72544e-04	3.64	1.76	0.193	0.0316	0.100	0.150	0.100	0.100	0.00151	0.100	0.100	0.120	0.100	0.300	0.0800	0	0.00426
24	967.03	2.66772e-04	3.64	1.76	0.193	0.0314	0.100	0.150	0.100	0.100	0.00160	0.100	0.100	0.120	0.100	0.300	0.0800	0	0.00388
25	970.58	2.61538e-04	3.64	1.76	0.193	0.0313	0.100	0.150	0.100	0.100	0.00183	0.100	0.100	0.120	0.100	0.300	0.0800	0	0.00415
26	974.13	2.56169e-04	3.64	1.76	0.193	0.0312	0.100	0.150	0.100	0.100	0.00192	0.100	0.100	0.120	0.100	0.300	0.0800	0	0.00360
27	977.68	2.50778e-04	3.64	1.76	0.193	0.0311	0.100	0.150	0.100	0.100	0.00201	0.100	0.100	0.120	0.100	0.300	0.0800	0	0.00421
28	981.22	2.45306e-04	3.64	1.76	0.193	0.0310	0.100	0.150	0.100	0.100	0.00199	0.100	0.100	0.120	0.100	0.300	0.0800	0	0.00404
29	984.76	2.40184e-04	3.64	1.76	0.193	0.0309	0.100	0.150	0.100	0.100	0.00208	0.100	0.100	0.120	0.100	0.300	0.0800	0	0.00387
30	988.30	2.35931e-04	3.64	1.76	0.193	0.0308	0.100	0.150	0.100	0.100	0.00216	0.100	0.100	0.120	0.100	0.300	0.0800	0	0.00389
31	991.83	2.3214e-04	3.64	1.76	0.193	0.0307	0.100	0.150	0.100	0.100	0.00203	0.100	0.100	0.120	0.100	0.300	0.0800	0	0.00355
32	995.36	2.28515e-04	3.64	1.76	0.193	0.0305	0.100	0.150	0.100	0.100	0.00211	0.100	0.100	0.120	0.100	0.300	0.0800	0	0.00345
33	998.89	2.2488e-04	3.64	1.76	0.193	0.0304	0.100	0.150	0.100	0.100	0.00219	0.100	0.100	0.120	0.100	0.300	0.0800	0	0.00372
34	1002.41	2.21907e-04	3.54	1.70	0.193	0.0303	0.100	0.150	0.100	0.100	0.00244	0.100	0.100	0.120	0.100	0.300	0.0800	0	0.00362
35	1005.93	2.18992e-04	3.40	1.63	0.193	0.0302	0.100	0.150	0.100	0.100	0.00252	0.100	0.100	0.120	0.100	0.300	0.0800	0	0.00383
36	1009.45	2.1706e-04	3.26	1.56	0.193	0.0301	0.100	0.150	0.100	0.100	0.00259	0.100	0.100	0.120	0.100	0.300	0.0800	0	0.00362
37	1012.96	2.14953e-04	3.24	1.54	0.193	0.0300	0.100	0.150	0.100	0.100	0.00281	0.100	0.100	0.120	0.100	0.300	0.0800	0	0.00372
38	1016.48	2.12888e-04	3.24	1.54	0.193	0.0299	0.100	0.150	0.100	0.100	0.00288	0.100	0.100	0.120	0.100	0.300	0.0800	0	0.00349
39	1019.98	2.10434e-04	3.24	1.54	0.193	0.0298	0.100	0.150	0.100	0.100	0.00292	0.100	0.100	0.120	0.100	0.300	0.0800	0	0.00349
40	1023.49	2.08883e-04	3.24	1.54	0.193	0.0297	0.100	0.150	0.100	0.100	0.00293	0.100	0.100	0.120	0.100	0.300	0.0800	0	0.00395
41	1026.99	2.07579e-04	3.24	1.54	0.193	0.0296	0.100	0.150	0.100	0.100	0.00300	0.100	0.100	0.120	0.100	0.300	0.0800	0	0.00370
