# hypstar_220261_radcal_E_220426_swir.dat
# File was created 2022-04-26 15:58:33 UTC
#
# Calibrated by Joel Kuusk, Tartu Observatory, University of Tartu, 2022-04-26
#
# Applied corrections:
# nonlinearity	hypstar_220261_nonlin_corr_coefs_220105.dat
# wavelength	hypstar_220261_wl_coefs_220426.dat
# thermal	none
# stray light	none
#
# E [mW m-2 nm-1] = DN / inttime_ms * 1000 * cal_coef
# Pixel counting starts from 0
#
# px	wl	cal_coef	u_cal_coef(k=2)	u_lamp(k=1)	u_aging(k=1)	u_power(k=1)	u_align_lamp(k=1)	u_panel(k=1)	u_interp_panel(k=1)	u_align_panel(k=1)	u_wl_source(k=1)	u_lab_stray(k=1)	u_panel_backrefl(k=1)	u_dist(k=1)	u_align(k=1)	u_temp(k=1)	u_lin(k=1)	u_stray(k=1)	u_typeA(k=1)
0	880.94	3.90187e-02	1.71	0.613	0.193	0.0345	0.100	0	0	0	0.000417	0.100	0	0.440	0.100	0.300	0.0800	0	0.0164
1	884.57	2.9573e-02	1.71	0.613	0.193	0.0344	0.100	0	0	0	0.000260	0.100	0	0.440	0.100	0.300	0.0800	0	0.0141
2	888.19	2.65561e-02	1.71	0.613	0.193	0.0342	0.100	0	0	0	0.000102	0.100	0	0.440	0.100	0.300	0.0800	0	0.0116
3	891.82	2.51735e-02	1.71	0.613	0.193	0.0341	0.100	0	0	0	0.0000576	0.100	0	0.440	0.100	0.300	0.0800	0	0.0102
4	895.44	2.42175e-02	1.71	0.613	0.193	0.0339	0.100	0	0	0	0.000219	0.100	0	0.440	0.100	0.300	0.0800	0	0.0105
5	899.05	2.32899e-02	1.71	0.613	0.193	0.0338	0.100	0	0	0	0.000381	0.100	0	0.440	0.100	0.300	0.0800	0	0.00932
6	902.67	2.23196e-02	3.71	1.76	0.193	0.0337	0.100	0	0	0	0.000293	0.100	0	0.440	0.100	0.300	0.0800	0	0.0101
7	906.28	2.14364e-02	3.71	1.76	0.193	0.0335	0.100	0	0	0	0.000212	0.100	0	0.440	0.100	0.300	0.0800	0	0.0103
8	909.89	2.04827e-02	3.71	1.76	0.193	0.0334	0.100	0	0	0	0.000132	0.100	0	0.440	0.100	0.300	0.0800	0	0.00909
9	913.49	1.94054e-02	3.71	1.76	0.193	0.0333	0.100	0	0	0	0.0000531	0.100	0	0.440	0.100	0.300	0.0800	0	0.00848
10	917.09	1.80157e-02	3.71	1.76	0.193	0.0331	0.100	0	0	0	0.0000242	0.100	0	0.440	0.100	0.300	0.0800	0	0.00829
11	920.69	1.63648e-02	3.71	1.76	0.193	0.0330	0.100	0	0	0	0.000100	0.100	0	0.440	0.100	0.300	0.0800	0	0.00694
12	924.29	1.48493e-02	3.71	1.76	0.193	0.0329	0.100	0	0	0	0.000175	0.100	0	0.440	0.100	0.300	0.0800	0	0.00630
13	927.88	1.37646e-02	3.71	1.76	0.193	0.0328	0.100	0	0	0	0.000249	0.100	0	0.440	0.100	0.300	0.0800	0	0.00640
14	931.47	1.30154e-02	3.71	1.76	0.193	0.0326	0.100	0	0	0	0.000321	0.100	0	0.440	0.100	0.300	0.0800	0	0.00598
15	935.05	1.25301e-02	3.71	1.76	0.193	0.0325	0.100	0	0	0	0.000392	0.100	0	0.440	0.100	0.300	0.0800	0	0.00591
16	938.64	1.21855e-02	3.71	1.76	0.193	0.0324	0.100	0	0	0	0.000462	0.100	0	0.440	0.100	0.300	0.0800	0	0.00608
17	942.22	1.19273e-02	3.71	1.76	0.193	0.0323	0.100	0	0	0	0.000531	0.100	0	0.440	0.100	0.300	0.0800	0	0.00538
18	945.80	1.17086e-02	3.71	1.76	0.193	0.0321	0.100	0	0	0	0.000599	0.100	0	0.440	0.100	0.300	0.0800	0	0.00517
19	949.37	1.14683e-02	3.71	1.76	0.193	0.0320	0.100	0	0	0	0.000666	0.100	0	0.440	0.100	0.300	0.0800	0	0.00532
20	952.94	1.12524e-02	3.71	1.76	0.193	0.0319	0.100	0	0	0	0.000731	0.100	0	0.440	0.100	0.300	0.0800	0	0.00594
21	956.51	1.10459e-02	3.71	1.76	0.193	0.0318	0.100	0	0	0	0.000795	0.100	0	0.440	0.100	0.300	0.0800	0	0.00526
22	960.07	1.0828e-02	3.71	1.76	0.193	0.0317	0.100	0	0	0	0.000859	0.100	0	0.440	0.100	0.300	0.0800	0	0.00505
