# hypstar_220261_radcal_E_220426_vnir.dat
# File was created 2022-04-26 15:58:33 UTC
#
# Calibrated by Joel Kuusk, Tartu Observatory, University of Tartu, 2022-04-26
#
# Applied corrections:
# nonlinearity	hypstar_220261_nonlin_corr_coefs_220105.dat
# wavelength	hypstar_220261_wl_coefs_220426.dat
# thermal	none
# stray light	none
#
# E [mW m-2 nm-1] = DN / inttime_ms * 1000 * cal_coef
# Pixel counting starts from 0
#
# px	wl	cal_coef	u_cal_coef(k=2)	u_lamp(k=1)	u_aging(k=1)	u_power(k=1)	u_align_lamp(k=1)	u_panel(k=1)	u_interp_panel(k=1)	u_align_panel(k=1)	u_wl_source(k=1)	u_lab_stray(k=1)	u_panel_backrefl(k=1)	u_dist(k=1)	u_align(k=1)	u_temp(k=1)	u_lin(k=1)	u_stray(k=1)	u_typeA(k=1)
411	350.13	1.33112e-02	24.7	0.859	0.193	0.0868	0.100	0	0	0	0.0975	0.100	0	0.440	0.100	0.300	0.200	12.3	0.876
412	350.60	1.35185e-02	24.8	0.859	0.193	0.0867	0.100	0	0	0	0.0972	0.100	0	0.440	0.100	0.300	0.200	12.3	0.898
413	351.06	1.33851e-02	24.3	0.859	0.193	0.0866	0.100	0	0	0	0.0968	0.100	0	0.440	0.100	0.300	0.200	12.1	0.923
414	351.52	1.34331e-02	24.1	0.859	0.193	0.0865	0.100	0	0	0	0.0965	0.100	0	0.440	0.100	0.300	0.200	12.0	0.977
415	351.99	1.35951e-02	24.1	0.859	0.193	0.0864	0.100	0	0	0	0.0961	0.100	0	0.440	0.100	0.300	0.200	12.0	1.01
416	352.45	1.31873e-02	23.0	0.859	0.193	0.0863	0.100	0	0	0	0.0958	0.100	0	0.440	0.100	0.300	0.200	11.4	0.898
417	352.92	1.30024e-02	22.4	0.859	0.193	0.0861	0.100	0	0	0	0.0954	0.100	0	0.440	0.100	0.300	0.200	11.1	0.958
418	353.38	1.28276e-02	21.8	0.859	0.193	0.0860	0.100	0	0	0	0.0951	0.100	0	0.440	0.100	0.300	0.200	10.8	0.923
419	353.85	1.25657e-02	21.0	0.859	0.193	0.0859	0.100	0	0	0	0.0948	0.100	0	0.440	0.100	0.300	0.200	10.4	0.762
420	354.31	1.26028e-02	20.9	0.859	0.193	0.0858	0.100	0	0	0	0.0944	0.100	0	0.440	0.100	0.300	0.200	10.4	0.928
421	354.78	1.23433e-02	20.2	0.859	0.193	0.0857	0.100	0	0	0	0.0941	0.100	0	0.440	0.100	0.300	0.200	10.0	0.793
422	355.24	1.24884e-02	20.2	0.859	0.193	0.0856	0.100	0	0	0	0.0938	0.100	0	0.440	0.100	0.300	0.200	10.0	0.793
423	355.71	1.2407e-02	19.8	0.859	0.193	0.0855	0.100	0	0	0	0.0934	0.100	0	0.440	0.100	0.300	0.200	9.82	0.793
424	356.18	1.22579e-02	19.3	0.859	0.193	0.0854	0.100	0	0	0	0.0931	0.100	0	0.440	0.100	0.300	0.200	9.57	0.808
425	356.64	1.22944e-02	19.2	0.859	0.193	0.0852	0.100	0	0	0	0.0928	0.100	0	0.440	0.100	0.300	0.200	9.49	0.773
426	357.11	1.23077e-02	19.0	0.859	0.193	0.0851	0.100	0	0	0	0.0925	0.100	0	0.440	0.100	0.300	0.200	9.39	0.799
427	357.57	1.22409e-02	18.6	0.859	0.193	0.0850	0.100	0	0	0	0.0921	0.100	0	0.440	0.100	0.300	0.200	9.23	0.771
428	358.04	1.23696e-02	18.6	0.859	0.193	0.0849	0.100	0	0	0	0.0918	0.100	0	0.440	0.100	0.300	0.200	9.23	0.751
429	358.50	1.19006e-02	17.7	0.859	0.193	0.0848	0.100	0	0	0	0.0915	0.100	0	0.440	0.100	0.300	0.200	8.75	0.853
430	358.97	1.20081e-02	17.6	0.859	0.193	0.0847	0.100	0	0	0	0.0912	0.100	0	0.440	0.100	0.300	0.200	8.73	0.678
431	359.43	1.20066e-02	17.4	0.859	0.193	0.0846	0.100	0	0	0	0.0909	0.100	0	0.440	0.100	0.300	0.200	8.63	0.647
432	359.90	1.20562e-02	17.3	0.859	0.193	0.0845	0.100	0	0	0	0.0905	0.100	0	0.440	0.100	0.300	0.200	8.57	0.725
433	360.37	1.2051e-02	17.1	0.859	0.193	0.0844	0.100	0	0	0	0.0902	0.100	0	0.440	0.100	0.300	0.200	8.47	0.688
434	360.83	1.20741e-02	17.0	0.859	0.193	0.0842	0.100	0	0	0	0.0899	0.100	0	0.440	0.100	0.300	0.200	8.40	0.690
435	361.30	1.25008e-02	17.4	0.859	0.193	0.0841	0.100	0	0	0	0.0896	0.100	0	0.440	0.100	0.300	0.200	8.62	0.673
436	361.76	1.27838e-02	17.7	0.859	0.193	0.0840	0.100	0	0	0	0.0893	0.100	0	0.440	0.100	0.300	0.200	8.74	0.761
437	362.23	1.29779e-02	17.8	0.859	0.193	0.0839	0.100	0	0	0	0.0890	0.100	0	0.440	0.100	0.300	0.200	8.78	0.760
438	362.70	1.33367e-02	18.1	0.859	0.193	0.0838	0.100	0	0	0	0.0887	0.100	0	0.440	0.100	0.300	0.200	8.95	0.642
439	363.16	1.33226e-02	17.9	0.859	0.193	0.0837	0.100	0	0	0	0.0884	0.100	0	0.440	0.100	0.300	0.200	8.84	0.763
440	363.63	1.36563e-02	18.1	0.859	0.193	0.0836	0.100	0	0	0	0.0880	0.100	0	0.440	0.100	0.300	0.200	8.98	0.759
441	364.09	1.38672e-02	18.2	0.859	0.193	0.0835	0.100	0	0	0	0.0877	0.100	0	0.440	0.100	0.300	0.200	9.03	0.775
442	364.56	1.39406e-02	18.2	0.859	0.193	0.0834	0.100	0	0	0	0.0874	0.100	0	0.440	0.100	0.300	0.200	8.98	0.791
443	365.03	1.46164e-02	18.9	0.859	0.193	0.0833	0.100	0	0	0	0.0871	0.100	0	0.440	0.100	0.300	0.200	9.35	0.726
444	365.49	1.44333e-02	18.4	0.859	0.193	0.0832	0.100	0	0	0	0.0868	0.100	0	0.440	0.100	0.300	0.200	9.12	0.728
445	365.96	1.43924e-02	18.2	0.859	0.193	0.0831	0.100	0	0	0	0.0865	0.100	0	0.440	0.100	0.300	0.200	9.00	0.783
446	366.43	1.44568e-02	18.1	0.859	0.193	0.0830	0.100	0	0	0	0.0862	0.100	0	0.440	0.100	0.300	0.200	8.94	0.811
447	366.89	1.44238e-02	17.9	0.859	0.193	0.0829	0.100	0	0	0	0.0859	0.100	0	0.440	0.100	0.300	0.200	8.83	0.822
448	367.36	1.39377e-02	17.0	0.859	0.193	0.0828	0.100	0	0	0	0.0856	0.100	0	0.440	0.100	0.300	0.200	8.41	0.688
449	367.83	1.38713e-02	16.7	0.859	0.193	0.0826	0.100	0	0	0	0.0853	0.100	0	0.440	0.100	0.300	0.200	8.28	0.654
450	368.30	1.37793e-02	16.5	0.859	0.193	0.0825	0.100	0	0	0	0.0851	0.100	0	0.440	0.100	0.300	0.200	8.13	0.681
451	368.76	1.3719e-02	16.2	0.859	0.193	0.0824	0.100	0	0	0	0.0848	0.100	0	0.440	0.100	0.300	0.200	8.01	0.631
452	369.23	1.36283e-02	15.9	0.859	0.193	0.0823	0.100	0	0	0	0.0845	0.100	0	0.440	0.100	0.300	0.200	7.87	0.639
453	369.70	1.36604e-02	15.8	0.859	0.193	0.0822	0.100	0	0	0	0.0842	0.100	0	0.440	0.100	0.300	0.200	7.81	0.646
454	370.16	1.35517e-02	15.5	0.859	0.193	0.0821	0.100	0	0	0	0.0839	0.100	0	0.440	0.100	0.300	0.200	7.66	0.656
455	370.63	1.35019e-02	15.3	0.859	0.193	0.0820	0.100	0	0	0	0.0836	0.100	0	0.440	0.100	0.300	0.200	7.55	0.637
456	371.10	1.33013e-02	14.9	0.859	0.193	0.0819	0.100	0	0	0	0.0833	0.100	0	0.440	0.100	0.300	0.200	7.35	0.627
457	371.57	1.32225e-02	14.7	0.859	0.193	0.0818	0.100	0	0	0	0.0830	0.100	0	0.440	0.100	0.300	0.200	7.23	0.623
458	372.03	1.32652e-02	14.6	0.859	0.193	0.0817	0.100	0	0	0	0.0828	0.100	0	0.440	0.100	0.300	0.200	7.18	0.623
459	372.50	1.3425e-02	14.6	0.859	0.193	0.0816	0.100	0	0	0	0.0825	0.100	0	0.440	0.100	0.300	0.200	7.20	0.652
460	372.97	1.34741e-02	14.5	0.859	0.193	0.0815	0.100	0	0	0	0.0822	0.100	0	0.440	0.100	0.300	0.200	7.15	0.608
461	373.44	1.3413e-02	14.3	0.859	0.193	0.0814	0.100	0	0	0	0.0819	0.100	0	0.440	0.100	0.300	0.200	7.05	0.573
462	373.90	1.35436e-02	14.3	0.859	0.193	0.0813	0.100	0	0	0	0.0816	0.100	0	0.440	0.100	0.300	0.200	7.05	0.650
463	374.37	1.36234e-02	14.3	0.859	0.193	0.0812	0.100	0	0	0	0.0814	0.100	0	0.440	0.100	0.300	0.200	7.02	0.643
464	374.84	1.39212e-02	14.4	0.859	0.193	0.0811	0.100	0	0	0	0.0811	0.100	0	0.440	0.100	0.300	0.200	7.12	0.628
465	375.31	1.39088e-02	14.3	0.859	0.193	0.0810	0.100	0	0	0	0.0808	0.100	0	0.440	0.100	0.300	0.200	7.04	0.589
466	375.78	1.40453e-02	14.3	0.859	0.193	0.0809	0.100	0	0	0	0.0805	0.100	0	0.440	0.100	0.300	0.200	7.04	0.571
467	376.24	1.43193e-02	14.4	0.859	0.193	0.0808	0.100	0	0	0	0.0803	0.100	0	0.440	0.100	0.300	0.200	7.12	0.578
468	376.71	1.39351e-02	13.9	0.859	0.193	0.0807	0.100	0	0	0	0.0800	0.100	0	0.440	0.100	0.300	0.200	6.84	0.572
469	377.18	1.38096e-02	13.6	0.859	0.193	0.0806	0.100	0	0	0	0.0797	0.100	0	0.440	0.100	0.300	0.200	6.71	0.597
470	377.65	1.38221e-02	13.5	0.859	0.193	0.0805	0.100	0	0	0	0.0795	0.100	0	0.440	0.100	0.300	0.200	6.65	0.559
471	378.12	1.3836e-02	13.4	0.859	0.193	0.0804	0.100	0	0	0	0.0792	0.100	0	0.440	0.100	0.300	0.200	6.59	0.569
472	378.58	1.35854e-02	13.0	0.859	0.193	0.0803	0.100	0	0	0	0.0789	0.100	0	0.440	0.100	0.300	0.200	6.40	0.533
473	379.05	1.36239e-02	12.9	0.859	0.193	0.0802	0.100	0	0	0	0.0786	0.100	0	0.440	0.100	0.300	0.200	6.36	0.533
474	379.52	1.35662e-02	12.8	0.859	0.193	0.0801	0.100	0	0	0	0.0784	0.100	0	0.440	0.100	0.300	0.200	6.27	0.519
