# hypstar_220261_radcal_L_220426_swir.dat
# File was created 2022-04-26 15:58:31 UTC
#
# Calibrated by Joel Kuusk, Tartu Observatory, University of Tartu, 2022-04-26
#
# Applied corrections:
# nonlinearity	hypstar_220261_nonlin_corr_coefs_220105.dat
# wavelength	hypstar_220261_wl_coefs_220426.dat
# thermal	none
# stray light	none
#
# L [mW m-2 nm-1 sr-1] = DN / inttime_ms * 1000 * cal_coef
# Pixel counting starts from 0
#
# px	wl	cal_coef	u_cal_coef(k=2)	u_lamp(k=1)	u_aging(k=1)	u_power(k=1)	u_align_lamp(k=1)	u_panel(k=1)	u_interp_panel(k=1)	u_align_panel(k=1)	u_wl_source(k=1)	u_lab_stray(k=1)	u_panel_backrefl(k=1)	u_dist(k=1)	u_align(k=1)	u_temp(k=1)	u_lin(k=1)	u_stray(k=1)	u_typeA(k=1)
0	880.91	1.00899e-03	1.56	0.613	0.193	0.0345	0.100	0.150	0.100	0.100	0.000446	0.100	0.100	0.120	0.100	0.300	0.0800	0	0.0106
1	884.53	7.62593e-04	1.56	0.613	0.193	0.0344	0.100	0.150	0.100	0.100	0.000212	0.100	0.100	0.120	0.100	0.300	0.0800	0	0.00871
2	888.15	6.73021e-04	1.56	0.613	0.193	0.0342	0.100	0.150	0.100	0.100	0.0000252	0.100	0.100	0.120	0.100	0.300	0.0800	0	0.00821
3	891.77	6.3511e-04	1.56	0.613	0.193	0.0341	0.100	0.150	0.100	0.100	0.000349	0.100	0.100	0.120	0.100	0.300	0.0800	0	0.00754
4	895.38	6.10134e-04	1.56	0.613	0.193	0.0340	0.100	0.150	0.100	0.100	0.000590	0.100	0.100	0.120	0.100	0.300	0.0800	0	0.00715
5	898.99	5.87848e-04	1.56	0.613	0.193	0.0338	0.100	0.150	0.100	0.100	0.000833	0.100	0.100	0.120	0.100	0.300	0.0800	0	0.00704
6	902.59	5.63579e-04	3.64	1.76	0.193	0.0337	0.100	0.150	0.100	0.100	0.000176	0.100	0.100	0.120	0.100	0.300	0.0800	0	0.00594
7	906.20	5.42239e-04	3.64	1.76	0.193	0.0335	0.100	0.150	0.100	0.100	0.0000537	0.100	0.100	0.120	0.100	0.300	0.0800	0	0.00695
8	909.80	5.18459e-04	3.64	1.76	0.193	0.0334	0.100	0.150	0.100	0.100	0.0000662	0.100	0.100	0.120	0.100	0.300	0.0800	0	0.00636
9	913.40	4.91073e-04	3.64	1.76	0.193	0.0333	0.100	0.150	0.100	0.100	0.0000819	0.100	0.100	0.120	0.100	0.300	0.0800	0	0.00556
