# hypstar_220261_radcal_L_220426_vnir.dat
# File was created 2022-04-26 15:58:31 UTC
#
# Calibrated by Joel Kuusk, Tartu Observatory, University of Tartu, 2022-04-26
#
# Applied corrections:
# nonlinearity	hypstar_220261_nonlin_corr_coefs_220105.dat
# wavelength	hypstar_220261_wl_coefs_220426.dat
# thermal	none
# stray light	none
#
# L [mW m-2 nm-1 sr-1] = DN / inttime_ms * 1000 * cal_coef
# Pixel counting starts from 0
#
# px	wl	cal_coef	u_cal_coef(k=2)	u_lamp(k=1)	u_aging(k=1)	u_power(k=1)	u_align_lamp(k=1)	u_panel(k=1)	u_interp_panel(k=1)	u_align_panel(k=1)	u_wl_source(k=1)	u_lab_stray(k=1)	u_panel_backrefl(k=1)	u_dist(k=1)	u_align(k=1)	u_temp(k=1)	u_lin(k=1)	u_stray(k=1)	u_typeA(k=1)
411	350.27	2.92451e-04	23.9	0.859	0.193	0.0868	0.100	0.600	0.100	0.100	0.111	0.100	0.100	0.120	0.100	0.300	0.200	11.9	0.493
412	350.74	2.90302e-04	23.4	0.859	0.193	0.0867	0.100	0.600	0.100	0.100	0.111	0.100	0.100	0.120	0.100	0.300	0.200	11.6	0.488
413	351.20	2.85541e-04	22.7	0.859	0.193	0.0866	0.100	0.600	0.100	0.100	0.111	0.100	0.100	0.120	0.100	0.300	0.200	11.3	0.481
414	351.67	2.88064e-04	22.6	0.859	0.193	0.0864	0.100	0.600	0.100	0.100	0.110	0.100	0.100	0.120	0.100	0.300	0.200	11.2	0.494
415	352.13	2.87484e-04	22.3	0.859	0.193	0.0863	0.100	0.600	0.100	0.100	0.110	0.100	0.100	0.120	0.100	0.300	0.200	11.1	0.481
416	352.60	2.86954e-04	22.0	0.859	0.193	0.0862	0.100	0.600	0.100	0.100	0.109	0.100	0.100	0.120	0.100	0.300	0.200	10.9	0.504
417	353.06	2.8748e-04	21.8	0.859	0.193	0.0861	0.100	0.600	0.100	0.100	0.109	0.100	0.100	0.120	0.100	0.300	0.200	10.8	0.482
418	353.53	2.89669e-04	21.7	0.859	0.193	0.0860	0.100	0.600	0.100	0.100	0.109	0.100	0.100	0.120	0.100	0.300	0.200	10.8	0.473
419	353.99	2.95422e-04	21.9	0.859	0.193	0.0859	0.100	0.600	0.100	0.100	0.108	0.100	0.100	0.120	0.100	0.300	0.200	10.9	0.472
420	354.46	2.97152e-04	21.8	0.859	0.193	0.0858	0.100	0.600	0.100	0.100	0.108	0.100	0.100	0.120	0.100	0.300	0.200	10.8	0.651
421	354.92	3.0032e-04	21.8	0.859	0.193	0.0857	0.100	0.600	0.100	0.100	0.107	0.100	0.100	0.120	0.100	0.300	0.200	10.8	0.456
422	355.39	3.02177e-04	21.7	0.859	0.193	0.0855	0.100	0.600	0.100	0.100	0.107	0.100	0.100	0.120	0.100	0.300	0.200	10.8	0.447
423	355.85	3.03579e-04	21.5	0.859	0.193	0.0854	0.100	0.600	0.100	0.100	0.107	0.100	0.100	0.120	0.100	0.300	0.200	10.7	0.464
424	356.32	3.06437e-04	21.5	0.859	0.193	0.0853	0.100	0.600	0.100	0.100	0.106	0.100	0.100	0.120	0.100	0.300	0.200	10.7	0.482
425	356.78	3.05266e-04	21.1	0.859	0.193	0.0852	0.100	0.600	0.100	0.100	0.106	0.100	0.100	0.120	0.100	0.300	0.200	10.5	0.461
426	357.25	3.03959e-04	20.8	0.859	0.193	0.0851	0.100	0.600	0.100	0.100	0.106	0.100	0.100	0.120	0.100	0.300	0.200	10.3	0.442
427	357.71	3.03844e-04	20.6	0.859	0.193	0.0850	0.100	0.600	0.100	0.100	0.105	0.100	0.100	0.120	0.100	0.300	0.200	10.2	0.465
428	358.18	3.02505e-04	20.2	0.859	0.193	0.0849	0.100	0.600	0.100	0.100	0.105	0.100	0.100	0.120	0.100	0.300	0.200	10.0	0.451
429	358.64	3.04522e-04	20.1	0.859	0.193	0.0848	0.100	0.600	0.100	0.100	0.104	0.100	0.100	0.120	0.100	0.300	0.200	9.99	0.557
430	359.11	3.02418e-04	19.8	0.859	0.193	0.0847	0.100	0.600	0.100	0.100	0.104	0.100	0.100	0.120	0.100	0.300	0.200	9.80	0.426
431	359.57	3.01556e-04	19.5	0.859	0.193	0.0845	0.100	0.600	0.100	0.100	0.104	0.100	0.100	0.120	0.100	0.300	0.200	9.66	0.430
432	360.04	3.05059e-04	19.5	0.859	0.193	0.0844	0.100	0.600	0.100	0.100	0.103	0.100	0.100	0.120	0.100	0.300	0.200	9.67	0.444
433	360.51	2.99955e-04	18.9	0.859	0.193	0.0843	0.100	0.600	0.100	0.100	0.103	0.100	0.100	0.120	0.100	0.300	0.200	9.38	0.417
434	360.97	3.05324e-04	19.1	0.859	0.193	0.0842	0.100	0.600	0.100	0.100	0.103	0.100	0.100	0.120	0.100	0.300	0.200	9.46	0.418
435	361.44	3.05229e-04	18.9	0.859	0.193	0.0841	0.100	0.600	0.100	0.100	0.102	0.100	0.100	0.120	0.100	0.300	0.200	9.35	0.427
436	361.90	3.04699e-04	18.6	0.859	0.193	0.0840	0.100	0.600	0.100	0.100	0.102	0.100	0.100	0.120	0.100	0.300	0.200	9.23	0.430
437	362.37	3.04383e-04	18.4	0.859	0.193	0.0839	0.100	0.600	0.100	0.100	0.101	0.100	0.100	0.120	0.100	0.300	0.200	9.12	0.455
438	362.83	3.03959e-04	18.2	0.859	0.193	0.0838	0.100	0.600	0.100	0.100	0.101	0.100	0.100	0.120	0.100	0.300	0.200	9.00	0.398
439	363.30	3.0296e-04	17.9	0.859	0.193	0.0837	0.100	0.600	0.100	0.100	0.101	0.100	0.100	0.120	0.100	0.300	0.200	8.87	0.409
440	363.77	3.04099e-04	17.8	0.859	0.193	0.0836	0.100	0.600	0.100	0.100	0.100	0.100	0.100	0.120	0.100	0.300	0.200	8.81	0.400
441	364.23	3.03399e-04	17.6	0.859	0.193	0.0835	0.100	0.600	0.100	0.100	0.100	0.100	0.100	0.120	0.100	0.300	0.200	8.69	0.391
442	364.70	3.03736e-04	17.4	0.859	0.193	0.0834	0.100	0.600	0.100	0.100	0.0997	0.100	0.100	0.120	0.100	0.300	0.200	8.61	0.401
443	365.17	3.01628e-04	17.1	0.859	0.193	0.0832	0.100	0.600	0.100	0.100	0.0994	0.100	0.100	0.120	0.100	0.300	0.200	8.45	0.358
444	365.63	3.01195e-04	16.9	0.859	0.193	0.0831	0.100	0.600	0.100	0.100	0.0990	0.100	0.100	0.120	0.100	0.300	0.200	8.34	0.355
445	366.10	3.01111e-04	16.7	0.859	0.193	0.0830	0.100	0.600	0.100	0.100	0.0987	0.100	0.100	0.120	0.100	0.300	0.200	8.25	0.371
446	366.57	3.02226e-04	16.6	0.859	0.193	0.0829	0.100	0.600	0.100	0.100	0.0984	0.100	0.100	0.120	0.100	0.300	0.200	8.20	0.396
447	367.03	3.02193e-04	16.4	0.859	0.193	0.0828	0.100	0.600	0.100	0.100	0.0980	0.100	0.100	0.120	0.100	0.300	0.200	8.11	0.449
448	367.50	3.06228e-04	16.5	0.859	0.193	0.0827	0.100	0.600	0.100	0.100	0.0977	0.100	0.100	0.120	0.100	0.300	0.200	8.14	0.371
449	367.97	3.03962e-04	16.2	0.859	0.193	0.0826	0.100	0.600	0.100	0.100	0.0973	0.100	0.100	0.120	0.100	0.300	0.200	7.99	0.381
450	368.43	3.04311e-04	16.0	0.859	0.193	0.0825	0.100	0.600	0.100	0.100	0.0970	0.100	0.100	0.120	0.100	0.300	0.200	7.91	0.361
451	368.90	3.06251e-04	16.0	0.859	0.193	0.0824	0.100	0.600	0.100	0.100	0.0967	0.100	0.100	0.120	0.100	0.300	0.200	7.88	0.369
452	369.37	3.07674e-04	15.9	0.859	0.193	0.0823	0.100	0.600	0.100	0.100	0.0963	0.100	0.100	0.120	0.100	0.300	0.200	7.84	0.377
453	369.83	3.08726e-04	15.8	0.859	0.193	0.0822	0.100	0.600	0.100	0.100	0.0960	0.100	0.100	0.120	0.100	0.300	0.200	7.79	0.382
454	370.30	3.10254e-04	15.7	0.859	0.193	0.0821	0.100	0.600	0.100	0.100	0.0954	0.100	0.100	0.120	0.100	0.300	0.200	7.75	0.342
455	370.77	3.10451e-04	15.5	0.859	0.193	0.0820	0.100	0.600	0.100	0.100	0.0951	0.100	0.100	0.120	0.100	0.300	0.200	7.67	0.410
456	371.24	3.0823e-04	15.3	0.859	0.193	0.0819	0.100	0.600	0.100	0.100	0.0947	0.100	0.100	0.120	0.100	0.300	0.200	7.53	0.368
457	371.70	3.08296e-04	15.1	0.859	0.193	0.0818	0.100	0.600	0.100	0.100	0.0944	0.100	0.100	0.120	0.100	0.300	0.200	7.46	0.356
458	372.17	3.10372e-04	15.1	0.859	0.193	0.0817	0.100	0.600	0.100	0.100	0.0941	0.100	0.100	0.120	0.100	0.300	0.200	7.44	0.345
459	372.64	3.09231e-04	14.9	0.859	0.193	0.0816	0.100	0.600	0.100	0.100	0.0938	0.100	0.100	0.120	0.100	0.300	0.200	7.33	0.342
460	373.10	3.08118e-04	14.7	0.859	0.193	0.0815	0.100	0.600	0.100	0.100	0.0934	0.100	0.100	0.120	0.100	0.300	0.200	7.23	0.352
461	373.57	3.08674e-04	14.5	0.859	0.193	0.0814	0.100	0.600	0.100	0.100	0.0931	0.100	0.100	0.120	0.100	0.300	0.200	7.17	0.353
462	374.04	3.08881e-04	14.4	0.859	0.193	0.0813	0.100	0.600	0.100	0.100	0.0928	0.100	0.100	0.120	0.100	0.300	0.200	7.10	0.346
463	374.51	3.08546e-04	14.3	0.859	0.193	0.0812	0.100	0.600	0.100	0.100	0.0925	0.100	0.100	0.120	0.100	0.300	0.200	7.02	0.386
464	374.98	3.07198e-04	14.1	0.859	0.193	0.0811	0.100	0.600	0.100	0.100	0.0922	0.100	0.100	0.120	0.100	0.300	0.200	6.92	0.339
465	375.44	3.03367e-04	13.7	0.859	0.193	0.0810	0.100	0.600	0.100	0.100	0.0919	0.100	0.100	0.120	0.100	0.300	0.200	6.76	0.318
466	375.91	3.04569e-04	13.7	0.859	0.193	0.0809	0.100	0.600	0.100	0.100	0.0915	0.100	0.100	0.120	0.100	0.300	0.200	6.72	0.340
467	376.38	3.11303e-04	13.8	0.859	0.193	0.0808	0.100	0.600	0.100	0.100	0.0912	0.100	0.100	0.120	0.100	0.300	0.200	6.82	0.334
468	376.85	3.07845e-04	13.6	0.859	0.193	0.0807	0.100	0.600	0.100	0.100	0.0909	0.100	0.100	0.120	0.100	0.300	0.200	6.67	0.327
469	377.31	3.07311e-04	13.4	0.859	0.193	0.0806	0.100	0.600	0.100	0.100	0.0906	0.100	0.100	0.120	0.100	0.300	0.200	6.59	0.314
470	377.78	3.07373e-04	13.3	0.859	0.193	0.0805	0.100	0.600	0.100	0.100	0.0903	0.100	0.100	0.120	0.100	0.300	0.200	6.53	0.323
471	378.25	3.06788e-04	13.1	0.859	0.193	0.0804	0.100	0.600	0.100	0.100	0.0900	0.100	0.100	0.120	0.100	0.300	0.200	6.45	0.329
472	378.72	3.05102e-04	12.9	0.859	0.193	0.0803	0.100	0.600	0.100	0.100	0.0897	0.100	0.100	0.120	0.100	0.300	0.200	6.35	0.307
473	379.19	3.03996e-04	12.8	0.859	0.193	0.0802	0.100	0.600	0.100	0.100	0.0894	0.100	0.100	0.120	0.100	0.300	0.200	6.27	0.317
474	379.66	3.03679e-04	12.6	0.859	0.193	0.0801	0.100	0.600	0.100	0.100	0.0891	0.100	0.100	0.120	0.100	0.300	0.200	6.20	0.310
475	380.12	2.98017e-04	12.3	0.859	0.193	0.0800	0.100	0.600	0.100	0.100	0.0889	0.100	0.100	0.120	0.100	0.300	0.200	6.02	0.372
476	380.59	2.95012e-04	12.0	0.857	0.193	0.0799	0.100	0.600	0.100	0.100	0.0886	0.100	0.100	0.120	0.100	0.300	0.200	5.90	0.295
477	381.06	2.92391e-04	11.8	0.855	0.193	0.0798	0.100	0.600	0.100	0.100	0.0883	0.100	0.100	0.120	0.100	0.300	0.200	5.79	0.315
478	381.53	2.89673e-04	11.6	0.853	0.193	0.0797	0.100	0.600	0.100	0.100	0.0880	0.100	0.100	0.120	0.100	0.300	0.200	5.68	0.289
