# hypstar_221232_radcal_L_211005_vnir.dat
# Calibrated by Joel Kuusk, Tartu Observatory, University of Tartu, 2021-10-05
#
# Applied corrections:
# nonlinearity	hypstar_221232_nonlin_corr_coefs_210715.dat
# wavelength	hypstar_221232_wl_coefs_210714.dat
# thermal	none
# stray light	none
#
# L [mW m-2 nm-1 sr-1] = DN / inttime_ms * 1000 * cal_coef
# Pixel counting starts from 0
#
# px	wl	cal_coef	u_cal_coef(k=2)	u_lamp(k=1)	u_aging(k=1)	u_power(k=1)	u_align_lamp(k=1)	u_panel(k=1)	u_interp_panel(k=1)	u_align_panel(k=1)	u_wl_source(k=1)	u_lab_stray(k=1)	u_panel_backrefl(k=1)	u_dist(k=1)	u_align(k=1)	u_temp(k=1)	u_lin(k=1)	u_stray(k=1)	u_typeA(k=1)
347	320.18	2.68887e-04	73.7	0.859	0.102	0.0949	0.100	0.326	0.100	0.100	0.123	0.100	0.100	0.120	0.100	0.300	0.125	36.8	1.02
348	320.64	2.67168e-04	71.7	0.859	0.102	0.0948	0.100	0.326	0.100	0.100	0.122	0.100	0.100	0.120	0.100	0.300	0.125	35.8	0.964
349	321.10	2.70189e-04	71.4	0.859	0.102	0.0947	0.100	0.326	0.100	0.100	0.122	0.100	0.100	0.120	0.100	0.300	0.125	35.7	1.08
350	321.56	2.61187e-04	67.0	0.859	0.102	0.0945	0.100	0.326	0.100	0.100	0.121	0.100	0.100	0.120	0.100	0.300	0.125	33.5	0.928
351	322.02	2.72201e-04	69.5	0.859	0.102	0.0944	0.100	0.326	0.100	0.100	0.121	0.100	0.100	0.120	0.100	0.300	0.125	34.7	0.995
352	322.48	2.70594e-04	67.7	0.859	0.102	0.0943	0.100	0.326	0.100	0.100	0.120	0.100	0.100	0.120	0.100	0.300	0.125	33.8	0.907
353	322.94	2.68475e-04	65.8	0.859	0.102	0.0941	0.100	0.326	0.100	0.100	0.120	0.100	0.100	0.120	0.100	0.300	0.125	32.9	0.995
354	323.40	2.7858e-04	67.9	0.859	0.102	0.0940	0.100	0.326	0.100	0.100	0.119	0.100	0.100	0.120	0.100	0.300	0.125	33.9	1.03
355	323.86	2.72744e-04	64.8	0.859	0.102	0.0939	0.100	0.326	0.100	0.100	0.119	0.100	0.100	0.120	0.100	0.300	0.125	32.4	0.992
356	324.32	2.68798e-04	62.5	0.859	0.102	0.0937	0.100	0.326	0.100	0.100	0.118	0.100	0.100	0.120	0.100	0.300	0.125	31.2	0.843
357	324.78	2.73019e-04	62.6	0.859	0.102	0.0936	0.100	0.326	0.100	0.100	0.118	0.100	0.100	0.120	0.100	0.300	0.125	31.3	0.879
358	325.24	2.69389e-04	60.5	0.859	0.102	0.0935	0.100	0.326	0.100	0.100	0.117	0.100	0.100	0.120	0.100	0.300	0.125	30.2	0.812
359	325.70	2.7733e-04	61.7	0.859	0.102	0.0933	0.100	0.326	0.100	0.100	0.117	0.100	0.100	0.120	0.100	0.300	0.125	30.8	0.868
360	326.16	2.74962e-04	60.0	0.859	0.102	0.0932	0.100	0.326	0.100	0.100	0.117	0.100	0.100	0.120	0.100	0.300	0.125	30.0	0.848
361	326.62	2.77076e-04	59.6	0.859	0.102	0.0931	0.100	0.326	0.100	0.100	0.116	0.100	0.100	0.120	0.100	0.300	0.125	29.8	0.869
362	327.08	2.80454e-04	59.5	0.859	0.102	0.0929	0.100	0.326	0.100	0.100	0.116	0.100	0.100	0.120	0.100	0.300	0.125	29.7	0.992
363	327.54	2.77769e-04	57.8	0.859	0.102	0.0928	0.100	0.326	0.100	0.100	0.115	0.100	0.100	0.120	0.100	0.300	0.125	28.8	0.800
364	328.00	2.81533e-04	57.8	0.859	0.102	0.0927	0.100	0.326	0.100	0.100	0.115	0.100	0.100	0.120	0.100	0.300	0.125	28.9	0.786
365	328.46	2.80242e-04	56.5	0.859	0.102	0.0926	0.100	0.326	0.100	0.100	0.114	0.100	0.100	0.120	0.100	0.300	0.125	28.2	0.823
366	328.92	2.85967e-04	57.0	0.859	0.102	0.0924	0.100	0.326	0.100	0.100	0.114	0.100	0.100	0.120	0.100	0.300	0.125	28.5	0.897
367	329.38	2.88893e-04	56.8	0.859	0.102	0.0923	0.100	0.326	0.100	0.100	0.113	0.100	0.100	0.120	0.100	0.300	0.125	28.4	0.813
368	329.84	2.91141e-04	56.4	0.859	0.102	0.0922	0.100	0.326	0.100	0.100	0.113	0.100	0.100	0.120	0.100	0.300	0.125	28.2	0.824
369	330.30	2.89293e-04	55.1	0.859	0.102	0.0920	0.100	0.326	0.100	0.100	0.113	0.100	0.100	0.120	0.100	0.300	0.125	27.5	0.893
370	330.76	2.96697e-04	56.0	0.859	0.102	0.0919	0.100	0.326	0.100	0.100	0.112	0.100	0.100	0.120	0.100	0.300	0.125	27.9	0.829
371	331.22	2.97696e-04	55.3	0.859	0.102	0.0918	0.100	0.326	0.100	0.100	0.112	0.100	0.100	0.120	0.100	0.300	0.125	27.6	0.962
372	331.68	2.98405e-04	54.6	0.859	0.102	0.0917	0.100	0.326	0.100	0.100	0.111	0.100	0.100	0.120	0.100	0.300	0.125	27.3	0.835
373	332.14	3.02361e-04	54.6	0.859	0.102	0.0915	0.100	0.326	0.100	0.100	0.111	0.100	0.100	0.120	0.100	0.300	0.125	27.3	1.01
374	332.60	3.11231e-04	55.7	0.859	0.102	0.0914	0.100	0.326	0.100	0.100	0.111	0.100	0.100	0.120	0.100	0.300	0.125	27.8	0.810
375	333.07	3.08329e-04	54.2	0.859	0.102	0.0913	0.100	0.326	0.100	0.100	0.110	0.100	0.100	0.120	0.100	0.300	0.125	27.1	0.802
376	333.53	3.13121e-04	54.4	0.859	0.102	0.0911	0.100	0.326	0.100	0.100	0.110	0.100	0.100	0.120	0.100	0.300	0.125	27.2	0.777
377	333.99	3.17765e-04	54.6	0.859	0.102	0.0910	0.100	0.326	0.100	0.100	0.109	0.100	0.100	0.120	0.100	0.300	0.125	27.2	1.04
378	334.45	3.21146e-04	54.4	0.859	0.102	0.0909	0.100	0.326	0.100	0.100	0.109	0.100	0.100	0.120	0.100	0.300	0.125	27.2	0.809
379	334.91	3.18701e-04	53.1	0.859	0.102	0.0908	0.100	0.326	0.100	0.100	0.109	0.100	0.100	0.120	0.100	0.300	0.125	26.5	0.788
380	335.37	3.22679e-04	53.1	0.859	0.102	0.0906	0.100	0.326	0.100	0.100	0.108	0.100	0.100	0.120	0.100	0.300	0.125	26.5	0.769
381	335.83	3.23256e-04	52.4	0.859	0.102	0.0905	0.100	0.326	0.100	0.100	0.108	0.100	0.100	0.120	0.100	0.300	0.125	26.1	0.779
382	336.29	3.31845e-04	53.3	0.859	0.102	0.0904	0.100	0.326	0.100	0.100	0.108	0.100	0.100	0.120	0.100	0.300	0.125	26.6	0.785
383	336.76	3.33969e-04	52.9	0.859	0.102	0.0903	0.100	0.326	0.100	0.100	0.107	0.100	0.100	0.120	0.100	0.300	0.125	26.4	0.797
384	337.22	3.39592e-04	53.2	0.859	0.102	0.0901	0.100	0.326	0.100	0.100	0.107	0.100	0.100	0.120	0.100	0.300	0.125	26.6	0.744
385	337.68	3.38744e-04	52.2	0.859	0.102	0.0900	0.100	0.326	0.100	0.100	0.106	0.100	0.100	0.120	0.100	0.300	0.125	26.1	0.737
386	338.14	3.44301e-04	52.5	0.859	0.102	0.0899	0.100	0.326	0.100	0.100	0.106	0.100	0.100	0.120	0.100	0.300	0.125	26.2	0.753
387	338.60	3.42622e-04	51.4	0.859	0.102	0.0898	0.100	0.326	0.100	0.100	0.106	0.100	0.100	0.120	0.100	0.300	0.125	25.7	0.736
388	339.07	3.45207e-04	51.1	0.859	0.102	0.0897	0.100	0.326	0.100	0.100	0.105	0.100	0.100	0.120	0.100	0.300	0.125	25.5	0.748
389	339.53	3.38576e-04	49.1	0.859	0.102	0.0895	0.100	0.326	0.100	0.100	0.105	0.100	0.100	0.120	0.100	0.300	0.125	24.5	0.842
390	339.99	3.44688e-04	49.5	0.859	0.102	0.0894	0.100	0.326	0.100	0.100	0.105	0.100	0.100	0.120	0.100	0.300	0.125	24.7	0.781
391	340.45	3.42621e-04	48.4	0.859	0.102	0.0893	0.100	0.326	0.100	0.100	0.104	0.100	0.100	0.120	0.100	0.300	0.125	24.2	0.754
392	340.91	3.45574e-04	48.2	0.859	0.102	0.0892	0.100	0.326	0.100	0.100	0.104	0.100	0.100	0.120	0.100	0.300	0.125	24.1	0.711
393	341.38	3.39142e-04	46.4	0.859	0.102	0.0891	0.100	0.326	0.100	0.100	0.104	0.100	0.100	0.120	0.100	0.300	0.125	23.2	0.750
394	341.84	3.38519e-04	45.6	0.859	0.102	0.0889	0.100	0.326	0.100	0.100	0.103	0.100	0.100	0.120	0.100	0.300	0.125	22.8	0.677
