# hypstar_221461_radcal_E_220104_swir.dat
# File was created 2022-01-06 16:11:51 UTC
#
# Calibrated by Joel Kuusk, Tartu Observatory, University of Tartu, 2022-01-04
#
# Applied corrections:
# nonlinearity	hypstar_221461_nonlin_corr_coefs_220105.dat
# wavelength	hypstar_221461_wl_coefs_220105.dat
# thermal	none
# stray light	none
#
# E [mW m-2 nm-1] = DN / inttime_ms * 1000 * cal_coef
# Pixel counting starts from 0
#
# px	wl	cal_coef	u_cal_coef(k=2)	u_lamp(k=1)	u_aging(k=1)	u_power(k=1)	u_align_lamp(k=1)	u_panel(k=1)	u_interp_panel(k=1)	u_align_panel(k=1)	u_wl_source(k=1)	u_lab_stray(k=1)	u_panel_backrefl(k=1)	u_dist(k=1)	u_align(k=1)	u_temp(k=1)	u_lin(k=1)	u_stray(k=1)	u_typeA(k=1)
0	882.01	2.61261e-02	1.70	0.613	0.130	0.0345	0.100	0	0	0	0.000804	0.100	0	0.440	0.100	0.300	0.115	0	0.00971
1	885.63	2.14488e-02	1.70	0.613	0.130	0.0343	0.100	0	0	0	0.000464	0.100	0	0.440	0.100	0.300	0.115	0	0.00923
2	889.25	2.03855e-02	1.70	0.613	0.130	0.0342	0.100	0	0	0	0.000121	0.100	0	0.440	0.100	0.300	0.115	0	0.00757
3	892.87	1.9575e-02	1.70	0.613	0.130	0.0340	0.100	0	0	0	0.000226	0.100	0	0.440	0.100	0.300	0.115	0	0.00813
4	896.48	1.87704e-02	1.70	0.613	0.130	0.0339	0.100	0	0	0	0.000575	0.100	0	0.440	0.100	0.300	0.115	0	0.00693
5	900.09	1.79242e-02	3.71	1.76	0.130	0.0338	0.100	0	0	0	0.135	0.100	0	0.440	0.100	0.300	0.115	0	0.00785
6	903.70	1.71997e-02	3.70	1.76	0.130	0.0336	0.100	0	0	0	0.000584	0.100	0	0.440	0.100	0.300	0.115	0	0.00717
7	907.31	1.6436e-02	3.70	1.76	0.130	0.0335	0.100	0	0	0	0.000409	0.100	0	0.440	0.100	0.300	0.115	0	0.00728
8	910.91	1.56049e-02	3.70	1.76	0.130	0.0334	0.100	0	0	0	0.000237	0.100	0	0.440	0.100	0.300	0.115	0	0.00622
9	914.51	1.46222e-02	3.70	1.76	0.130	0.0332	0.100	0	0	0	0.0000674	0.100	0	0.440	0.100	0.300	0.115	0	0.00689
10	918.11	1.32499e-02	3.70	1.76	0.130	0.0331	0.100	0	0	0	0.0000993	0.100	0	0.440	0.100	0.300	0.115	0	0.00559
11	921.70	1.17658e-02	3.70	1.76	0.130	0.0330	0.100	0	0	0	0.000263	0.100	0	0.440	0.100	0.300	0.115	0	0.00492
12	925.29	1.06525e-02	3.70	1.76	0.130	0.0329	0.100	0	0	0	0.000425	0.100	0	0.440	0.100	0.300	0.115	0	0.00455
13	928.88	9.99573e-03	3.70	1.76	0.130	0.0327	0.100	0	0	0	0.000583	0.100	0	0.440	0.100	0.300	0.115	0	0.00448
14	932.47	9.55103e-03	3.70	1.76	0.130	0.0326	0.100	0	0	0	0.000739	0.100	0	0.440	0.100	0.300	0.115	0	0.00381
15	936.05	9.23021e-03	3.70	1.76	0.130	0.0325	0.100	0	0	0	0.000892	0.100	0	0.440	0.100	0.300	0.115	0	0.00416
16	939.63	9.00893e-03	3.70	1.76	0.130	0.0324	0.100	0	0	0	0.00104	0.100	0	0.440	0.100	0.300	0.115	0	0.00367
17	943.21	8.85629e-03	3.70	1.76	0.130	0.0322	0.100	0	0	0	0.00119	0.100	0	0.440	0.100	0.300	0.115	0	0.00405
18	946.78	8.71726e-03	3.70	1.76	0.130	0.0321	0.100	0	0	0	0.00134	0.100	0	0.440	0.100	0.300	0.115	0	0.00403
19	950.35	8.56396e-03	3.70	1.76	0.130	0.0320	0.100	0	0	0	0.00148	0.100	0	0.440	0.100	0.300	0.115	0	0.00370
20	953.92	8.44732e-03	3.70	1.76	0.130	0.0319	0.100	0	0	0	0.00162	0.100	0	0.440	0.100	0.300	0.115	0	0.00386
21	957.49	8.34904e-03	3.70	1.76	0.130	0.0317	0.100	0	0	0	0.00176	0.100	0	0.440	0.100	0.300	0.115	0	0.00370
22	961.05	8.22823e-03	3.70	1.76	0.130	0.0316	0.100	0	0	0	0.00190	0.100	0	0.440	0.100	0.300	0.115	0	0.00361
23	964.61	8.06608e-03	3.70	1.76	0.130	0.0315	0.100	0	0	0	0.00203	0.100	0	0.440	0.100	0.300	0.115	0	0.00361
24	968.16	7.91598e-03	3.70	1.76	0.130	0.0314	0.100	0	0	0	0.00216	0.100	0	0.440	0.100	0.300	0.115	0	0.00382
25	971.72	7.78685e-03	3.70	1.76	0.130	0.0313	0.100	0	0	0	0.00229	0.100	0	0.440	0.100	0.300	0.115	0	0.00343
26	975.27	7.68853e-03	3.70	1.76	0.130	0.0312	0.100	0	0	0	0.00242	0.100	0	0.440	0.100	0.300	0.115	0	0.00342
27	978.81	7.5568e-03	3.70	1.76	0.130	0.0311	0.100	0	0	0	0.00255	0.100	0	0.440	0.100	0.300	0.115	0	0.00342
28	982.36	7.4125e-03	3.70	1.76	0.130	0.0309	0.100	0	0	0	0.00267	0.100	0	0.440	0.100	0.300	0.115	0	0.00312
29	985.90	7.29087e-03	3.70	1.76	0.130	0.0308	0.100	0	0	0	0.00279	0.100	0	0.440	0.100	0.300	0.115	0	0.00345
30	989.44	7.20039e-03	3.70	1.76	0.130	0.0307	0.100	0	0	0	0.00291	0.100	0	0.440	0.100	0.300	0.115	0	0.00332
31	992.97	7.12302e-03	3.70	1.76	0.130	0.0306	0.100	0	0	0	0.00303	0.100	0	0.440	0.100	0.300	0.115	0	0.00327
32	996.50	7.01908e-03	3.70	1.76	0.130	0.0305	0.100	0	0	0	0.00315	0.100	0	0.440	0.100	0.300	0.115	0	0.00317
33	1000.03	6.89795e-03	3.70	1.75	0.130	0.0304	0.100	0	0	0	0.00326	0.100	0	0.440	0.100	0.300	0.115	0	0.00321
34	1003.56	6.80413e-03	3.56	1.68	0.130	0.0303	0.100	0	0	0	0.00337	0.100	0	0.440	0.100	0.300	0.115	0	0.00315
35	1007.08	6.73701e-03	3.42	1.61	0.130	0.0302	0.100	0	0	0	0.00348	0.100	0	0.440	0.100	0.300	0.115	0	0.00293
36	1010.60	6.69998e-03	3.31	1.54	0.130	0.0301	0.100	0	0	0	0.00359	0.100	0	0.440	0.100	0.300	0.115	0	0.00322
37	1014.11	6.63001e-03	3.31	1.54	0.130	0.0300	0.100	0	0	0	0.00370	0.100	0	0.440	0.100	0.300	0.115	0	0.00310
38	1017.63	6.55016e-03	3.31	1.54	0.130	0.0299	0.100	0	0	0	0.00380	0.100	0	0.440	0.100	0.300	0.115	0	0.00341
39	1021.14	6.47647e-03	3.31	1.54	0.130	0.0298	0.100	0	0	0	0.00390	0.100	0	0.440	0.100	0.300	0.115	0	0.00292
40	1024.64	6.41893e-03	3.31	1.54	0.130	0.0297	0.100	0	0	0	0.00401	0.100	0	0.440	0.100	0.300	0.115	0	0.00323
41	1028.15	6.39714e-03	3.31	1.54	0.130	0.0296	0.100	0	0	0	0.00411	0.100	0	0.440	0.100	0.300	0.115	0	0.00302
42	1031.65	6.3635e-03	3.31	1.54	0.130	0.0295	0.100	0	0	0	0.00420	0.100	0	0.440	0.100	0.300	0.115	0	0.00297
43	1035.14	6.31285e-03	3.31	1.54	0.130	0.0294	0.100	0	0	0	0.00430	0.100	0	0.440	0.100	0.300	0.115	0	0.00302
44	1038.64	6.25426e-03	3.31	1.54	0.130	0.0293	0.100	0	0	0	0.00439	0.100	0	0.440	0.100	0.300	0.115	0	0.00312
45	1042.13	6.21829e-03	3.31	1.54	0.130	0.0292	0.100	0	0	0	0.00449	0.100	0	0.440	0.100	0.300	0.115	0	0.00316
46	1045.61	6.20484e-03	3.31	1.54	0.130	0.0291	0.100	0	0	0	0.00458	0.100	0	0.440	0.100	0.300	0.115	0	0.00308
47	1049.10	6.20818e-03	3.31	1.54	0.130	0.0290	0.100	0	0	0	0.00467	0.100	0	0.440	0.100	0.300	0.115	0	0.00315
48	1052.58	6.20847e-03	3.31	1.54	0.130	0.0289	0.100	0	0	0	0.00476	0.100	0	0.440	0.100	0.300	0.115	0	0.00322
49	1056.06	6.2035e-03	3.31	1.54	0.130	0.0288	0.100	0	0	0	0.00485	0.100	0	0.440	0.100	0.300	0.115	0	0.00306
50	1059.53	6.17723e-03	3.31	1.54	0.130	0.0287	0.100	0	0	0	0.00493	0.100	0	0.440	0.100	0.300	0.115	0	0.00305
51	1063.00	6.16368e-03	3.31	1.54	0.130	0.0286	0.100	0	0	0	0.00502	0.100	0	0.440	0.100	0.300	0.115	0	0.00336
52	1066.47	6.16495e-03	3.31	1.54	0.130	0.0285	0.100	0	0	0	0.00510	0.100	0	0.440	0.100	0.300	0.115	0	0.00289
53	1069.93	6.17133e-03	3.31	1.54	0.130	0.0284	0.100	0	0	0	0.00518	0.100	0	0.440	0.100	0.300	0.115	0	0.00312
54	1073.39	6.1792e-03	3.31	1.54	0.130	0.0283	0.100	0	0	0	0.00526	0.100	0	0.440	0.100	0.300	0.115	0	0.00361
55	1076.85	6.16527e-03	3.31	1.54	0.130	0.0282	0.100	0	0	0	0.00534	0.100	0	0.440	0.100	0.300	0.115	0	0.00308
56	1080.30	6.13947e-03	3.31	1.54	0.130	0.0281	0.100	0	0	0	0.00542	0.100	0	0.440	0.100	0.300	0.115	0	0.00317
57	1083.75	6.11851e-03	3.31	1.54	0.130	0.0281	0.100	0	0	0	0.00549	0.100	0	0.440	0.100	0.300	0.115	0	0.00298
58	1087.20	6.10477e-03	3.31	1.54	0.130	0.0280	0.100	0	0	0	0.00557	0.100	0	0.440	0.100	0.300	0.115	0	0.00312
59	1090.64	6.10336e-03	3.29	1.54	0.130	0.0279	0.100	0	0	0	0.00564	0.100	0	0.440	0.100	0.300	0.115	0	0.00281
60	1094.08	6.09347e-03	3.24	1.51	0.130	0.0278	0.100	0	0	0	0.00571	0.100	0	0.440	0.100	0.300	0.115	0	0.00303
61	1097.52	6.06536e-03	3.18	1.48	0.130	0.0277	0.100	0	0	0	0.00579	0.100	0	0.440	0.100	0.300	0.115	0	0.00306
62	1100.95	6.02147e-03	3.14	1.46	0.130	0.0276	0.100	0	0	0	0.00586	0.100	0	0.440	0.100	0.300	0.115	0	0.00285
63	1104.38	5.95414e-03	3.14	1.46	0.130	0.0275	0.100	0	0	0	0.00592	0.100	0	0.440	0.100	0.300	0.115	0	0.00287
64	1107.81	5.88986e-03	3.14	1.46	0.130	0.0274	0.100	0	0	0	0.00599	0.100	0	0.440	0.100	0.300	0.115	0	0.00295
65	1111.23	5.82342e-03	3.14	1.46	0.130	0.0274	0.100	0	0	0	0.00606	0.100	0	0.440	0.100	0.300	0.115	0	0.00296
66	1114.65	5.77534e-03	3.14	1.46	0.130	0.0273	0.100	0	0	0	0.00613	0.100	0	0.440	0.100	0.300	0.115	0	0.00311
67	1118.07	5.72162e-03	3.14	1.46	0.130	0.0272	0.100	0	0	0	0.00619	0.100	0	0.440	0.100	0.300	0.115	0	0.00311
68	1121.48	5.6651e-03	3.14	1.46	0.130	0.0271	0.100	0	0	0	0.00625	0.100	0	0.440	0.100	0.300	0.115	0	0.00282
69	1124.89	5.60089e-03	3.14	1.46	0.130	0.0270	0.100	0	0	0	0.00632	0.100	0	0.440	0.100	0.300	0.115	0	0.00287
70	1128.30	5.53544e-03	3.14	1.46	0.130	0.0269	0.100	0	0	0	0.00638	0.100	0	0.440	0.100	0.300	0.115	0	0.00299
71	1131.70	5.48665e-03	3.14	1.46	0.130	0.0269	0.100	0	0	0	0.00644	0.100	0	0.440	0.100	0.300	0.115	0	0.00277
72	1135.10	5.44385e-03	3.14	1.46	0.130	0.0268	0.100	0	0	0	0.00650	0.100	0	0.440	0.100	0.300	0.115	0	0.00281
73	1138.49	5.42275e-03	3.14	1.46	0.130	0.0267	0.100	0	0	0	0.00656	0.100	0	0.440	0.100	0.300	0.115	0	0.00273
74	1141.88	5.40777e-03	3.13	1.45	0.130	0.0266	0.100	0	0	0	0.00661	0.100	0	0.440	0.100	0.300	0.115	0	0.00299
75	1145.27	5.3958e-03	3.13	1.45	0.130	0.0265	0.100	0	0	0	0.00667	0.100	0	0.440	0.100	0.300	0.115	0	0.00299
76	1148.65	5.37478e-03	3.12	1.45	0.130	0.0265	0.100	0	0	0	0.00673	0.100	0	0.440	0.100	0.300	0.115	0	0.00282
77	1152.04	5.35341e-03	3.12	1.44	0.130	0.0264	0.100	0	0	0	0.00678	0.100	0	0.440	0.100	0.300	0.115	0	0.00261
78	1155.41	5.33719e-03	3.12	1.44	0.130	0.0263	0.100	0	0	0	0.00684	0.100	0	0.440	0.100	0.300	0.115	0	0.00297
79	1158.79	5.3306e-03	3.12	1.44	0.130	0.0262	0.100	0	0	0	0.00689	0.100	0	0.440	0.100	0.300	0.115	0	0.00305
80	1162.16	5.32673e-03	3.12	1.44	0.130	0.0262	0.100	0	0	0	0.00694	0.100	0	0.440	0.100	0.300	0.115	0	0.00295
81	1165.52	5.34037e-03	3.12	1.44	0.130	0.0261	0.100	0	0	0	0.00699	0.100	0	0.440	0.100	0.300	0.115	0	0.00283
82	1168.88	5.34831e-03	3.12	1.44	0.130	0.0260	0.100	0	0	0	0.00704	0.100	0	0.440	0.100	0.300	0.115	0	0.00274
83	1172.24	5.34096e-03	3.12	1.44	0.130	0.0259	0.100	0	0	0	0.00709	0.100	0	0.440	0.100	0.300	0.115	0	0.00321
84	1175.60	5.3245e-03	3.12	1.44	0.130	0.0259	0.100	0	0	0	0.00714	0.100	0	0.440	0.100	0.300	0.115	0	0.00276
85	1178.95	5.28258e-03	3.12	1.44	0.130	0.0258	0.100	0	0	0	0.00719	0.100	0	0.440	0.100	0.300	0.115	0	0.00298
86	1182.30	5.23839e-03	3.12	1.44	0.130	0.0257	0.100	0	0	0	0.00724	0.100	0	0.440	0.100	0.300	0.115	0	0.00273
87	1185.64	5.1911e-03	3.12	1.44	0.130	0.0256	0.100	0	0	0	0.00728	0.100	0	0.440	0.100	0.300	0.115	0	0.00272
