# hypstar_221461_radcal_E_220104_vnir.dat
# File was created 2022-01-06 16:11:50 UTC
#
# Calibrated by Joel Kuusk, Tartu Observatory, University of Tartu, 2022-01-04
#
# Applied corrections:
# nonlinearity	hypstar_221461_nonlin_corr_coefs_220105.dat
# wavelength	hypstar_221461_wl_coefs_220105.dat
# thermal	none
# stray light	none
#
# E [mW m-2 nm-1] = DN / inttime_ms * 1000 * cal_coef
# Pixel counting starts from 0
#
# px	wl	cal_coef	u_cal_coef(k=2)	u_lamp(k=1)	u_aging(k=1)	u_power(k=1)	u_align_lamp(k=1)	u_panel(k=1)	u_interp_panel(k=1)	u_align_panel(k=1)	u_wl_source(k=1)	u_lab_stray(k=1)	u_panel_backrefl(k=1)	u_dist(k=1)	u_align(k=1)	u_temp(k=1)	u_lin(k=1)	u_stray(k=1)	u_typeA(k=1)
412	350.03	2.21367e-02	38.0	0.859	0.130	0.0868	0.100	0	0	0	0.0976	0.100	0	0.440	0.100	0.300	0.285	18.9	1.27
413	350.49	2.42252e-02	41.8	0.859	0.130	0.0867	0.100	0	0	0	0.0972	0.100	0	0.440	0.100	0.300	0.285	20.8	1.42
414	350.96	2.33384e-02	39.4	0.859	0.130	0.0866	0.100	0	0	0	0.0969	0.100	0	0.440	0.100	0.300	0.285	19.6	1.59
415	351.42	2.28387e-02	37.9	0.859	0.130	0.0865	0.100	0	0	0	0.0965	0.100	0	0.440	0.100	0.300	0.285	18.9	1.30
416	351.88	2.32652e-02	38.2	0.859	0.130	0.0864	0.100	0	0	0	0.0962	0.100	0	0.440	0.100	0.300	0.285	19.0	1.31
417	352.35	2.3568e-02	38.3	0.859	0.130	0.0863	0.100	0	0	0	0.0959	0.100	0	0.440	0.100	0.300	0.285	19.1	1.34
418	352.81	2.24233e-02	35.7	0.859	0.130	0.0862	0.100	0	0	0	0.0955	0.100	0	0.440	0.100	0.300	0.285	17.8	1.36
419	353.27	2.22033e-02	34.8	0.859	0.130	0.0861	0.100	0	0	0	0.0952	0.100	0	0.440	0.100	0.300	0.285	17.3	1.10
420	353.74	2.2491e-02	34.9	0.859	0.130	0.0859	0.100	0	0	0	0.0949	0.100	0	0.440	0.100	0.300	0.285	17.4	1.16
421	354.20	2.27129e-02	34.9	0.859	0.130	0.0858	0.100	0	0	0	0.0945	0.100	0	0.440	0.100	0.300	0.285	17.4	1.27
422	354.66	2.14838e-02	32.3	0.859	0.130	0.0857	0.100	0	0	0	0.0942	0.100	0	0.440	0.100	0.300	0.285	16.1	1.16
423	355.13	2.16662e-02	32.2	0.859	0.130	0.0856	0.100	0	0	0	0.0939	0.100	0	0.440	0.100	0.300	0.285	16.0	1.17
424	355.59	2.20427e-02	32.4	0.859	0.130	0.0855	0.100	0	0	0	0.0935	0.100	0	0.440	0.100	0.300	0.285	16.1	1.10
425	356.06	2.15013e-02	31.1	0.859	0.130	0.0854	0.100	0	0	0	0.0932	0.100	0	0.440	0.100	0.300	0.285	15.5	1.10
426	356.52	2.11683e-02	30.2	0.859	0.130	0.0853	0.100	0	0	0	0.0929	0.100	0	0.440	0.100	0.300	0.285	15.0	1.15
427	356.98	2.08867e-02	29.4	0.859	0.130	0.0852	0.100	0	0	0	0.0925	0.100	0	0.440	0.100	0.300	0.285	14.6	1.07
428	357.45	2.11896e-02	29.5	0.859	0.130	0.0850	0.100	0	0	0	0.0922	0.100	0	0.440	0.100	0.300	0.285	14.7	1.04
429	357.91	2.06926e-02	28.4	0.859	0.130	0.0849	0.100	0	0	0	0.0919	0.100	0	0.440	0.100	0.300	0.285	14.1	1.05
430	358.38	2.01038e-02	27.2	0.859	0.130	0.0848	0.100	0	0	0	0.0916	0.100	0	0.440	0.100	0.300	0.285	13.5	1.05
431	358.84	2.02009e-02	27.0	0.859	0.130	0.0847	0.100	0	0	0	0.0913	0.100	0	0.440	0.100	0.300	0.285	13.4	1.11
432	359.30	1.96895e-02	25.9	0.859	0.130	0.0846	0.100	0	0	0	0.0909	0.100	0	0.440	0.100	0.300	0.285	12.9	0.954
433	359.77	1.98898e-02	25.9	0.859	0.130	0.0845	0.100	0	0	0	0.0906	0.100	0	0.440	0.100	0.300	0.285	12.9	0.961
434	360.23	1.93885e-02	24.9	0.859	0.130	0.0844	0.100	0	0	0	0.0903	0.100	0	0.440	0.100	0.300	0.285	12.4	0.986
435	360.70	1.94543e-02	24.7	0.859	0.130	0.0843	0.100	0	0	0	0.0900	0.100	0	0.440	0.100	0.300	0.285	12.3	0.889
436	361.16	1.95306e-02	24.5	0.859	0.130	0.0842	0.100	0	0	0	0.0897	0.100	0	0.440	0.100	0.300	0.285	12.2	0.867
437	361.63	1.8975e-02	23.5	0.859	0.130	0.0841	0.100	0	0	0	0.0894	0.100	0	0.440	0.100	0.300	0.285	11.6	0.847
438	362.09	1.90205e-02	23.2	0.859	0.130	0.0840	0.100	0	0	0	0.0891	0.100	0	0.440	0.100	0.300	0.285	11.5	0.777
439	362.56	1.88423e-02	22.8	0.859	0.130	0.0838	0.100	0	0	0	0.0888	0.100	0	0.440	0.100	0.300	0.285	11.3	0.898
440	363.02	1.86336e-02	22.2	0.859	0.130	0.0837	0.100	0	0	0	0.0884	0.100	0	0.440	0.100	0.300	0.285	11.0	0.790
441	363.49	1.8529e-02	21.9	0.859	0.130	0.0836	0.100	0	0	0	0.0881	0.100	0	0.440	0.100	0.300	0.285	10.8	0.843
442	363.95	1.96682e-02	23.1	0.859	0.130	0.0835	0.100	0	0	0	0.0878	0.100	0	0.440	0.100	0.300	0.285	11.5	0.936
443	364.42	1.82461e-02	21.0	0.859	0.130	0.0834	0.100	0	0	0	0.0875	0.100	0	0.440	0.100	0.300	0.285	10.4	0.831
444	364.88	1.82057e-02	20.8	0.859	0.130	0.0833	0.100	0	0	0	0.0872	0.100	0	0.440	0.100	0.300	0.285	10.3	0.874
445	365.35	1.76487e-02	19.8	0.859	0.130	0.0832	0.100	0	0	0	0.0869	0.100	0	0.440	0.100	0.300	0.285	9.83	0.806
446	365.81	1.75622e-02	19.5	0.859	0.130	0.0831	0.100	0	0	0	0.0866	0.100	0	0.440	0.100	0.300	0.285	9.67	0.785
447	366.28	1.75027e-02	19.2	0.859	0.130	0.0830	0.100	0	0	0	0.0863	0.100	0	0.440	0.100	0.300	0.285	9.53	0.833
448	366.74	1.70477e-02	18.5	0.859	0.130	0.0829	0.100	0	0	0	0.0860	0.100	0	0.440	0.100	0.300	0.285	9.16	0.746
449	367.21	1.69221e-02	18.1	0.859	0.130	0.0828	0.100	0	0	0	0.0857	0.100	0	0.440	0.100	0.300	0.285	8.99	0.661
450	367.67	1.68398e-02	17.9	0.859	0.130	0.0827	0.100	0	0	0	0.0854	0.100	0	0.440	0.100	0.300	0.285	8.84	0.697
451	368.14	1.69017e-02	17.8	0.859	0.130	0.0826	0.100	0	0	0	0.0852	0.100	0	0.440	0.100	0.300	0.285	8.78	0.669
452	368.61	1.66683e-02	17.3	0.859	0.130	0.0825	0.100	0	0	0	0.0849	0.100	0	0.440	0.100	0.300	0.285	8.56	0.674
453	369.07	1.64254e-02	16.9	0.859	0.130	0.0824	0.100	0	0	0	0.0846	0.100	0	0.440	0.100	0.300	0.285	8.34	0.679
454	369.54	1.61773e-02	16.4	0.859	0.130	0.0823	0.100	0	0	0	0.0843	0.100	0	0.440	0.100	0.300	0.285	8.11	0.742
455	370.00	1.58131e-02	15.9	0.859	0.130	0.0822	0.100	0	0	0	0.0840	0.100	0	0.440	0.100	0.300	0.285	7.83	0.604
456	370.47	1.60397e-02	15.9	0.859	0.130	0.0821	0.100	0	0	0	0.0837	0.100	0	0.440	0.100	0.300	0.285	7.87	0.664
457	370.93	1.57464e-02	15.5	0.859	0.130	0.0820	0.100	0	0	0	0.0834	0.100	0	0.440	0.100	0.300	0.285	7.64	0.676
458	371.40	1.55315e-02	15.1	0.859	0.130	0.0819	0.100	0	0	0	0.0831	0.100	0	0.440	0.100	0.300	0.285	7.45	0.648
459	371.87	1.52695e-02	14.7	0.859	0.130	0.0817	0.100	0	0	0	0.0829	0.100	0	0.440	0.100	0.300	0.285	7.24	0.574
460	372.33	1.49705e-02	14.3	0.859	0.130	0.0816	0.100	0	0	0	0.0826	0.100	0	0.440	0.100	0.300	0.285	7.02	0.745
461	372.80	1.48224e-02	14.0	0.859	0.130	0.0815	0.100	0	0	0	0.0823	0.100	0	0.440	0.100	0.300	0.285	6.87	0.631
462	373.27	1.43867e-02	13.4	0.859	0.130	0.0814	0.100	0	0	0	0.0820	0.100	0	0.440	0.100	0.300	0.285	6.59	0.560
463	373.73	1.43136e-02	13.2	0.859	0.130	0.0813	0.100	0	0	0	0.0817	0.100	0	0.440	0.100	0.300	0.285	6.49	0.588
464	374.20	1.43416e-02	13.1	0.859	0.130	0.0812	0.100	0	0	0	0.0815	0.100	0	0.440	0.100	0.300	0.285	6.44	0.621
465	374.67	1.40108e-02	12.7	0.859	0.130	0.0811	0.100	0	0	0	0.0812	0.100	0	0.440	0.100	0.300	0.285	6.22	0.577
466	375.13	1.39701e-02	12.5	0.859	0.130	0.0810	0.100	0	0	0	0.0809	0.100	0	0.440	0.100	0.300	0.285	6.14	0.481
467	375.60	1.38251e-02	12.3	0.859	0.130	0.0809	0.100	0	0	0	0.0806	0.100	0	0.440	0.100	0.300	0.285	6.01	0.498
468	376.06	1.372e-02	12.1	0.859	0.130	0.0808	0.100	0	0	0	0.0804	0.100	0	0.440	0.100	0.300	0.285	5.90	0.579
469	376.53	1.36405e-02	11.9	0.859	0.130	0.0807	0.100	0	0	0	0.0801	0.100	0	0.440	0.100	0.300	0.285	5.81	0.512
470	377.00	1.33723e-02	11.5	0.859	0.130	0.0806	0.100	0	0	0	0.0798	0.100	0	0.440	0.100	0.300	0.285	5.63	0.523
471	377.47	1.34139e-02	11.4	0.859	0.130	0.0805	0.100	0	0	0	0.0796	0.100	0	0.440	0.100	0.300	0.285	5.60	0.489
472	377.93	1.33278e-02	11.3	0.859	0.130	0.0804	0.100	0	0	0	0.0793	0.100	0	0.440	0.100	0.300	0.285	5.50	0.477
473	378.40	1.31742e-02	11.0	0.859	0.130	0.0803	0.100	0	0	0	0.0790	0.100	0	0.440	0.100	0.300	0.285	5.39	0.449
474	378.87	1.34142e-02	11.1	0.859	0.130	0.0802	0.100	0	0	0	0.0788	0.100	0	0.440	0.100	0.300	0.285	5.44	0.479
475	379.33	1.3352e-02	11.0	0.859	0.130	0.0801	0.100	0	0	0	0.0785	0.100	0	0.440	0.100	0.300	0.285	5.36	0.445
476	379.80	1.33381e-02	10.9	0.859	0.130	0.0800	0.100	0	0	0	0.0782	0.100	0	0.440	0.100	0.300	0.285	5.30	0.502
477	380.27	1.34602e-02	10.9	0.858	0.130	0.0799	0.100	0	0	0	0.0780	0.100	0	0.440	0.100	0.300	0.285	5.30	0.457
478	380.74	1.34032e-02	10.7	0.856	0.130	0.0798	0.100	0	0	0	0.0777	0.100	0	0.440	0.100	0.300	0.285	5.23	0.434
479	381.20	1.35589e-02	10.7	0.854	0.130	0.0797	0.100	0	0	0	0.0774	0.100	0	0.440	0.100	0.300	0.285	5.24	0.472
480	381.67	1.3454e-02	10.6	0.852	0.130	0.0796	0.100	0	0	0	0.0772	0.100	0	0.440	0.100	0.300	0.285	5.15	0.434
481	382.14	1.3543e-02	10.5	0.850	0.130	0.0796	0.100	0	0	0	0.0769	0.100	0	0.440	0.100	0.300	0.285	5.14	0.459
482	382.61	1.34203e-02	10.3	0.848	0.130	0.0795	0.100	0	0	0	0.0767	0.100	0	0.440	0.100	0.300	0.285	5.04	0.436
483	383.07	1.35146e-02	10.3	0.846	0.130	0.0794	0.100	0	0	0	0.0764	0.100	0	0.440	0.100	0.300	0.285	5.03	0.440
484	383.54	1.37036e-02	10.4	0.845	0.130	0.0793	0.100	0	0	0	0.0762	0.100	0	0.440	0.100	0.300	0.285	5.06	0.505
485	384.01	1.35107e-02	10.1	0.843	0.130	0.0792	0.100	0	0	0	0.0759	0.100	0	0.440	0.100	0.300	0.285	4.94	0.465
486	384.48	1.35258e-02	10.1	0.841	0.130	0.0791	0.100	0	0	0	0.0757	0.100	0	0.440	0.100	0.300	0.285	4.90	0.407
487	384.94	1.36081e-02	10.0	0.839	0.130	0.0790	0.100	0	0	0	0.0754	0.100	0	0.440	0.100	0.300	0.285	4.89	0.460
488	385.41	1.36321e-02	9.97	0.837	0.130	0.0789	0.100	0	0	0	0.0752	0.100	0	0.440	0.100	0.300	0.285	4.85	0.459
489	385.88	1.35204e-02	9.81	0.835	0.130	0.0788	0.100	0	0	0	0.0749	0.100	0	0.440	0.100	0.300	0.285	4.77	0.493
490	386.35	1.36279e-02	9.79	0.833	0.130	0.0787	0.100	0	0	0	0.0747	0.100	0	0.440	0.100	0.300	0.285	4.76	0.425
491	386.82	1.3575e-02	9.67	0.831	0.130	0.0786	0.100	0	0	0	0.0744	0.100	0	0.440	0.100	0.300	0.285	4.70	0.435
492	387.29	1.36433e-02	9.64	0.829	0.130	0.0785	0.100	0	0	0	0.0742	0.100	0	0.440	0.100	0.300	0.285	4.68	0.461
493	387.75	1.35e-02	9.46	0.827	0.130	0.0784	0.100	0	0	0	0.0739	0.100	0	0.440	0.100	0.300	0.285	4.59	0.433
494	388.22	1.35879e-02	9.43	0.825	0.130	0.0783	0.100	0	0	0	0.0737	0.100	0	0.440	0.100	0.300	0.285	4.58	0.418
495	388.69	1.34867e-02	9.29	0.823	0.130	0.0782	0.100	0	0	0	0.0734	0.100	0	0.440	0.100	0.300	0.285	4.50	0.453
496	389.16	1.36403e-02	9.31	0.821	0.130	0.0781	0.100	0	0	0	0.0732	0.100	0	0.440	0.100	0.300	0.285	4.52	0.401
497	389.63	1.34471e-02	9.10	0.819	0.130	0.0780	0.100	0	0	0	0.0729	0.100	0	0.440	0.100	0.300	0.285	4.41	0.402
498	390.10	1.35724e-02	9.11	0.818	0.130	0.0779	0.100	0	0	0	0.0727	0.100	0	0.440	0.100	0.300	0.285	4.41	0.404
499	390.56	1.36073e-02	9.06	0.816	0.130	0.0778	0.100	0	0	0	0.0725	0.100	0	0.440	0.100	0.300	0.285	4.39	0.437
500	391.03	1.35262e-02	8.92	0.814	0.130	0.0777	0.100	0	0	0	0.0722	0.100	0	0.440	0.100	0.300	0.285	4.32	0.376
501	391.50	1.34901e-02	8.83	0.812	0.130	0.0776	0.100	0	0	0	0.0720	0.100	0	0.440	0.100	0.300	0.285	4.27	0.393
502	391.97	1.35233e-02	8.78	0.810	0.130	0.0776	0.100	0	0	0	0.0718	0.100	0	0.440	0.100	0.300	0.285	4.25	0.387
