Bit #,name,Description,Comment, Application*
1,angles_missing,Missing angles,, W
2,saturation - to replace by L0_thresholds,Pixel saturation,Too many pixels above an empirically defined threshold, L & W
3,nonlinearity,Non-linearity,I think this one is not used?, L & W
3, L0_discontinuity, shoudl be added, ,,
4,bad_pointing,Bad pointing,Pan/tilt angle versus requested angle - Not yet implemented, L & W
5,placeholder1,,Placeholder for other potential calibration related quality flags, L & W
6,lon_default,Missing longitude,When raised use default, L & W
7,lat_default,Missing latitude,When raised use default, L & W
8, outliers, Outliers and NaN, Scan masked if the spectrally integrated signal is more than 3 sigma/25% (whichever is largest) - process is repeated until convergance, L & W
9, l0_thresholds,, ,L & W
10, l0_discontinuity,, ,L & W
11, dark_masked, Outliers and NaN , Same as for outliers (see 7), L & W
12, half_of_scans_masked,, ,L & W
13, vza_irradiance,, ,L & W
14, no_clear_sky_irradiance,, ,L & W
15, variable_irradiance ,, ,L & W
16, single_irradiance_used ,, ,L & W
17, no_clear_sky_sequence ,, ,L & W
18, less_than_three_darks,, ,L & W
12,lu_eq_missing,missing azimuthal equivalent for upwelling radiance ,, W
13,fresnel_angle_missing,no appropriate fresnel angle for downwelling radiance,, W
14,fresnel_default,Default/Fixed fresnel reflectance/fresnel angles out of range for Mobleys look up table,"fresnel_default
in get_fresnelrefl", W
15,temp_variability_ed,Temporal variability in ED,diff_threshold from processing config, W
16,temp_variability_lu,Temporal variability in Lsky,diff_threshold from processing config, W
17,min_nbred,Min number of Ed required for averaging,Minimum number of valid scans (Nbred) from processing config, W
18,min_nbrlu,Min number of Lt required for averaging,Minimum number of valid scans (Nrblu) from processing config,W
19,min_nbrlsky,Min number of Lsky required for averaging,Minimum number of valid scans (Nbrlsky) from processing config,W
20,def_wind_flag,Default wind value for fresnel retrieval,Default value taken from processing config, W
21,simil_fail,Similarity test failure,Reference wavelength from processing config and LUT from Ruddick et al. (2006)., W
