Level,network, metadata field
common, both, type
common, both, abstract
common, both, conventions
common, both, format_version
common, both, netcdf_version
common, both, processor_name
common, both, processor_version
common, both, processor_atbd
common, both, product_name
common, both, data_created
common, both, references
common, both, source
common, both, comment
common, both, easting
common, both, northing
common, both, acknowledgement
common, both, project_name
common, both, language
common, both, operational_status
common, both, limitations
common, both, licence
common, both, conformity
common, both, lineage
common, both, instrument_configuration_file
common, both, history
common, both, processor_configuration_file
common, both, sequence_id
common, both, system_id
common, both, site_id
common, both, site_latitude
common, both, site_longitude
common, both, source_file
common, both, system_temperature
common, both, system_pressure
common, both, illuminance
common, both, system_relative_humidity
common, both, instrument_id
common, both, pointing_system_id
common, both, calibration_device_id
common, both, irr_vis_head_id
common, both, rad_vis_head_id
common, both, rain_sensor_id
common, both, rgb_camera_id
common, both, topic_category
common, both, keyword
common, both, locator
common, both, responsible_party
common, both, creator_name
common, both, creator_email
common, both, title
L1A_RAD/L1B_RAD/L1C_ALL/L2A_REF, both, instrument_calibration_file_rad
L1A_IRR/L1B_IRR/L1C_ALL/L2A_REF, both, instrument_calibration_file_irr
L1C_ALL/L2A_REF, W, rhof_option
L1C_ALL/L2A_REF, W, rhof_wind_source
L1C_ALL/L2A_REF, W, similarity_waveref
L1C_ALL/L2A_REF, W, similarity_wavethres
L1C_ALL/L2A_REF, W, similarity_wavelen1
L1C_ALL/L2A_REF, W, similarity_wavelen2
L1C_ALL/L2A_REF, W, similarity_alpha
