Level,network, variable_name, dimensions,Description,units
common, both, wavelength, wavelength, wavelength as determined from lab calibration of HYPSTAR instrument, nm
common, both, scan/series, wavelength, index of each series/scan in the file (counting from 0), nm
common, both, bandwidth, wavelength, bandwidth FWHM assuming a Gaussian SRF, nm
common, both, viewing_azimuth_angle, series/scan, viewing_azimuth_angle is the horizontal angle between the line of sight from the observation point to the sensor and True North. The angle is measured clockwise positive starting from the North direction. , degrees
common, both, pointing_azimuth_angle, series/scan, pointing_azimuth_angle is the horizontal angle between the direction the sensor is pointing to and True North. The angle is measured clockwise positive starting from True North direction. This angle is 180 degrees different from the viewing_azimuth_angle. ,degrees
common, both, viewing_zenith_angle, series/scan, viewing_zenith_angle is the vertical angle between the local zenith and the direction from the location being measured to the sensor. This angle is measured starting from directly overhead and its range is from zero (directly overhead the observation target i.e. sensor looking down) to 180 degrees (directly below the observation target i.e. sensor pointing at local zenith)., degrees
common, both, solar_azimuth_angle, series/scan, solar_azimuth_angle is the horizontal angle between the line of sight to the sun and True North. The angle is measured clockwise., degrees
common, both, solar_zenith_angle, series/scan, solar_zenith_angle is the vertical angle between the line of sight to the sun and the local zenith. This angle is measured starting from directly overhead and its range is from zero (directly overhead the observation target i.e. sensor looking down) to 180 degrees (directly below the observation target i.e. sensor pointing at local zenith)., degrees
common, both, solar_zenith_angle, series/scan, Acquisition time in seconds since 1970-01-01 00:00:00, s
common, both, series_id, series/scan, Series id number, -
common, both, quality_flag, series/scan, The quality flag field consists of 32 bits. Every bit is related to the absence or presence of a a flag where each bit encodes a flag given in the flag_meanings attribute, -
L0A_RAD, both, integration_time, scan, Integration time during measurement, s
L0A_RAD, both, temperature, scan, temperature of instrument, degrees C
L0A_RAD, both, digital_number, wavelength & scan, Digital number of raw data, -
L0A_RAD, both, acceleration_x_mean, scan, acceleration_x_mean, -
L0A_RAD, both, acceleration_x_std, scan, acceleration_x_std, -
L0A_RAD, both, acceleration_y_mean, scan, acceleration_y_mean, -
L0A_RAD, both, acceleration_y_std, scan, acceleration_y_std, -
L0A_RAD, both, acceleration_z_mean, scan, acceleration_z_mean, -
L0A_RAD, both, acceleration_z_std, scan, acceleration_z_std, -
L0A_RAD, both, paa_ref, scan, pan (pointing azimuth angle) from pt_ref in metadata, degrees
L0A_RAD, both, paa_abs, scan, pan (pointing azimuth angle) from pt_abs in metadata, degrees
L0A_RAD, both, paa_ask, scan, pan (pointing azimuth angle) from pt_ask in metadata, degrees
L0B_RAD, both, integration_time, series, Integration time during measurement, s
L0B_RAD, both, temperature, series, temperature of instrument, degrees C
L0B_RAD, both, digital_number, wavelength & series, Digital number of raw data, -
L0B_RAD, both, u_rel_random_digital_number, wavelength & series, random relative uncertainty on digital number, %
L0B_RAD, both, dark_signal, wavelength & series, digital number for dark signal, -
L0B_RAD, both, u_rel_random_dark_signal, wavelength & series, random relative uncertainty on digital number for dark signal, %
L0B_RAD, both, n_valid_scans, series, number of valid scans used in average of VNIR, -
L0B_RAD, both, n_total_scans, series, number of total scans acquired for VNIR, -
L0B_RAD, both, std_digital_number, wavelength & series, standard deviation on digital number, -
L0B_RAD, both, std_dark_signal, wavelength & series, standard deviation on dark signal, -
L0B_RAD, both, acceleration_x_mean, series, acceleration_x_mean, -
L0B_RAD, both, acceleration_x_std, series, acceleration_x_std, -
L0B_RAD, both, acceleration_y_mean, series, acceleration_y_mean, -
L0B_RAD, both, acceleration_y_std, series, acceleration_y_std, -
L0B_RAD, both, acceleration_z_mean, series, acceleration_z_mean, -
L0B_RAD, both, acceleration_z_std, series, acceleration_z_std, -
