# hypstar_220241_radcal_E_200729.dat							
# E [mW m-2 nm-1] = DN / inttime * 1000 * cal_coef							
# vnir_wl	vnir_cal_coef	vnir_u_sys(k=2)	vnir_u_rnd(k=2)	swir_wl	swir_cal_coef	swir_u_sys(k=2)	swir_u_rnd(k=2)
166.4	0	0	0	873.6	0.197206877948449	0	0
166.8	0	0	0	877.2	0.0733473954379985	0	0
167.3	0	0	0	880.8	0.0389207363041574	0	0
167.7	0	0	0	884.4	0.0282969060797315	0	0
168.1	0	0	0	888.1	0.0249319680524771	0	0
168.5	0	0	0	891.7	0.0236277730527768	0	0
169	0	0	0	895.3	0.0226768233580367	0	0
169.4	0	0	0	898.9	0.0218150024254683	0	0
169.8	0	0	0	902.5	0.0208555896233435	0	0
170.3	0	0	0	906.1	0.0199945830630326	0	0
170.7	0	0	0	909.7	0.0189751407696189	0	0
171.1	0	0	0	913.3	0.0177282975955869	0	0
171.5	0	0	0	916.9	0.0161742250364439	0	0
172	0	0	0	920.5	0.0145761111851194	0	0
172.4	0	0	0	924.1	0.0133043557619624	0	0
172.8	0	0	0	927.7	0.0125113882994907	0	0
173.3	0	0	0	931.3	0.012002682939989	0	0
173.7	0	0	0	934.9	0.0116337943767737	0	0
174.1	0	0	0	938.5	0.011353617188515	0	0
174.6	0	0	0	942	0.0111438187554344	0	0
175	0	0	0	945.6	0.0109616307021357	0	0
175.4	0	0	0	949.2	0.0107603082627054	0	0
175.8	0	0	0	952.7	0.0105506358180581	0	0
176.3	0	0	0	956.3	0.0103559866647061	0	0
176.7	0	0	0	959.9	0.0101741289633505	0	0
177.1	0	0	0	963.4	0.00995028856657297	0	0
177.6	0	0	0	967	0.0097218875083141	0	0
178	0	0	0	970.5	0.00950976737381361	0	0
178.4	0	0	0	974.1	0.00932264423263263	0	0
178.9	0	0	0	977.6	0.00912379351855553	0	0
179.3	0	0	0	981.2	0.00890598622218079	0	0
179.7	0	0	0	984.7	0.00870118063015155	0	0
180.2	0	0	0	988.3	0.00853925339779182	0	0
180.6	0	0	0	991.8	0.00839593177576767	0	0
181	0	0	0	995.3	0.00825358716561557	0	0
181.5	0	0	0	998.9	0.0081026174843646	0	0
181.9	0	0	0	1002.4	0.00795966919103773	0	0
182.3	0	0	0	1005.9	0.00785149576952503	0	0
182.8	0	0	0	1009.4	0.00777295620456763	0	0
183.2	0	0	0	1012.9	0.00769620846506831	0	0
183.6	0	0	0	1016.4	0.0075976954601809	0	0
184.1	0	0	0	1020	0.00750906304418917	0	0
184.5	0	0	0	1023.5	0.00741971217807626	0	0
184.9	0	0	0	1027	0.00738011420242425	0	0
185.3	0	0	0	1030.5	0.00733989943896008	0	0
185.8	0	0	0	1034	0.00729421725385449	0	0
186.2	0	0	0	1037.5	0.00724675212873084	0	0
186.6	0	0	0	1040.9	0.00719688931142818	0	0
187.1	0	0	0	1044.4	0.00716035242517259	0	0
187.5	0	0	0	1047.9	0.00714768204073392	0	0
187.9	0	0	0	1051.4	0.00713879560099828	0	0
188.4	0	0	0	1054.9	0.00710569044217948	0	0
188.8	0	0	0	1058.3	0.00706476056157938	0	0
189.2	0	0	0	1061.8	0.0070148308544879	0	0
189.7	0	0	0	1065.3	0.00697179199500791	0	0
190.1	0	0	0	1068.7	0.00692999644177942	0	0
190.5	0	0	0	1072.2	0.00688022710667524	0	0
191	0	0	0	1075.7	0.00681891961526771	0	0
191.4	0	0	0	1079.1	0.00673944299411578	0	0
191.8	0	0	0	1082.6	0.00664541694861078	0	0
192.3	0	0	0	1086	0.00656425279226875	0	0
192.7	0	0	0	1089.5	0.0064678129325839	0	0
193.2	0	0	0	1092.9	0.0063694274170926	0	0
193.6	0	0	0	1096.3	0.00626282341789021	0	0
194	0	0	0	1099.8	0.00615996366591012	0	0
194.5	0	0	0	1103.2	0.00606736091555408	0	0
194.9	0	0	0	1106.6	0.00596422435348265	0	0
195.3	0	0	0	1110	0.00588108185474203	0	0
195.8	0	0	0	1113.5	0.00580778521896655	0	0
196.2	0	0	0	1116.9	0.00575274121764934	0	0
196.6	0	0	0	1120.3	0.0056943192073439	0	0
197.1	0	0	0	1123.7	0.00563991750106346	0	0
197.5	0	0	0	1127.1	0.00557605699590579	0	0
197.9	0	0	0	1130.5	0.00553315157673256	0	0
198.4	0	0	0	1133.9	0.00550809435224408	0	0
198.8	0	0	0	1137.3	0.00550639479486905	0	0
199.2	0	0	0	1140.7	0.00552368843224219	0	0
199.7	0	0	0	1144.1	0.00554287086411732	0	0
200.1	0	0	0	1147.5	0.00557017852261812	0	0
200.5	0	0	0	1150.8	0.00558249406586223	0	0
201	0	0	0	1154.2	0.00558848548181718	0	0
201.4	0	0	0	1157.6	0.00559556737836754	0	0
201.9	0	0	0	1161	0.00560057760967633	0	0
202.3	0	0	0	1164.3	0.00561465542897649	0	0
202.7	0	0	0	1167.7	0.00561844183921317	0	0
203.2	0	0	0	1171	0.00561811343285363	0	0
203.6	0	0	0	1174.4	0.00560206862710093	0	0
204	0	0	0	1177.8	0.00556385507099742	0	0
204.5	0	0	0	1181.1	0.00551523439104631	0	0
204.9	0	0	0	1184.4	0.00545836814275701	0	0
205.3	0	0	0	1187.8	0.00539789593278112	0	0
205.8	0	0	0	1191.1	0.00533361756736377	0	0
206.2	0	0	0	1194.5	0.00526147293063225	0	0
206.7	0	0	0	1197.8	0.00519971539199284	0	0
207.1	0	0	0	1201.1	0.00514265414534478	0	0
207.5	0	0	0	1204.4	0.00509192953434994	0	0
208	0	0	0	1207.8	0.00505458262684583	0	0
208.4	0	0	0	1211.1	0.00502758349670965	0	0
208.8	0	0	0	1214.4	0.00501342492293659	0	0
209.3	0	0	0	1217.7	0.00500741121902847	0	0
209.7	0	0	0	1221	0.00500255632451182	0	0
210.2	0	0	0	1224.3	0.00498254880646488	0	0
210.6	0	0	0	1227.6	0.00495590054148594	0	0
211	0	0	0	1230.9	0.00493187757464181	0	0
211.5	0	0	0	1234.2	0.00490946619825237	0	0
211.9	0	0	0	1237.5	0.00489286112366522	0	0
212.3	0	0	0	1240.7	0.00487888612438137	0	0
212.8	0	0	0	1244	0.00487889334838275	0	0
213.2	0	0	0	1247.3	0.0048796589389413	0	0
213.7	0	0	0	1250.6	0.00488877659633373	0	0
214.1	0	0	0	1253.8	0.00488817942376715	0	0
214.5	0	0	0	1257.1	0.0048760387027747	0	0
215	0	0	0	1260.3	0.00485911117337134	0	0
215.4	0	0	0	1263.6	0.00482468438638851	0	0
215.8	0	0	0	1266.8	0.00478835968400639	0	0
216.3	0	0	0	1270.1	0.00474171117658113	0	0
216.7	0	0	0	1273.3	0.00470141366205346	0	0
217.2	0	0	0	1276.6	0.00466166264098045	0	0
217.6	0	0	0	1279.8	0.00462672893794009	0	0
218	0	0	0	1283	0.00459269295306744	0	0
218.5	0	0	0	1286.3	0.00456225846415252	0	0
218.9	0	0	0	1289.5	0.00453062571277168	0	0
219.4	0	0	0	1292.7	0.00449520867609825	0	0
219.8	0	0	0	1295.9	0.00446176950825329	0	0
220.2	0	0	0	1299.1	0.00442980967653471	0	0
