# hypstar_220241_radcal_L_200728.dat							
# L [mW m-2 nm-1 sr-1] = DN / inttime * 1000 * cal_coef							
# vnir_wl	vnir_cal_coef	vnir_u_sys(k=2)	vnir_u_rnd(k=2)	swir_wl	swir_cal_coef	swir_u_sys(k=2)	swir_u_rnd(k=2)
166.4	0	0	0	873.6	0.00320436649912605	0	0
166.8	0	0	0	877.2	0.00144934092793476	0	0
167.3	0	0	0	880.8	0.000836902555227888	0	0
167.7	0	0	0	884.4	0.000618972385701304	0	0
168.1	0	0	0	888.1	0.000538597762102386	0	0
168.5	0	0	0	891.7	0.00050535320622096	0	0
169	0	0	0	895.3	0.000484172740175642	0	0
169.4	0	0	0	898.9	0.000465406820789043	0	0
169.8	0	0	0	902.5	0.000444848683542042	0	0
170.3	0	0	0	906.1	0.000425825244349965	0	0
170.7	0	0	0	909.7	0.000403288336585336	0	0
171.1	0	0	0	913.3	0.00037579622705072	0	0
171.5	0	0	0	916.9	0.000343568706150284	0	0
172	0	0	0	920.5	0.000311132629762092	0	0
172.4	0	0	0	924.1	0.000285059728060193	0	0
172.8	0	0	0	927.7	0.000267645563886817	0	0
173.3	0	0	0	931.3	0.000256548326946437	0	0
173.7	0	0	0	934.9	0.000248942483590878	0	0
174.1	0	0	0	938.5	0.000242630635609571	0	0
174.6	0	0	0	942	0.000237829369877178	0	0
175	0	0	0	945.6	0.000233886932172902	0	0
175.4	0	0	0	949.2	0.000229890480768864	0	0
175.8	0	0	0	952.7	0.000225637346439403	0	0
176.3	0	0	0	956.3	0.000221447309340899	0	0
176.7	0	0	0	959.9	0.000217356543228805	0	0
177.1	0	0	0	963.4	0.000212829783738801	0	0
177.6	0	0	0	967	0.000208110684929789	0	0
178	0	0	0	970.5	0.000203400017817956	0	0
178.4	0	0	0	974.1	0.000199331668915418	0	0
178.9	0	0	0	977.6	0.000194929874408098	0	0
179.3	0	0	0	981.2	0.00019048268664369	0	0
179.7	0	0	0	984.7	0.00018619690341331	0	0
180.2	0	0	0	988.3	0.000182714320377922	0	0
180.6	0	0	0	991.8	0.00017952684041922	0	0
181	0	0	0	995.3	0.000176349488350043	0	0
181.5	0	0	0	998.9	0.000173145386406664	0	0
181.9	0	0	0	1002.4	0.000170321909572334	0	0
182.3	0	0	0	1005.9	0.000167943201547765	0	0
182.8	0	0	0	1009.4	0.000166132061344946	0	0
