 Table of rho values created with FFT surfaces and polarized ray tracing as described in
   Mobley, C.D., 2015.  Polarized Reflectance and Transmittance Properties of Wind-blown Sea Surfaces,
   Applied Optics (in review)
 NOTE: This is a preliminary table for use during review of the above paper.
   These rho values are for fully developed seas, sun's direct rays parallel to the wind direction,
   a Rayleigh, single-scattering sky at 550 nm, and wind speeds of 0, 2, 4, 5, 6, 8, 10, 12, 14, and 15 m/s.
   The final table will be placed online once the above paper has been accepted for publication.
 rho is computed from the I components of the Stokes radiance vectors: rho = I(surface reflected)/I(sky) [nondimensional]
 Theta_v is the polar viewing angle measured from 0 at the nadir.
 Phi_v is the azimuthal viewing angle measured from the sun at phi_v = 0
 Looping order is
    wind speed
       sun zenith angle
          theta_v
             phi_v
 Data blocks of 118 theta_v, phi_v, rho(theta_v, phi_v) records on an (f7.1,f9.1,e15.4) format are separated by 
   records giving the wind speed and sun zenith angle on an (12x,f5.1,20x,f5.1) format.
-------------------------------
 Theta_v    Phi_v       rho
-------------------------------
WIND SPEED =  0.0; SUN ZENITH ANGLE =  0.0
    0.0      0.0    2.1112e-002
   10.0      0.0    2.1156e-002
   10.0     15.0    2.1156e-002
   10.0     30.0    2.1156e-002
   10.0     45.0    2.1156e-002
   10.0     60.0    2.1156e-002
   10.0     75.0    2.1156e-002
   10.0     90.0    2.1156e-002
   10.0    105.0    2.1156e-002
   10.0    120.0    2.1156e-002
   10.0    135.0    2.1156e-002
   10.0    150.0    2.1156e-002
   10.0    165.0    2.1156e-002
   10.0    180.0    2.1156e-002
   20.0      0.0    2.1619e-002
   20.0     15.0    2.1619e-002
   20.0     30.0    2.1619e-002
   20.0     45.0    2.1619e-002
   20.0     60.0    2.1619e-002
   20.0     75.0    2.1619e-002
   20.0     90.0    2.1619e-002
   20.0    105.0    2.1619e-002
   20.0    120.0    2.1619e-002
   20.0    135.0    2.1619e-002
   20.0    150.0    2.1619e-002
   20.0    165.0    2.1619e-002
   20.0    180.0    2.1619e-002
   30.0      0.0    2.3758e-002
   30.0     15.0    2.3758e-002
   30.0     30.0    2.3758e-002
   30.0     45.0    2.3758e-002
   30.0     60.0    2.3758e-002
   30.0     75.0    2.3758e-002
   30.0     90.0    2.3758e-002
   30.0    105.0    2.3758e-002
   30.0    120.0    2.3758e-002
   30.0    135.0    2.3758e-002
   30.0    150.0    2.3758e-002
   30.0    165.0    2.3758e-002
   30.0    180.0    2.3758e-002
   40.0      0.0    3.0633e-002
   40.0     15.0    3.0633e-002
   40.0     30.0    3.0633e-002
   40.0     45.0    3.0633e-002
   40.0     60.0    3.0633e-002
   40.0     75.0    3.0633e-002
   40.0     90.0    3.0633e-002
   40.0    105.0    3.0633e-002
   40.0    120.0    3.0633e-002
   40.0    135.0    3.0633e-002
   40.0    150.0    3.0633e-002
   40.0    165.0    3.0633e-002
   40.0    180.0    3.0633e-002
   50.0      0.0    4.9332e-002
   50.0     15.0    4.9332e-002
   50.0     30.0    4.9332e-002
   50.0     45.0    4.9332e-002
   50.0     60.0    4.9332e-002
   50.0     75.0    4.9332e-002
   50.0     90.0    4.9332e-002
   50.0    105.0    4.9332e-002
   50.0    120.0    4.9332e-002
   50.0    135.0    4.9332e-002
   50.0    150.0    4.9332e-002
   50.0    165.0    4.9332e-002
   50.0    180.0    4.9332e-002
   60.0      0.0    9.6075e-002
   60.0     15.0    9.6075e-002
   60.0     30.0    9.6075e-002
   60.0     45.0    9.6075e-002
   60.0     60.0    9.6075e-002
   60.0     75.0    9.6075e-002
   60.0     90.0    9.6075e-002
   60.0    105.0    9.6075e-002
   60.0    120.0    9.6075e-002
   60.0    135.0    9.6075e-002
   60.0    150.0    9.6075e-002
   60.0    165.0    9.6075e-002
   60.0    180.0    9.6075e-002
   70.0      0.0    2.0732e-001
   70.0     15.0    2.0732e-001
   70.0     30.0    2.0732e-001
   70.0     45.0    2.0732e-001
   70.0     60.0    2.0732e-001
   70.0     75.0    2.0732e-001
   70.0     90.0    2.0732e-001
   70.0    105.0    2.0732e-001
   70.0    120.0    2.0732e-001
   70.0    135.0    2.0732e-001
   70.0    150.0    2.0732e-001
   70.0    165.0    2.0732e-001
   70.0    180.0    2.0732e-001
   80.0      0.0    4.6199e-001
   80.0     15.0    4.6199e-001
   80.0     30.0    4.6199e-001
   80.0     45.0    4.6199e-001
   80.0     60.0    4.6199e-001
   80.0     75.0    4.6199e-001
   80.0     90.0    4.6199e-001
   80.0    105.0    4.6199e-001
   80.0    120.0    4.6199e-001
   80.0    135.0    4.6199e-001
   80.0    150.0    4.6199e-001
   80.0    165.0    4.6199e-001
   80.0    180.0    4.6199e-001
   87.5      0.0    8.2432e-001
   87.5     15.0    8.2432e-001
   87.5     30.0    8.2432e-001
   87.5     45.0    8.2432e-001
   87.5     60.0    8.2432e-001
   87.5     75.0    8.2432e-001
   87.5     90.0    8.2432e-001
   87.5    105.0    8.2432e-001
   87.5    120.0    8.2432e-001
   87.5    135.0    8.2432e-001
   87.5    150.0    8.2432e-001
   87.5    165.0    8.2432e-001
   87.5    180.0    8.2432e-001
WIND SPEED =  0.0; SUN ZENITH ANGLE = 10.0
    0.0      0.0    2.1114e-002
   10.0      0.0    2.1133e-002
   10.0     15.0    2.1132e-002
   10.0     30.0    2.1128e-002
   10.0     45.0    2.1124e-002
   10.0     60.0    2.1121e-002
   10.0     75.0    2.1124e-002
   10.0     90.0    2.1132e-002
   10.0    105.0    2.1147e-002
   10.0    120.0    2.1166e-002
   10.0    135.0    2.1187e-002
   10.0    150.0    2.1207e-002
   10.0    165.0    2.1220e-002
   10.0    180.0    2.1225e-002
   20.0      0.0    2.1400e-002
   20.0     15.0    2.1399e-002
   20.0     30.0    2.1399e-002
   20.0     45.0    2.1404e-002
   20.0     60.0    2.1423e-002
   20.0     75.0    2.1463e-002
   20.0     90.0    2.1528e-002
   20.0    105.0    2.1617e-002
   20.0    120.0    2.1722e-002
   20.0    135.0    2.1831e-002
   20.0    150.0    2.1926e-002
   20.0    165.0    2.1992e-002
   20.0    180.0    2.2015e-002
   30.0      0.0    2.2888e-002
   30.0     15.0    2.2896e-002
   30.0     30.0    2.2925e-002
   30.0     45.0    2.2987e-002
   30.0     60.0    2.3098e-002
   30.0     75.0    2.3271e-002
   30.0     90.0    2.3513e-002
   30.0    105.0    2.3816e-002
   30.0    120.0    2.4159e-002
   30.0    135.0    2.4501e-002
   30.0    150.0    2.4796e-002
   30.0    165.0    2.4995e-002
   30.0    180.0    2.5066e-002
   40.0      0.0    2.8195e-002
   40.0     15.0    2.8231e-002
   40.0     30.0    2.8348e-002
   40.0     45.0    2.8565e-002
   40.0     60.0    2.8910e-002
   40.0     75.0    2.9406e-002
   40.0     90.0    3.0058e-002
   40.0    105.0    3.0842e-002
   40.0    120.0    3.1702e-002
   40.0    135.0    3.2543e-002
   40.0    150.0    3.3258e-002
   40.0    165.0    3.3738e-002
   40.0    180.0    3.3908e-002
   50.0      0.0    4.3710e-002
   50.0     15.0    4.3808e-002
   50.0     30.0    4.4113e-002
   50.0     45.0    4.4658e-002
   50.0     60.0    4.5484e-002
   50.0     75.0    4.6621e-002
   50.0     90.0    4.8063e-002
   50.0    105.0    4.9752e-002
   50.0    120.0    5.1560e-002
   50.0    135.0    5.3300e-002
   50.0    150.0    5.4757e-002
   50.0    165.0    5.5729e-002
   50.0    180.0    5.6070e-002
   60.0      0.0    8.5035e-002
   60.0     15.0    8.5239e-002
   60.0     30.0    8.5869e-002
   60.0     45.0    8.6968e-002
   60.0     60.0    8.8586e-002
   60.0     75.0    9.0748e-002
   60.0     90.0    9.3416e-002
